sch:aByarRIBU,4266:aByarRIBU:n:RIB
acc:aByAgatAcAra,1000:aByAgatAcAra:n:tAc
gst:aByASAdAgata,6763:aByASAdAgata:n:dAg
acc:amaligrAmamAhAtmya,1039:amaligrAmamAhAtmya:n:lig
ieg:ambiligadyARa,7555:ambiligadyARa:n:lig
sch:ambujavatI,4558:ambujavatI:n:buj
sch:ambujAkara,4560:ambujAkara:n:buj,jAk
sch:ambujAsana,4563:ambujAsana:n:buj,jAs
sch:ambujIyati,4566:ambujIyati:n:buj
sch:ambudAgama,4569:ambudAgama:n:dAg
acc:ayaRAcAryasUnu,30095:ayaRAcAryasUnu:n:RAc
mw:ayAcitAhfta,14842:ayAcitAhfta:n:tAh
pw:arISva,9133:arISva:n:rIS
acc:aruRAcalamAhAtmya,1124:aruRAcalamAhAtmya:n:RAc
acc:aruRAcalastotra,1125:aruRAcalastotra:n:RAc
sch:arTaBAsinI,4901:arTaBAsinI:n:TaB
mw:arTApekza,16031.1:arTApekza:n:rTA
ieg:arTAruvA,520:arTAruvA:n:rTA
sch:alakADISa,5046:alakADISa:n:kAD
acc:alaMkAreSvara,1260:alaMkAreSvara:n:reS
ieg:alpaBARqatA,274:alpaBARqatA:n:qat
sch:aSastArTAntara,5808:aSastArTAntara:n:rTA
mw:aSokeSvara,19684.2:aSokeSvara:n:oke
acc:azwakAnvazwakASrAdDaprayoga,1405:azwakAnvazwakASrAdDaprayoga:n:Dap
pe:azwarAgAdis,542:azwarAgAdis:n:gAd
pe:azwaviDaprakftyavasTA,550:azwaviDaprakftyavasTA:n:Dap
acc:azwaSrAdDaviDAnaviDi,1428:azwaSrAdDaviDAnaviDi:n:waS
acc:azwAdaSavarRanasaMgraha,1446:azwAdaSavarRanasaMgraha:n:wAd
ieg:azwAvaDAna,581:azwAvaDAna:n:wAv
sch:azwAvaDAnin,6015:azwAvaDAnin:n:wAv
pui:azwAviMSatitamamanu,1052:azwAviMSatitamamanu:n:wAv
acc:azwottarajAtakI,1464:azwottarajAtakI:n:wot,zwo
acc:azwottaraSatanAmastotra,1468:azwottaraSatanAmastotra:n:wot,zwo
acc:azwottaraSatasTalamAhAtmya,1470:azwottaraSatasTalamAhAtmya:n:wot,zwo
acc:azwottaraSatasTalaSloka,1471:azwottaraSatasTalaSloka:n:wot,zwo
acc:azwottarIkAmaDenupadDati,1473:azwottarIkAmaDenupadDati:n:wot,zwo
pe:azwopAya,555:azwopAya:n:zwo
sch:azwolI,6026:azwolI:n:zwo
bhs:asaNgamuKapraveSA,2403:asaNgamuKapraveSA:n:Kap
yat:asadAgra,44756:asadAgra:n:dAg
ieg:asannarapravfttivinivfttAcAra,6917:asannarapravfttivinivfttAcAra:n:tAc
sch:asaByArTAntara,6146:asaByArTAntara:n:rTA
pw:aspazwopADi,12969:aspazwopADi:n:zwo
pwg:AkaSAyeya,7790:AkaSAyeya:n:Aye
pwg:AkazAyeya,66053:AkazAyeya:n:Aye
bhs:AkASaDAtuvipula,2522:AkASaDAtuvipula:n:tuv
sch:AkASIBU,6571:AkASIBU:n:SIB
acc:AkulAgamayogaSAstra,42047:AkulAgamayogaSAstra:n:lAg,gaS
pui:AgnAyi,1149:AgnAyi:n:gnA
bhs:AjavaMjavIBAva,2601:AjavaMjavIBAva:n:vIB,IBA
sch:AjavaYjavIBAva,6735:AjavaYjavIBAva:n:vIB,IBA
bhs:AjAvaMjava,2603:AjAvaMjava:n:jAv
skd:AtatAyI,3342:AtatAyI:n:AyI
skd:AtAyI,3351:AtAyI:n:AyI
sch:AdarSAvekzaRa,6882:AdarSAvekzaRa:n:rSA
acc:AdityanyAsavarRapUjAstotra,1793:AdityanyAsavarRapUjAstotra:n:jAs
pwg:AdIDaka,118754:AdIDaka:n:IDa
acc:AnandatilakaBARa,1896:AnandatilakaBARa:n:kaB
ap90:AnAyen,6303:AnAyen:n:Aye
pwg:AnuyAjAvara,8645:AnuyAjAvara:n:jAv
bhs:AntaHpura,2756:AntaHpura:n:Hpu
ap90:AMtargehika,6355:AMtargehika:n:rge
mw:AntrImuKa,24712.1:AntrImuKa:n:Imu
mw:AnDAsvara,24725.1:AnDAsvara:n:DAs
acc:AyuDapUjAprayoga,2047:AyuDapUjAprayoga:n:Dap
yat:ArazAstra,44845:ArazAstra:n:zAs
mw:AligavyAyanI,26824.1:AligavyAyanI:n:lig
mw:ASIrvacanAkzepa,27472:ASIrvacanAkzepa:n:Irv
mw:ASokA,27579:ASokA:n:ASo
acc:izwopadeSa,42221:izwopadeSa:n:zwo
mw:ihaloke,29677:ihaloke:n:oke
mw:ISAnADipA,29871:ISAnADipA:n:ISA
gra:ukTaSizma,1841:ukTaSizma:n:TaS
acc:ugraraTaSAntikalpaprayoga,30239:ugraraTaSAntikalpaprayoga:n:TaS
acc:ugraraTaSAntiprayoga,30240:ugraraTaSAntiprayoga:n:TaS
mw:ucCrAyI,30469:ucCrAyI:n:AyI
sch:uttaMsIkfta,8039:uttaMsIkfta:n:sIk
pui:uttareSvara,1734:uttareSvara:n:reS
acc:utsargezwipUrvakapunarADeyaprayoga,42263:utsargezwipUrvakapunarADeyaprayoga:n:rge
acc:utsargezwiprayoga,2542:utsargezwiprayoga:n:rge
pui:uddaba,1796:uddaba:n:dab
acc:upadeSasahasrakratuvyAKyA,2657:upadeSasahasrakratuvyAKyA:n:tuv
acc:upalakzitavESiTyajYAnahetuvAda,2705:upalakzitavESiTyajYAnahetuvAda:n:tuv
mw:upasadDoma,36107.1:upasadDoma:n:dDo
sch:upAsakADyayana,8751:upAsakADyayana:n:kAD
bhs:upAhiRqate,3884:upAhiRqate:n:qat
acc:uBayavratapUjAviDi,31881:uBayavratapUjAviDi:n:jAv
bhs:ullAwwayati,3925:ullAwwayati:n:Aww
mw:fkzaharISvara,38679:fkzaharISvara:n:rIS
sch:ftugAmitva,28315:ftugAmitva:n:tug
bhs:ekadukAye,4043:ekadukAye:n:Aye
sch:ekarasIkf,9128:ekarasIkf:n:sIk
bhs:ekAMsIkfta,4067:ekAMsIkfta:n:sIk
pe:ekAdaSapUjAsTAna,2258:ekAdaSapUjAsTAna:n:jAs
sch:evaMsuKaduHKaprativedin,9279:evaMsuKaduHKaprativedin:n:Kap
cae:EkaSutya,6620:EkaSutya:n:Sut
pgn:ErAvatagorAjya,359:ErAvatagorAjya:n:gor
acc:oqASaNkara,3065:oqASaNkara:n:oqA,qAS
bhs:opunati,4221:opunati:n:opu
sch:OdDAwima,28339:OdDAwima:n:DAw
acc:kaNkAlADyAya,3140:kaNkAlADyAya:n:lAD
sch:kawakADipati,9507:kawakADipati:n:kAD
ieg:kawakADirAja,2646:kawakADirAja:n:kAD
ieg:kawakADISa,2647:kawakADISa:n:kAD
mw:kawAkzAvezaRa,41966:kawAkzAvezaRa:n:zAv
pe:kadaligarBA,3044:kadaligarBA:n:lig
acc:kanakADArastotra,3210:kanakADArastotra:n:kAD
sch:kanakAmbuja,9677:kanakAmbuja:n:buj
acc:kanikaBadra,31965:kanikaBadra:n:kaB
pw:kapAyI,24180:kapAyI:n:AyI
vcp:kapAlADikaraRa,11838:kapAlADikaraRa:n:lAD
bhs:kapizWalAyana,4448:kapizWalAyana:n:Wal
sch:karawiripu,9828:karawiripu:n:wir
sch:karaReSvarI,28401:karaReSvarI:n:ReS
sch:karasIkarAyita,9881:karasIkarAyita:n:sIk
mw:karkacandreSvaratantra,44636:karkacandreSvaratantra:n:reS
sch:karReSvara,28413:karReSvara:n:ReS
acc:karmaBrazwopAKyAna,3373:karmaBrazwopAKyAna:n:zwo
sch:kalADinATa,10097:kalADinATa:n:lAD
acc:kaligajANkuSa,3422:kaligajANkuSa:n:lig
acc:kavacajagadrakzAkara,42449:kavacajagadrakzAkara:n:zAk
acc:kaviSAbdikaBUzaRa,3593:kaviSAbdikaBUzaRa:n:kaB
vei:kARqAviza,574:kARqAviza:n:qAv
acc:kAtantraSikzAsaMdoha,32054:kAtantraSikzAsaMdoha:n:zAs
acc:kAmaketugrAmaRIkaTA,3744:kAmaketugrAmaRIkaTA:n:tug
pw:kArIrezwi,26856:kArIrezwi:n:Ire
acc:kAlayogaSAstre,3978:kAlayogaSAstre:n:gaS
sch:kAlADipara,10526:kAlADipara:n:lAD
acc:kAlikAkakArAdyazwottaraSata,39624:kAlikAkakArAdyazwottaraSata:n:wot,zwo
vcp:kAvyArTApatti,13476:kAvyArTApatti:n:rTA
acc:kASInATaBawwacitrAma,4162:kASInATaBawwacitrAma:n:TaB
acc:kASIBAzyAmfta,42632:kASIBAzyAmfta:n:SIB,IBA
acc:kASImuktiprakASikA,4203:kASImuktiprakASikA:n:Imu
mw:kAzAyI,49985:kAzAyI:n:AyI
shs:kAzWAkzaka,10337:kAzWAkzaka:n:WAk
mw:kukUlAgni,51310:kukUlAgni:n:lAg
sch:kuYjarOpavAhya,28509:kuYjarOpavAhya:n:arO
mw:kuwwakADyAya,51690:kuwwakADyAya:n:kAD
bhs:kuwmalIBUta,4933:kuwmalIBUta:n:lIB
mw:kuqmalAgradat,51766:kuqmalAgradat:n:lAg
acc:kumArAzwottaraSatanAmAvalI,4384:kumArAzwottaraSatanAmAvalI:n:wot,zwo
sch:kuraNgaSAvanetrA,10897:kuraNgaSAvanetrA:n:gaS
vcp:kurarorutA,14210:kurarorutA:n:ror
inm:kurukulADama,6285:kurukulADama:n:lAD
mw:kurvadrUpa,52806:kurvadrUpa:n:drU
inm:kulindarAjAvaraja,6094:kulindarAjAvaraja:n:jAv
vcp:kftyAdUzaRI,14721:kftyAdUzaRI:n:AdU
