pui:akArAdikzakArAntavarRamUrti,11:akArAdikzakArAntavarRamUrti:n:rti
bhs:cakravartisUtra,6004:cakravartisUtra:n:rti
acc:cakrAdiyantrAdicitrasaMgraha,43280:cakrAdiyantrAdicitrasaMgraha:n:diy
sch:caYcUrti,12887:caYcUrti:n:rti
bur:caYcUrye,6355:caYcUrye:n:rye
acc:caturAvartitatarpaRa,6980:caturAvartitatarpaRa:n:rti
acc:caturviMSatimUrtiBedalakzaRa,7019:caturviMSatimUrtiBedalakzaRa:n:rti
pw:caritos,39301:caritos:n:tos
ieg:calamartigaRqa,1141:calamartigaRqa:n:rti
acc:cAmuRqeSvarImaNgala,7288:cAmuRqeSvarImaNgala:n:qeS
ccs:ciktAnuvartin,7027:ciktAnuvartin:n:rti
bur:cicartizAmi,6615:cicartizAmi:n:rti
sch:cittAnuparivartin,13285:cittAnuparivartin:n:rti
acc:cidambaranawatantredakziRAmUrtisahasranAma,32947:cidambaranawatantredakziRAmUrtisahasranAma:n:rti
bhs:cUqikAvabadDa,6329:cUqikAvabadDa:n:Uqi
mw:cEkayata,75002:cEkayata:n:cEk
mw:CadmarUpeRa,75496:CadmarUpeRa:n:Upe
sch:Cinnaplotika,13570:Cinnaplotika:n:plo
sch:jaqimatA,13646:jaqimatA:n:jaq
skd:jaqimA,13125:jaqimA:n:jaq
acc:jayamADavAKyakAvya,7887:jayamADavAKyakAvya:n:vAK
ccs:jayodeva,7464:jayodeva:n:ode
acc:jAgeSvara,7966:jAgeSvara:n:Age
pw:jANGAprahUtika,42400:jANGAprahUtika:n:GAp
bur:jigarDizAmi,7213:jigarDizAmi:n:rDi
bur:jiGApayizAmi,7232:jiGApayizAmi:n:GAp
bur:jihrasizAmi,7285:jihrasizAmi:n:ihr
bur:jihrAya,7286:jihrAya:n:ihr
bhs:jihrIyati,6636:jihrIyati:n:ihr
bur:jihrIzAmi,7287:jihrIzAmi:n:ihr
bur:jihremi,7288:jihremi:n:ihr
mw:jItavyavahArasUtra,80529:jItavyavahArasUtra:n:jIt
sch:jYAnAnuparivartin,14006:jYAnAnuparivartin:n:rti
wil:jvAlAjihU,16632:jvAlAjihU:n:ihU
acc:woqarAnande,43637:woqarAnande:n:woq
bur:qiqayize,7580:qiqayize:n:qiq
vcp:qiqikA,21767:qiqikA:n:qiq
vcp:qiqimA,21768:qiqimA:n:qiq
vcp:qoqikA,21799:qoqikA:n:qoq
ccs:taktvAKyAnopamA,8103:taktvAKyAnopamA:n:vAK
acc:tattvapaYcASikAyogacihU,8572:tattvapaYcASikAyogacihU:n:ihU
pw:tamitos,44710:tamitos:n:tos
bur:tAtvarye,7854:tAtvarye:n:rye
ccs:tArtiya,8492:tArtiya:n:rti
acc:tilaBARqeSvara,9091:tilaBARqeSvara:n:qeS
acc:turIyAdiyantrodDAra,9136:turIyAdiyantrodDAra:n:diy
vcp:tUtujyamAnAsa,23149:tUtujyamAnAsa:n:Utu
acc:tftIyacakravartilakzaRAloka,9186:tftIyacakravartilakzaRAloka:n:rti
acc:tEttirIyaSrutivArtika,40118:tEttirIyaSrutivArtika:n:rti
bhs:todeya,7058:todeya:n:ode
sch:toyadartu,14810:toyadartu:n:rtu
acc:tripraSnADikAra,9347:tripraSnADikAra:n:SnA
pw:trisOvaRa,47947:trisOvaRa:n:isO
mw72:trIRi,21573:trIRi:n:IRi
mw:trEkakakuBa,88651:trEkakakuBa:n:rEk
acc:dakziRamUrticandrikA,40150:dakziRamUrticandrikA:n:rti
acc:dakziRamUrtisaMhitA,40151:dakziRamUrtisaMhitA:n:rti
acc:dakziRAmUrtisahastranAman,9533:dakziRAmUrtisahastranAman:n:rti
vcp:daRqamAMnava,24194:daRqamAMnava:n:Mna
ieg:daRqopajAtaka,1420:daRqopajAtaka:n:qop
ieg:daRqoparika,1421:daRqoparika:n:qop
pw:daSagAgrya,49248:daSagAgrya:n:gAg
acc:daSADikaSatastotra,9777:daSADikaSatastotra:n:SAD
acc:daSADyAyI,9778:daSADyAyI:n:SAD
acc:daSAvatAramUrtistotra,9787:daSAvatAramUrtistotra:n:rti
pw:dAtos,49609:dAtos:n:tos
bur:dADvarye,8581:dADvarye:n:rye
bur:diDIzAmi,8709:diDIzAmi:n:DIz
mw:diDIzu,92121:diDIzu:n:DIz
pw:divodAseSvara,50351:divodAseSvara:n:seS
acc:durgAmAhAtmyabIjAni,10357:durgAmAhAtmyabIjAni:n:abI
mw:duvo,94740:duvo:n:uvo
ieg:deSADikfta,1479:deSADikfta:n:SAD
ieg:deSADipati,1480:deSADipati:n:SAD
ieg:doqqavarAha,7618:doqqavarAha:n:doq,oqq
ieg:doqqi,1703:doqqi:n:doq,qqi,oqq
vcp:dOzyantya,26319:dOzyantya:n:Ozy
mw:dvAsaptatIzwaka,98196.1:dvAsaptatIzwaka:n:tIz
skd:dvIpI,17525:dvIpI:n:IpI
bhs:dvIhika,7646:dvIhika:n:vIh
mw:DArteyI,101132:DArteyI:n:rte
vcp:DmANkzolI,27594:DmANkzolI:n:zol
