shs:pApawfSvan,24476:pApawfSvan:n:wf
pw:pIWopamapAli,67279:pIWopamapAli:n:Wo
bur:prafRAmi,11390:prafRAmi:n:af
acc:pratizWotsavaprAyaScitta,14072:pratizWotsavaprAyaScitta:n:Wo
vcp:prabalhikA,34110:prabalhikA:n:lh
acc:prOQaprakASiko,14732:prOQaprakASiko:n:OQ
sch:prOQapriyApANganavotpala,19887:prOQapriyApANganavotpala:n:OQ
mw:prOQANganA,141382:prOQANganA:n:OQ
sch:bAlhaveya,20193:bAlhaveya:n:lh
inm:bAlhikAtmaja,1195:bAlhikAtmaja:n:lh
mw:bAlhikeyamiSra,144794:bAlhikeyamiSra:n:lh
mw:bAlhIkeSa,144826:bAlhIkeSa:n:lh
mw:bAlhISvara,144779:bAlhISvara:n:lh
pwg:bAlhyAyana,52558:bAlhyAyana:n:lh
acc:bilhaRapaYcASatpratyuttara,45115:bilhaRapaYcASatpratyuttara:n:lh
acc:bilhaRapUrvacatuHsaptati,45116:bilhaRapUrvacatuHsaptati:n:lh
ccs:bfbadukaTa,16832:bfbadukaTa:n:fb
mw:maWoSiloWikA,154576:maWoSiloWikA:n:Wo
bur:mIlhuz,13405:mIlhuz:n:lh
acc:muktakaRWollAsa,35774:muktakaRWollAsa:n:Wo
mw:mOKaryA,168683:mOKaryA:n:OK
pwg:yaTOcitya,81459:yaTOcitya:n:TO
mw:rePalakAropAnta,179469.1:rePalakAropAnta:n:eP
mw72:rePitvA,39512:rePitvA:n:eP
acc:laGujEnendravyAkaraRasUtra,36620:laGujEnendravyAkaraRasUtra:n:jE
ieg:valhoqIya,6366:valhoqIya:n:lh
acc:vasizWoktaviDi,21621:vasizWoktaviDi:n:Wo
inm:vasizWopAKyAna,11668:vasizWopAKyAna:n:Wo
sch:vijayajEtrAyuDa,23728:vijayajEtrAyuDa:n:jE
acc:viDisvarUga,46667:viDisvarUga:n:Ug
acc:vizRuzawvadI,23046:vizRuzawvadI:n:wv
mw:SaWodarka,211767:SaWodarka:n:Wo
pui:SabdArTO,14111:SabdArTO:n:TO
mw72:SlizwvA,47532:SlizwvA:n:wv
bur:samUlha,17902:samUlha:n:lh
sch:sudurDafsa,26678:sudurDafsa:n:af
acc:suparRacityasyafnupakzasyavyAKyA,47889:suparRacityasyafnupakzasyavyAKyA:n:af
acc:sUryazawvadI,28695:sUryazawvadI:n:wv
ccs:sfbindra,28328:sfbindra:n:fb
acc:selhoka,28765:selhoka:n:lh
mw:solluRWokti,253241:solluRWokti:n:Wo
ben:sOKaSAyik,16423:sOKaSAyik:n:OK
skd:sTOrI,40726:sTOrI:n:TO
mw:sTOlAzwIvi,256188:sTOlAzwIvi:n:TO
pw:svarmIlha,132705:svarmIlha:n:lh
mw72:hfzwvA,54333:hfzwvA:n:wv
acc:horAzawvaYcASikA,29947:horAzawvaYcASikA:n:wv
