skd:aMSaBAk,9:aMSaBAk:n:SaB
mw:ABISavottara,25329:ABISavottara:n:vot
pw:AyaHSulika,15306:AyaHSulika:n:HSu
vcp:AyuDaDarBiRI,7320:AyuDaDarBiRI:n:DaD
acc:AraRIsaMhitA,2070:AraRIsaMhitA:n:RIs
mw:ArogyA,26361:ArogyA:n:gyA
acc:AryapakzagrahadIpa,2102:AryapakzagrahadIpa:n:zag
pw:AryapakzagrahasidDi,15709:AryapakzagrahasidDi:n:zag
acc:AryaBawatulyakaraRagranTa,2105:AryaBawatulyakaraRagranTa:n:Rag
ieg:ASuvakkASu,7566:ASuvakkASu:n:Suv
ieg:ASuvikalkAsu,7190:ASuvikalkAsu:n:Suv
pui:ASrAyaRis,1446:ASrAyaRis:n:Ris
acc:ASvalAyanopayogyADAnaprakaraRa,2231:ASvalAyanopayogyADAnaprakaraRa:n:nop,gyA
pw:AstIkArTada,16448:AstIkArTada:n:Tad
bhs:Astopaka,3087:Astopaka:n:top
cae:Ahvika,4872:Ahvika:n:hvi
vcp:indriyeSa,8332:indriyeSa:n:yeS
bhs:indriyeSvara,3176:indriyeSvara:n:yeS
pui:irAgarBaSiras,1577:irAgarBaSiras:n:BaS
mw:illisa,29428:illisa:n:lis
mw:ivopamA,29436:ivopamA:n:vop
pwg:IdfgviDa,67385:IdfgviDa:n:fgv,gvi,dfg
acc:ISatuzwistuti,2362:ISatuzwistuti:n:wis
bhs:ISvaraguRAparAjitaDvaja,3218:ISvaraguRAparAjitaDvaja:n:RAp
sch:uccUlI,7901:uccUlI:n:ccU
mw:ucCrayopeta,30467:ucCrayopeta:n:ope
pwg:uterijA,67569:uterijA:n:ute
skd:uttamaPalino,4503:uttamaPalino:n:maP
acc:utsarjanopAkarmaprayoga,2545:utsarjanopAkarmaprayoga:n:nop
bur:udGarzAmi,2966:udGarzAmi:n:dGa
pui:unmattodumbarI,1821:unmattodumbarI:n:odu
bhs:unmijitakA,3615:unmijitakA:n:mij
mw:upamAnopameyaBAva,35324:upamAnopameyaBAva:n:nop
bhs:upamopanyAsa,3745:upamopanyAsa:n:mop
acc:upasargArTadIpikA,39521:upasargArTadIpikA:n:Tad
pw:upAdAnopalamBakatA,20310:upAdAnopalamBakatA:n:nop
sch:uBayakowispfS,8778:uBayakowispfS:n:wis
acc:umAsahAcArya,2816:umAsahAcArya:n:hAc
pui:urageSvaras,1907:urageSvaras:n:geS
vei:ulukyajAnaSruteya,394:ulukyajAnaSruteya:n:ute
mw:uzRABiprAyin,37804:uzRABiprAyin:n:RAB
sch:UnaviMSativarzopasaMpAdana,8916:UnaviMSativarzopasaMpAdana:n:zop,rzo
mw:UzmAntaHsTa,38367:UzmAntaHsTa:n:HsT
acc:fRaDanaSoDana,2897:fRaDanaSoDana:n:RaD
pw:fRaSopana,21421:fRaSopana:n:Sop
pw:fRApanaya,21424:fRApanaya:n:RAp
acc:ekAdaSaBAzAvyAKyA,2996:ekAdaSaBAzAvyAKyA:n:SaB
sch:Endavopala,9317:Endavopala:n:vop
acc:ErAvatopanizad,3052:ErAvatopanizad:n:top
vcp:okodano,10939:okodano:n:oko
bhs:odumbara,4211:odumbara:n:odu
cae:oDaDipati,6717:oDaDipati:n:DaD
bhs:omudDaka,4225:omudDaka:n:omu
bhs:olokanaka,4237:olokanaka:n:olo
cae:ohabrahmat,6723:ohabrahmat:n:hab
acc:OryAmahOtra,3109:OryAmahOtra:n:ahO
acc:kaMsanArAyaRalakzmInATadeva,3116:kaMsanArAyaRalakzmInATadeva:n:Tad
wil:kaNkalodya,8511:kaNkalodya:n:lod
acc:kaRWaBUzaRakAvyalaMkAra,3170:kaRWaBUzaRakAvyalaMkAra:n:WaB
acc:kadambapurImAhAtya,42399:kadambapurImAhAtya:n:bap
cae:kadambapuzpatva,6950:kadambapuzpatva:n:bap
sch:kadalIvanAy,9652:kadalIvanAy:n:lIv
stc:kadalIvanAyate,7577:kadalIvanAyate:n:lIv
pwg:kanTada,69570:kanTada:n:Tad
vcp:kandukeSvara,11781:kandukeSvara:n:uke
inm:kapardisutA,5348:kapardisutA:n:isu
inm:kapirAjaketu,5377:kapirAjaketu:n:pir
acc:kapizWalakaWasaMhitA,42410:kapizWalakaWasaMhitA:n:Was
mw:karaRADikAra,44263:karaRADikAra:n:RAD
acc:karaRABIzwa,42422:karaRABIzwa:n:RAB
vcp:karaBaprivA,12082:karaBaprivA:n:Bap
ieg:karituragapattanAkarasTAnagokulADikArin,2589:karituragapattanAkarasTAnagokulADikArin:n:gok
bhs:karuRABiDAna,4509:karuRABiDAna:n:RAB
acc:karkAnugapadArTadIpikA,3316:karkAnugapadArTadIpikA:n:Tad
ieg:kalaBaSAlAkaraRa,2438:kalaBaSAlAkaraRa:n:BaS
bhs:kalaSoda,4568:kalaSoda:n:Sod
acc:kalisaMtaraRopanizad,3438:kalisaMtaraRopanizad:n:Rop,lis
pui:kalisparSas,2666:kalisparSas:n:lis
acc:kalisvarUpavarRana,32003:kalisvarUpavarRana:n:lis
acc:kalisvarUpAKyAna,3439:kalisvarUpAKyAna:n:lis
bhs:kalopI,4586:kalopI:n:opI
mw:kalpitopamA,46206.1:kalpitopamA:n:top
inm:kaSirAjasute,5006:kaSirAjasute:n:ute
sch:kAcacarcakamAla,10281:kAcacarcakamAla:n:cac
mci:kAYcanAmbuvaha,1105:kAYcanAmbuvaha:n:buv
mw:kARWevidDI,47498:kARWevidDI:n:Wev
acc:kARqadvayAtItayogin,3661:kARqadvayAtItayogin:n:qad
vei:kARqviya,564:kARqviya:n:qvi
acc:kAtantragaRaDAtuvftti,3671:kAtantragaRaDAtuvftti:n:RaD
acc:kAtyAyanopanizad,3716:kAtyAyanopanizad:n:nop
ccs:kAnyakubaja,4677:kAnyakubaja:n:baj
pui:kAmakowigA,2800:kAmakowigA:n:wig
acc:kAmaSAstranirUpaRADyAya,32081:kAmaSAstranirUpaRADyAya:n:RAD
mw:kAmopaBoga,48288.1:kAmopaBoga:n:mop
acc:kAyajvalIvratakaTA,3822:kAyajvalIvratakaTA:n:lIv
bhs:kAyeSa,4732:kAyeSa:n:yeS
pw:kAraRaguRAtmaka,26789:kAraRaguRAtmaka:n:Rag
sch:kArIzaganDyA,10443:kArIzaganDyA:n:zag
mw:kArRacCidrika,48738:kArRacCidrika:n:Rac
md:kAryakaraRApekzA,5808:kAryakaraRApekzA:n:RAp
mci:kAloda,1123:kAloda:n:lod
mw:kAlodayin,49596.1:kAlodayin:n:lod
inm:kASirAjaduhitarO,5002:kASirAjaduhitarO:n:jad
sch:kASmIropala,10576:kASmIropala:n:Iro
mw:kiMcitpare,50374:kiMcitpare:n:itp
pw:kiMcitpuruzalakzaRa,27805:kiMcitpuruzalakzaRa:n:itp
md:kidvat,5898:kidvat:n:kid
sch:kiMpiriparyanta,10645:kiMpiriparyanta:n:pir
pw:kiMpuruzeSa,27898:kiMpuruzeSa:n:zeS
pw:kiMpuruzeSvara,27899:kiMpuruzeSvara:n:zeS
mw:kuwilageSa,51571:kuwilageSa:n:geS
acc:kuRqoddyota,4334:kuRqoddyota:n:qod
pw:kuRqodyotadarSana,28497:kuRqodyotadarSana:n:qod
acc:kubjarAjadravya,4353:kubjarAjadravya:n:jad
acc:kumArasvAmisuta,4382:kumArasvAmisuta:n:isu
inm:kumBakarRaraRagamana,6129:kumBakarRaraRagamana:n:Rag
vcp:kumBapadyAdi,14159:kumBapadyAdi:n:Bap
pui:kumBapAtras,3233:kumBapAtras:n:Bap
sch:kulaNgApamArin,10927:kulaNgApamArin:n:gAp
pui:kusodakA,3347:kusodakA:n:uso
sch:kUwAvapAta,28538:kUwAvapAta:n:UwA
shs:kftAbaSakTika,11358:kftAbaSakTika:n:baS,tAb
vcp:kfmilodara,14769:kfmilodara:n:lod
acc:kfzRakiMkaratarkavAgISa,30487:kfzRakiMkaratarkavAgISa:n:gIS
bhs:kfzRagotamaka,5144:kfzRagotamaka:n:Rag
acc:kfzRacandrAzwaka,42754:kfzRacandrAzwaka:n:Rac
ccs:kfzRacanmAzwamI,5347:kfzRacanmAzwamI:n:Rac
acc:kfzRacaraRaparicaryAvivfti,4683:kfzRacaraRaparicaryAvivfti:n:Rac
acc:kfzRacihnavarRana,4686:kfzRacihnavarRana:n:Rac
acc:kfzRaBawwagOnin,42746:kfzRaBawwagOnin:n:agO
acc:kfzRaBUpAlIya,4757:kfzRaBUpAlIya:n:BUp
acc:kfzRarAjasArvaBOmavaMSaratnAkara,4782:kfzRarAjasArvaBOmavaMSaratnAkara:n:tnA
inm:kfzRasyasaBApraveSa,5933:kfzRasyasaBApraveSa:n:BAp
inm:kfzRAjinottarIya,5925:kfzRAjinottarIya:n:RAj
acc:kfzRAparAjitAkalpa,4845:kfzRAparAjitAkalpa:n:RAp
pui:kfzRApAdas,3548:kfzRApAdas:n:RAp
acc:kfzRABizekaviDi,42803:kfzRABizekaviDi:n:RAB
acc:kfzRAByudaya,4846:kfzRAByudaya:n:RAB
acc:kedAragOrIkaTA,4887:kedAragOrIkaTA:n:agO
acc:kedAragOrIvratakalpa,4888:kedAragOrIvratakalpa:n:agO
bhs:koSagatavastiguhya,5253:koSagatavastiguhya:n:Sag
mw:kOYcAdri,56984:kOYcAdri:n:cAd
acc:kORqadeva,32374:kORqadeva:n:qad
mw:kramaRezwakA,57854.1:kramaRezwakA:n:Rez
sch:kramayogAt,11490:kramayogAt:n:ogA
pwg:klIvAy,20037:klIvAy:n:lIv
mw:kzaRezu,58739:kzaRezu:n:Rez
pui:kzatropetadvijas,3836:kzatropetadvijas:n:ope
mw:kzArapayoBU,59184.1:kzArapayoBU:n:yoB
mw:kzIRAjyakarman,59478:kzIRAjyakarman:n:RAj
sch:kzIrodaDayati,11702:kzIrodaDayati:n:Iro
mw:kzIrodanvat,59814:kzIrodanvat:n:Iro
sch:kzIrodanvan,11703:kzIrodanvan:n:Iro
pui:kzIrodA,3866:kzIrodA:n:Iro
sch:kzIrodAy,11704:kzIrodAy:n:Iro
cae:kzIroDi,8898:kzIroDi:n:Iro
mw:kzIropasecana,59816:kzIropasecana:n:Iro
mw:kzetragatopapatti,60267:kzetragatopapatti:n:top
pe:Kagodara,3509:Kagodara:n:god
acc:KaqgasiMhajanmapattrikA,32437:KaqgasiMhajanmapattrikA:n:haj
acc:KaRqarAjadIkzita,5368:KaRqarAjadIkzita:n:jad
bhs:KaRqarohA,5448:KaRqarohA:n:ohA
mw:KaRqodBUta,61156:KaRqodBUta:n:qod
sch:Karapattrodumbara,11856:Karapattrodumbara:n:odu
acc:KavAyaRasaMhitA,5378:KavAyaRasaMhitA:n:Kav
pui:KiliKilis,3948:KiliKilis:n:lis
acc:gaNgApadyapuzpAYjali,32468:gaNgApadyapuzpAYjali:n:gAp
pe:gaNgAsarasvatIsaMgama,2342:gaNgAsarasvatIsaMgama:n:gAs,tIs
acc:gaNgAsahasranAmAvalI,42936:gaNgAsahasranAmAvalI:n:gAs
acc:gaNgAsnAnAdisaMkalpavAkyadIpa,30567:gaNgAsnAnAdisaMkalpavAkyadIpa:n:gAs
acc:gaNgAsrAnaviDi,5524:gaNgAsrAnaviDi:n:gAs
mw:gaNgodaka,62292:gaNgodaka:n:god
acc:gaNgolIsaMjIveSvaraSarman,5537:gaNgolIsaMjIveSvaraSarman:n:lIs
