pe:aMSuDanapattana,222:aMSuDanapattana:n:SuD
acc:dattArcanAviDicandrikA,43903:dattArcanAviDicandrikA:n:Dic
mw72:dadUkzeRya,21834:dadUkzeRya:n:dUk
acc:dAnakelicintAmaRi,9808:dAnakelicintAmaRi:n:lic
pw:dAmalihy,49734:dAmalihy:n:ihy
acc:durgASUlinIpratikriyA,10132:durgASUlinIpratikriyA:n:gAS,ASU
vcp:dehAtIta,26145:dehAtIta:n:ehA
sch:dehAtmaka,15709:dehAtmaka:n:ehA
vcp:dehAtmapratyaya,26147:dehAtmapratyaya:n:ehA
skd:dehAtmavAdI,17075:dehAtmavAdI:n:ehA
acc:naraharisarkAr,44248:naraharisarkAr:n:rkA
sch:nalinodBUta,16457:nalinodBUta:n:dBU
acc:nArAyaRatarkAcArya,44353:nArAyaRatarkAcArya:n:rkA
sch:nirguwa,16896:nirguwa:n:guw
bur:niskarzAmi,10181:niskarzAmi:n:isk
vcp:nistrERapuzpI,29437:nistrERapuzpI:n:zpI
shs:nihyara,22380:nihyara:n:ihy
acc:paYcastavyalaGustotra,12640:paYcastavyalaGustotra:n:Gus
bhs:patappanti,8809:patappanti:n:app
pe:parihyaNga,5045:parihyaNga:n:ihy
vcp:paScimottarA,31400:paScimottarA:n:mot
pw:pracCannI,70567:pracCannI:n:nnI
pgn:praqAmAra,380:praqAmAra:n:raq
bhs:pratizWapayati,10149:pratizWapayati:n:Wap
ap90:pratIveSit,20150:pratIveSit:n:Ive
ap90:pratyakzijYAta,20181:pratyakzijYAta:n:zij
mw:praTamottama,134594.2:praTamottama:n:mot
mw:praTamotpanna,134596:praTamotpanna:n:mot
mw:praBUtanAgASvaraTa,135616:praBUtanAgASvaraTa:n:gAS
sch:prasannIkaraRa,19618:prasannIkaraRa:n:nnI
wil:prAkftamica,26940:prAkftamica:n:mic
pui:prOzWapadyazwakA,8815:prOzWapadyazwakA:n:Wap
skd:PalArTI,23789:PalArTI:n:rTI
mw:bAlArkAya,144690:bAlArkAya:n:rkA
sch:bAlArkAyita,20189:bAlArkAyita:n:rkA
vei:BaNgASvina,2231:BaNgASvina:n:gAS
acc:BawwavAsudevagoligopa,22006:BawwavAsudevagoligopa:n:igo
bhs:BadrakalpIya,11136:BadrakalpIya:n:lpI
mw:BavadBUtaBavye,149121:BavadBUtaBavye:n:dBU
mw:maDuparkAcamana,155923:maDuparkAcamana:n:rkA
bur:mamO,13057:mamO:n:amO
sch:maraqaSfNgI,21260:maraqaSfNgI:n:raq
inm:mahAmeGacayapraKya,6809:mahAmeGacayapraKya:n:Gac
mw:mizwASA,164567:mizwASA:n:wAS
skd:muktiMdatte,12919:muktiMdatte:n:tte
mw:mfzwASin,167156:mfzwASin:n:wAS
bur:yaqu,13722:yaqu:n:yaq
bhs:yadBUyasikIya,12393:yadBUyasikIya:n:dBU
bhs:raSmicandrorRameGa,12725:raSmicandrorRameGa:n:mic
pw:rasodBUta,93092:rasodBUta:n:dBU
sch:rAjapaTIkf,22582:rAjapaTIkf:n:TIk
acc:rAvillaveNkawabuDa,37298:rAvillaveNkawabuDa:n:wab
md:rerihya,15367:rerihya:n:ihy
pwg:laGusaptatikA,85835:laGusaptatikA:n:Gus
mw72:lihyamAna,40497:lihyamAna:n:ihy
bhs:vajraqAkI,13151:vajraqAkI:n:raq
pw:viBinnI,103655:viBinnI:n:nnI
mw:viSvamBaramETilopADyAya,201253:viSvamBaramETilopADyAya:n:amE
wil:viSvAmica,35985:viSvAmica:n:mic
bhs:vizWapana,14283:vizWapana:n:Wap
mw:vizRudattAgnihotrin,202474:vizRudattAgnihotrin:n:Rud
bhs:vEneyika,14524:vEneyika:n:Ene
mw:vyaqambana,208483.1:vyaqambana:n:yaq
bhs:vyAmotsaNga,14706:vyAmotsaNga:n:mot
bhs:SaMgerI,14790:SaMgerI:n:erI
sch:SaWapratiSaWanyAya,24742:SaWapratiSaWanyAya:n:Wap
skd:SaraRArTI,35014:SaraRArTI:n:rTI
pwg:SalikAjina,98293:SalikAjina:n:kAj
sch:SaSalakzmamOli,24894:SaSalakzmamOli:n:amO
mw:SizwASin,218111:SizwASin:n:wAS
vcp:SrIkaRWapadalAYcana,44202:SrIkaRWapadalAYcana:n:Wap
mw:SrIvfkzakanavamIvrata,223274:SrIvfkzakanavamIvrata:n:Ivf
acc:SvetArkAdikalpa,47455:SvetArkAdikalpa:n:rkA
bhs:sakkin,15496:sakkin:n:kki
mw72:saNgfhRat,48568:saNgfhRat:n:hRa
bhs:saMgerI,15570:saMgerI:n:erI
acc:sanAtanatarkAcArya,47616:sanAtanatarkAcArya:n:rkA
mw:saMdehApanodana,231507:saMdehApanodana:n:ehA
