mw:bisakisalayacCedapATeyavat,145358:bisakisalayacCedapATeyavat:n:bis
mw:bisamfRala,145371:bisamfRala:n:bis
inm:bisastEnyopAKyAna,1693:bisastEnyopAKyAna:n:bis
pui:bIjakarzaRikA,9069:bIjakarzaRikA:n:bIj
cae:bIjakARqaprarorin,22145:bIjakARqaprarorin:n:bIj
acc:bIjakoSamAtfkAvarRanirRaya,40547:bIjakoSamAtfkAvarRanirRaya:n:bIj
mw:bIjagaRitodAharaRa,145408.1:bIjagaRitodAharaRa:n:bIj
pui:bIjaBAvA,9070:bIjaBAvA:n:bIj
acc:bIjavyAkaraRamahAtantra,35029:bIjavyAkaraRamahAtantra:n:bIj
mw:bIjita,145508:bIjita:n:bIj
ccs:bfhaktfRA,16844:bfhaktfRA:n:bfh
ccs:bfhaktva,16845:bfhaktva:n:bfh
ccs:bfhajjayotis,16839:bfhajjayotis:n:bfh
mw:bfhajjAtakaSlokavyAKyAna,146083:bfhajjAtakaSlokavyAKyAna:n:bfh
acc:bfhajjIrakAdimodaka,35040:bfhajjIrakAdimodaka:n:bfh
pe:bfhatkarmA,1335:bfhatkarmA:n:bfh
mw:bfhattuhinaSarkara,146152:bfhattuhinaSarkara:n:bfh
mw:bfhatpattrA,146160:bfhatpattrA:n:bfh
acc:bfhatpArASarasAra,35044:bfhatpArASarasAra:n:bfh
ccs:bfhatsArvAnukramaRI,16849:bfhatsArvAnukramaRI:n:bfh
ccs:bfhatsusna,16850:bfhatsusna:n:bfh
pw:bfhadambAlakA,77506:bfhadambAlakA:n:bfh
mw:bfhadasfNmati,146244:bfhadasfNmati:n:bfh
mw:bfhadAraRyakavizayanirRaya,146247.30:bfhadAraRyakavizayanirRaya:n:bfh
pe:bfhadizWa,1313:bfhadizWa:n:bfh
acc:bfhadISvaramAhAtmya,35048:bfhadISvaramAhAtmya:n:bfh
vcp:bfhaduttaratApanI,35750:bfhaduttaratApanI:n:bfh
ccs:bfhadgravan,16859:bfhadgravan:n:bfh
mw:bfhaddivezu,146275:bfhaddivezu:n:bfh
pui:bfhadbAnu,9163:bfhadbAnu:n:bfh
mw:bfhadraTA,146316:bfhadraTA:n:bfh
acc:bfhadrudropapurARa,20621:bfhadrudropapurARa:n:bfh
acc:bfhadvEdyaprasAraka,35053:bfhadvEdyaprasAraka:n:bfh
sch:bfhannaqA,20317:bfhannaqA:n:bfh
inm:brahmanirmitaMsaras,1765:brahmanirmitaMsaras:n:rmi
ccs:BasmAbaSeza,17265:BasmAbaSeza:n:mAb
mci:maRqalArDa,542:maRqalArDa:n:ArD
