pd:agnIvaruRO,11831:agnIvaruRO:n:
pd:agnIzomIyAlamBanaviDi,12020:agnIzomIyAlamBanaviDi:n:
pd:agnIzomIyAlamBaviDi,12019:agnIzomIyAlamBaviDi:n:
pd:agneHstoma,12047:agneHstoma:n:
pd:agneyAnI,12038:agneyAnI:n:
pd:agnyAdideha,12293:agnyAdideha:n:
pd:agnyAdidEvatya,12292:agnyAdidEvatya:n:
pd:agnyApaHsaMyoga,12447:agnyApaHsaMyoga:n:
pd:agnyApatti,12446:agnyApatti:n:
pd:agragasEnDava,12629:agragasEnDava:n:
pd:agragAmikA,12628:agragAmikA:n:
pd:agrataHkf,12759:agrataHkf:n:
pd:agrataHkfta,12742:agrataHkfta:n:
pd:agrataHsTApayitvA,12763:agrataHsTApayitvA:n:
pd:agratana,12744:agratana:n:
pd:agrapattrAgraka,12876:agrapattrAgraka:n:
pd:agrapatnI,12874:agrapatnI:n:
pd:agraprahArin,12946:agraprahArin:n:
pd:agraprahita,12945:agraprahita:n:
pd:agravaktf,13065:agravaktf:n:
pd:agravaktra,13064:agravaktra:n:
pd:agrAhyagrahaRa,13449:agrAhyagrahaRa:n:
pd:agrAhyagrAhakatva,13428:agrAhyagrAhakatva:n:
pd:aGozin,14245:aGozin:n:
pd:aGozodaya,14243:aGozodaya:n:
pd:aNkada,14389:aNkada:n:
pd:aNkadamBatas,14388:aNkadamBatas:n:
pd:aNkanaSAstra,14408:aNkanaSAstra:n:
pd:aNkanasamUha,14407:aNkanasamUha:n:
pd:aNkAvayava,14621:aNkAvayava:n:
pd:aNkAvasAna,14620:aNkAvasAna:n:
pd:aNgacCala,15266:aNgacCala:n:
pd:aNgacCavi,15255:aNgacCavi:n:
pd:aNgajajanman,15283:aNgajajanman:n:
pd:aNgajaqiman,15275:aNgajaqiman:n:
pd:aNgatvADyAropa,15676:aNgatvADyAropa:n:
pd:aNgatvAnaBiDAna,15483:aNgatvAnaBiDAna:n:
pd:aNganAniHsaha,15683:aNganAniHsaha:n:
pd:aNganAnivaha,15682:aNganAnivaha:n:
pd:aNganAntaHsTa,15686:aNganAntaHsTa:n:
pd:aNganAntar,15684:aNganAntar:n:
pd:aNgapuraHsara,15825:aNgapuraHsara:n:
pd:aNgapuraprasidDa,15823:aNgapuraprasidDa:n:
pd:aNgaBramarikA,16055:aNgaBramarikA:n:
pd:aNgaBramarI,16054:aNgaBramarI:n:
pd:aNgahaviHsaMbanDa,16670:aNgahaviHsaMbanDa:n:
pd:aNgahavirAsAdana,16667:aNgahavirAsAdana:n:
pd:aNgAraKAtikA,17187:aNgAraKAtikA:n:
pd:aNgAraganDarva,17014:aNgAraganDarva:n:
pd:aNgASrayavijYAna,17308:aNgASrayavijYAna:n:
pd:aNgASrayasadman,17307:aNgASrayasadman:n:
pd:aNgiraHsutA,17405:aNgiraHsutA:n:
pd:aNgiras,17377:aNgiras:n:
pd:aNgirasAMsaMkroSa,17391:aNgirasAMsaMkroSa:n:
pd:aNgirasAMkalpa,17388:aNgirasAMkalpa:n:
pd:aNgirovAkya,17431:aNgirovAkya:n:
pd:aNgirovrata,17430:aNgirovrata:n:
pd:aNGaHsaNGa,18550:aNGaHsaNGa:n:
pd:aNGas,18549:aNGas:n:
pd:acakzuHsparSa,18756:acakzuHsparSa:n:
pd:acakzurAdivedya,18744:acakzurAdivedya:n:
pd:acatanatAdAtmya,19803:acatanatAdAtmya:n:
pd:acatur,18793:acatur:n:
pd:acalaBEravakzetrapAla,18979:acalaBEravakzetrapAla:n:
pd:acalaBoga,18978:acalaBoga:n:
pd:acicyAvayizat,19231:acicyAvayizat:n:
pd:aciCakti,19225:aciCakti:n:
pd:acidDetu,19331:acidDetu:n:
pd:acidDvAnta,19330:acidDvAnta:n:
pd:acirakAlika,19563:acirakAlika:n:
pd:acirakAlena,19551:acirakAlena:n:
pd:aciraniBfta,19592:aciraniBfta:n:
pd:aciranirudDa,19591:aciranirudDa:n:
pd:acetanIBUtA,19917:acetanIBUtA:n:
pd:acetanekzaRaprAyapAWa,19857:acetanekzaRaprAyapAWa:n:
pd:acodas,19979:acodas:n:
pd:acodAt,19969:acodAt:n:
pd:acoditadeSopAdAna,19990:acoditadeSopAdAna:n:
pd:acoditadravya,19985:acoditadravya:n:
pd:acCaPena,20212:acCaPena:n:
pd:acCaBalla,20136:acCaBalla:n:
pd:acyutanABipaNkaja,20562:acyutanABipaNkaja:n:
pd:acyutanABipadma,20561:acyutanABipadma:n:
pd:acyutasAt,20650:acyutasAt:n:
pd:acyutasAtkarman,20649:acyutasAtkarman:n:
pd:ajayAna,21199:ajayAna:n:
pd:ajayABiDAna,21198:ajayABiDAna:n:
pd:ajahadrUpa,21510:ajahadrUpa:n:
pd:ajahadvAcyA,21507:ajahadvAcyA:n:
pd:ajAvyAdi,21980:ajAvyAdi:n:
pd:ajAvraja,21979:ajAvraja:n:
pd:ajitasiMhAKya,22105:ajitasiMhAKya:n:
pd:ajitasena,22097:ajitasena:n:
pd:ajIvAditattva,22419:ajIvAditattva:n:
pd:ajIvApratyAKyAna,22418:ajIvApratyAKyAna:n:
pd:ajYajanapadarIti,22558:ajYajanapadarIti:n:
pd:ajYajanaprasidDa,22553:ajYajanaprasidDa:n:
pd:ajYAtArTajYApakatva,23090:ajYAtArTajYApakatva:n:
pd:ajYAtArTatva,23085:ajYAtArTatva:n:
pd:ajYAtepsitahfdaya,23128:ajYAtepsitahfdaya:n:
pd:ajYAteya,23127:ajYAteya:n:
pd:ajYAnatamonuvftti,23230:ajYAnatamonuvftti:n:
pd:ajYAnatamonDa,23229:ajYAnatamonDa:n:
pd:ajYAnAvaraRAMSa,23814:ajYAnAvaraRAMSa:n:
pd:ajYAnAvaraRIya,23813:ajYAnAvaraRIya:n:
pd:ajYAnopahitatA,23886:ajYAnopahitatA:n:
pd:ajYAnopahitabrahman,23883:ajYAnopahitabrahman:n:
pd:ajYAyamAnArTa,23930:ajYAyamAnArTa:n:
pd:ajYAyamAnArTatva,23923:ajYAyamAnArTatva:n:
pd:ajYAvidDa,23932:ajYAvidDa:n:
pd:ajYAviSeza,23931:ajYAviSeza:n:
pd:ajra,23973:ajra:n:
pd:ajrUpatva,23972:ajrUpatva:n:
pd:aYit,24000:aYit:n:
pd:aYI,23999:aYI:n:
pd:awavyantar,24816:awavyantar:n:
pd:awavyapasArin,24812:awavyapasArin:n:
pd:awAwyAmAtra,24832:awAwyAmAtra:n:
pd:awAwyAya,24831:awAwyAya:n:
pd:awAla,24836:awAla:n:
pd:awAvISuka,24792:awAvISuka:n:
pd:aRAdisaMjYA,25149:aRAdisaMjYA:n:
pd:aRAdisamAveSa,25148:aRAdisamAveSa:n:
pd:aRimAdyazwaka,25226:aRimAdyazwaka:n:
pd:aRimAdyAvaraRaSakti,25225:aRimAdyAvaraRaSakti:n:
pd:aRukaGfRi,25256:aRukaGfRi:n:
pd:aRukaRakzAmA,25255:aRukaRakzAmA:n:
pd:aRutvAdyaBiDAyaka,25349:aRutvAdyaBiDAyaka:n:
pd:aRutvAdyAramBaka,25347:aRutvAdyAramBaka:n:
pd:aRumat,25438:aRumat:n:
pd:aRumatsya,25435:aRumatsya:n:
pd:aRqabAhyasTa,25682:aRqabAhyasTa:n:
pd:aRqabAhyA,25681:aRqabAhyA:n:
pd:aRqayoHstabDa,25701:aRqayoHstabDa:n:
pd:aRqayonitva,25700:aRqayonitva:n:
pd:aRqalasacCrI,25709:aRqalasacCrI:n:
pd:aRqalI,25708:aRqalI:n:
pd:aRqaSUna,25725:aRqaSUna:n:
pd:aRqasaMlagna,25718:aRqasaMlagna:n:
pd:aRqasfzwyuttarakAlInatA,25737:aRqasfzwyuttarakAlInatA:n:
pd:aRqasfzwyupAya,25736:aRqasfzwyupAya:n:
pd:ataHSabdopAdAna,26760:ataHSabdopAdAna:n:
pd:ataka,25889:ataka:n:
pd:atacCaNkIBUya,25899:atacCaNkIBUya:n:
pd:atacCabda,25893:atacCabda:n:
pd:atadAropa,26225:atadAropa:n:
pd:atadAlamba,26221:atadAlamba:n:
pd:atadAveSa,26226:atadAveSa:n:
pd:atadASraya,26223:atadASraya:n:
pd:ataddravyatva,26259:ataddravyatva:n:
pd:ataddvayIjitvara,26258:ataddvayIjitvara:n:
pd:atanutamatamas,26418:atanutamatamas:n:
pd:atanutamas,26416:atanutamas:n:
pd:atarpayitvA,26713:atarpayitvA:n:
pd:atarparka,26710:atarparka:n:
pd:atalatratsaruyutA,26719:atalatratsaruyutA:n:
pd:atalatva,26718:atalatva:n:
pd:atikrAntAnekajanmakfta,27452:atikrAntAnekajanmakfta:n:
