vei:cARqAla,967:cARqAla:n:
vei:janamejaya,1009:janamejaya:n:
vei:janaSArkarakzya,1005:janaSArkarakzya:n:
vei:jAtarUpa,1037:jAtarUpa:n:
vei:jAtaSAkAyanya,1036:jAtaSAkAyanya:n:
vei:jYAti,1082:jYAti:n:
vei:jYAtf,1081:jYAtf:n:
vei:talava,1121:talava:n:
vei:talASa,1119:talASa:n:
vei:tAyAdara,1139:tAyAdara:n:
vei:tAyu,1125:tAyu:n:
vei:duHzanta,1341:duHzanta:n:
vei:duGA,1325:duGA:n:
vei:dOHzanti,1393:dOHzanti:n:
vei:dOreSravas,1390:dOreSravas:n:
vei:Dvasanti,1468:Dvasanti:n:
vei:DvasandvEtavana,1467:DvasandvEtavana:n:
vei:paTikft,1668:paTikft:n:
vei:paTinsOBara,1667:paTinsOBara:n:
vei:pAkaru,1757:pAkaru:n:
vei:pAkasTAmankOrayARa,1756:pAkasTAmankOrayARa:n:
vei:pASadyumnavAyata,1807:pASadyumnavAyata:n:
vei:pASin,1806:pASin:n:
vei:punaHsara,1858:punaHsara:n:
vei:punardatta,1855:punardatta:n:
vei:punarvasu,1857:punarvasu:n:
vei:punarvasU,1479:punarvasU:n:
vei:puruzanti,1878:puruzanti:n:
vei:puruzamfga,1876:puruzamfga:n:
vei:prajApatya,2061:prajApatya:n:
vei:prajAvantprAjApatya,1976:prajAvantprAjApatya:n:
vei:balbUTa,2149:balbUTa:n:
vei:balhika,2147:balhika:n:
vei:maGA,2318:maGA:n:
vei:maGAs,1482:maGAs:n:
vei:manuzyaviS,2353:manuzyaviS:n:
vei:manoravasarpaRa,2351:manoravasarpaRa:n:
vei:manTAlava,2460:manTAlava:n:
vei:manTAvala,2358:manTAvala:n:
vei:mAya,2466:mAya:n:
vei:mAyava,2465:mAyava:n:
vei:mfgaSiras,2516:mfgaSiras:n:
vei:mfgaSIrza,1477:mfgaSIrza:n:
vei:rAmakAyana,2692:rAmakAyana:n:
vei:rAmakrAtujAteya,2690:rAmakrAtujAteya:n:
vei:reBa,2713:reBa:n:
vei:revatI,1493:revatI:n:
vei:romaSA,2725:romaSA:n:
vei:rohiRI,1476:rohiRI:n:
vei:vaSa,2837:vaSa:n:
vei:vaSaaSvya,2836:vaSaaSvya:n:
vei:vAtavata,2875:vAtavata:n:
vei:vAtavant,2874:vAtavant:n:
vei:vicft,2932:vicft:n:
vei:vicftO,1489:vicftO:n:
vei:viSara,2980:viSara:n:
vei:viSAKe,1486:viSAKe:n:
vei:viSvAmitra,2992:viSvAmitra:n:
vei:viSvAsAman,2990:viSvAsAman:n:
vei:vizARakA,2996:vizARakA:n:
vei:vizARA,2995:vizARA:n:
vei:vizUcikA,3000:vizUcikA:n:
vei:vizUvant,2998:vizUvant:n:
vei:vEdarBi,3077:vEdarBi:n:
vei:vEdUrya,3069:vEdUrya:n:
vei:SaNKaDama,3145:SaNKaDama:n:
vei:SaNKabABravya,3144:SaNKabABravya:n:
vei:SatabalAkzamOdgalya,3153:SatabalAkzamOdgalya:n:
vei:SataBizaj,1492:SataBizaj:n:
vei:SamUla,3237:SamUla:n:
vei:Sambara,3170:Sambara:n:
vei:SaravyA,3184:SaravyA:n:
vei:SaraSOradevya,3180:SaraSOradevya:n:
vei:SravizWa,3374:SravizWa:n:
vei:SravizWAs,1491:SravizWAs:n:
vei:SruzavAhneya,3383:SruzavAhneya:n:
vei:SruzwiANgirasa,3354:SruzwiANgirasa:n:
vei:SrezWin,3386:SrezWin:n:
vei:SroRA,1490:SroRA:n:
vei:saMgati,3429:saMgati:n:
vei:saNgaprayogi,3428:saNgaprayogi:n:
vei:saptavaDri,3476:saptavaDri:n:
vei:saptasinDavaH,3473:saptasinDavaH:n:
vei:sabanDu,3479:sabanDu:n:
vei:sabara,3167:sabara:n:
vei:sAlAvfka,3562:sAlAvfka:n:
vei:sAli,3256:sAli:n:
vei:sAvarRi,3564:sAvarRi:n:
vei:sAvasAyana,3259:sAvasAyana:n:
vei:silAYjAlA,3575:silAYjAlA:n:
vei:siSnadeva,3293:siSnadeva:n:
vei:sukurIra,3588:sukurIra:n:
vei:sukeSinBAradvAja,3587:sukeSinBAradvAja:n:
vei:suDanvanANgirasa,3603:suDanvanANgirasa:n:
vei:sunahotra,3314:sunahotra:n:
vei:sunITakApawava,3605:sunITakApawava:n:
vei:sunITaSOcadraTa,3604:sunITaSOcadraTa:n:
vei:sumnayu,3620:sumnayu:n:
vei:sumbala,3317:sumbala:n:
vei:suSAradaSAlaNkAyana,3630:suSAradaSAlaNkAyana:n:
vei:suSmiRa,3322:suSmiRa:n:
vei:suSravasvArzagaRya,3634:suSravasvArzagaRya:n:
vei:suzavArzRa,3329:suzavArzRa:n:
vei:sUryacandramasA,3654:sUryacandramasA:n:
vei:sUryanakzatra,3653:sUryanakzatra:n:
vei:sElaga,3671:sElaga:n:
vei:sElAli,3340:sElAli:n:
vei:somapitsaru,3678:somapitsaru:n:
vei:somaprAtiveSya,3675:somaprAtiveSya:n:
vei:somaSuzmanvAjaratnAyana,3680:somaSuzmanvAjaratnAyana:n:
vei:somaSuzmasAtyayajYi,3679:somaSuzmasAtyayajYi:n:
vei:svanayaBAvya,3756:svanayaBAvya:n:
vei:svapad,3395:svapad:n:
vei:svasrIya,3767:svasrIya:n:
vei:svAtI,1485:svAtI:n:
vei:havis,3792:havis:n:
vei:hasta,1483:hasta:n:
