ap:aDikAritA,1044:aDikAritA:n:
ap:aDikArin,1043:aDikArin:n:
ap:aDikArin,1043:aDikArin:n:
ap:aDikf,1036:aDikf:n:
ap:aDigantf,1057:aDigantf:n:
ap:aDigam,1053:aDigam:n:
ap:aDin,4586:aDin:n:
ap:aDinATaH,1075:aDinATaH:n:
ap:aDinirRij,1078:aDinirRij:n:
ap:aDinI,1076:aDinI:n:
ap:aDipAMSula,1083:aDipAMSula:n:
ap:aDipAH,1082:aDipAH:n:
ap:aDiBatam,1091:aDiBatam:n:
ap:aDiBUH,1090:aDiBUH:n:
ap:aDirUzita,1118:aDirUzita:n:
ap:aDiropaH,1023:aDiropaH:n:
ap:aDivaktf,1124:aDivaktf:n:
ap:aDivac,1123:aDivac:n:
ap:aDivacanam,1125:aDivacanam:n:
ap:aDivalam,1089:aDivalam:n:
ap:aDivastra,1128:aDivastra:n:
ap:aDivAkaH,1126:aDivAkaH:n:
ap:aDivAs,1131:aDivAs:n:
ap:aDivAsaH,1129:aDivAsaH:n:
ap:aDivAsita,1135:aDivAsita:n:
ap:aDivAsin,1134:aDivAsin:n:
ap:aDivinnA,1139:aDivinnA:n:
ap:aDivettavyA,1024:aDivettavyA:n:
ap:aDiSayita,1144:aDiSayita:n:
ap:aDiSI,1143:aDiSI:n:
ap:aDiSrayaRam,1147:aDiSrayaRam:n:
ap:aDiSri,1145:aDiSri:n:
ap:aDiSri,1145:aDiSri:n:
ap:aDiSrita,1025:aDiSrita:n:
ap:aDizWAnam,1154:aDizWAnam:n:
ap:aDizWita,1152:aDizWita:n:
ap:aDIkAraH,1171:aDIkAraH:n:
ap:aDIta,1158:aDIta:n:
ap:aDImanTa,1173:aDImanTa:n:
ap:aDIyAnaH,1161:aDIyAnaH:n:
ap:aDokza,1190:aDokza:n:
ap:aDonibanDaH,1162:aDonibanDaH:n:
ap:aDonibanDaH,1162:aDonibanDaH:n:
ap:aDopahAsaH,1026:aDopahAsaH:n:
ap:aDyaya,1199:aDyaya:n:
ap:aDyayaH,1163:aDyayaH:n:
ap:aDyavasin,1207:aDyavasin:n:
ap:aDyavaso,1202:aDyavaso:n:
ap:aDyasta,1212:aDyasta:n:
ap:aDyasTi,1210:aDyasTi:n:
ap:aDyAkAnta,1215:aDyAkAnta:n:
ap:aDyAkram,1214:aDyAkram:n:
ap:aDyApaka,1219:aDyApaka:n:
ap:aDyApakaH,1165:aDyApakaH:n:
ap:aDyAs,1228:aDyAs:n:
ap:aDyAsaH,1213:aDyAsaH:n:
ap:aDyAhAraH,1232:aDyAhAraH:n:
ap:aDyuzita,1130:aDyuzita:n:
ap:aDyUhanam,1241:aDyUhanam:n:
ap:aDyetf,1170:aDyetf:n:
ap:anaMSumatPalA,1260:anaMSumatPalA:n:
ap:anaH,1257:anaH:n:
ap:anakasmAt,1266:anakasmAt:n:
ap:anakz,1263:anakz:n:
ap:anaqutka,1281:anaqutka:n:
ap:anaquh,1280:anaquh:n:
ap:anaDyAyaH,1294:anaDyAyaH:n:
ap:ananam,1258:ananam:n:
ap:anantarAya,1304:anantarAya:n:
ap:anantarIya,1302:anantarIya:n:
ap:anantargarBin,1305:anantargarBin:n:
ap:anantavat,1300:anantavat:n:
ap:anantavat,1300:anantavat:n:
ap:anantya,1299:anantya:n:
ap:anarTya,1371:anarTya:n:
ap:anarDa,1366:anarDa:n:
ap:anavekza,1415:anavekza:n:
ap:anavekzaka,1414:anavekzaka:n:
ap:anAkAnta,1437:anAkAnta:n:
ap:anAkAra,1431:anAkAra:n:
ap:anAganDita,1446:anAganDita:n:
ap:anAgama,1442:anAgama:n:
ap:anAgas,1447:anAgas:n:
ap:anAgAmin,1444:anAgAmin:n:
ap:anAtmaka,1453:anAtmaka:n:
ap:anAtman,1452:anAtman:n:
ap:anAbila,1522:anAbila:n:
ap:anABayin,1483:anABayin:n:
ap:anAmaka,1486:anAmaka:n:
ap:anAman,1485:anAman:n:
ap:anAmayitnu,1490:anAmayitnu:n:
ap:anAmA,1487:anAmA:n:
ap:anAvayA,1517:anAvayA:n:
ap:anAvara,1500:anAvara:n:
ap:anAsrAva,1546:anAsrAva:n:
ap:anAsvAda,1544:anAsvAda:n:
ap:anicidarSin,1639:anicidarSin:n:
ap:anicCa,1559:anicCa:n:
ap:animiza,1580:animiza:n:
ap:animizama,1579:animizama:n:
ap:anirloqita,1614:anirloqita:n:
ap:anirvacanam,1601:anirvacanam:n:
ap:anirviRRa,1606:anirviRRa:n:
ap:anirvida,1605:anirvida:n:
ap:anirvftiH,1609:anirvftiH:n:
ap:anirvedaH,1607:anirvedaH:n:
ap:anilamBasamADiH,1613:anilamBasamADiH:n:
ap:aniloqita,1612:aniloqita:n:
ap:anivizwa,1619:anivizwa:n:
ap:aniveSana,1618:aniveSana:n:
ap:anizwA,1627:anizwA:n:
ap:anizwin,1625:anizwin:n:
ap:anukakaca,1693:anukakaca:n:
ap:anukacCam,1652:anukacCam:n:
ap:anukamaRam,1698:anukamaRam:n:
ap:anukamp,1656:anukamp:n:
ap:anukarzan,1687:anukarzan:n:
ap:anukalayati,1671:anukalayati:n:
ap:anukalayati,1671:anukalayati:n:
ap:anukalpaH,1663:anukalpaH:n:
ap:anukArya,1680:anukArya:n:
ap:anukAla,1667:anukAla:n:
ap:anukIrRa,1682:anukIrRa:n:
ap:anukIrtanam,1668:anukIrtanam:n:
ap:anukuS,1699:anukuS:n:
ap:anukUla,1669:anukUla:n:
ap:anukoSaH,1700:anukoSaH:n:
ap:anukta,1691:anukta:n:
ap:anugatiH,1711:anugatiH:n:
ap:anugam,1708:anugam:n:
ap:anugAdin,1719:anugAdin:n:
ap:anugAmin,1713:anugAmin:n:
ap:anugItam,1728:anugItam:n:
ap:anugItA,1721:anugItA:n:
ap:anugItiH,1729:anugItiH:n:
ap:anuguRa,1723:anuguRa:n:
ap:anugfham,1730:anugfham:n:
ap:anugE,1727:anugE:n:
ap:anugrAsakaH,1735:anugrAsakaH:n:
ap:anugrAhaka,1734:anugrAhaka:n:
ap:anugrAhaka,1734:anugrAhaka:n:
