skd:aSmaH,2767:aSmaH:n:
skd:aSrutaM,2804:aSrutaM:n:
skd:aSrudDaM,2751:aSrudDaM:n:
skd:aSvavadyaH,2851:aSvavadyaH:n:
skd:aSvavahaH,2847:aSvavahaH:n:
skd:aSvAkzaH,2863:aSvAkzaH:n:
skd:aSvAriH,2857:aSvAriH:n:
skd:asaNkulaH,2916:asaNkulaH:n:
skd:asaMKyaH,2908:asaMKyaH:n:
skd:asaNKyaH,2917:asaNKyaH:n:
skd:asaMKyAtaM,2909:asaMKyAtaM:n:
skd:asat,2921:asat:n:
skd:asatI,2918:asatI:n:
skd:asan,2929:asan:n:
skd:asanaM,2926:asanaM:n:
skd:asAkzAt,2957:asAkzAt:n:
skd:asADAraRaM,2949:asADAraRaM:n:
skd:asAraM,2955:asAraM:n:
skd:asAraH,2954:asAraH:n:
skd:asukzaRaM,2999:asukzaRaM:n:
skd:asuKaM,2988:asuKaM:n:
skd:asUkzaRaM,3003:asUkzaRaM:n:
skd:asUyA,3000:asUyA:n:
skd:asUrkzaRam,3002:asUrkzaRam:n:
skd:asUryyampaSyA,3001:asUryyampaSyA:n:
skd:astaM,3013:astaM:n:
skd:astaH,3012:astaH:n:
skd:asvaH,42142:asvaH:n:
skd:asvacCandaH,3083:asvacCandaH:n:
skd:aharmuKaM,3113:aharmuKaM:n:
skd:aharmmaRiH,3112:aharmmaRiH:n:
skd:ahAryyaM,3121:ahAryyaM:n:
skd:ahAryyaH,3120:ahAryyaH:n:
skd:ahiMsrA,3123:ahiMsrA:n:
skd:ahiH,3122:ahiH:n:
skd:ahimAraH,3143:ahimAraH:n:
skd:ahimuk,3141:ahimuk:n:
skd:AGA,3563:AGA:n:
skd:AGAwaH,3264:AGAwaH:n:
skd:AtmarakzA,3380:AtmarakzA:n:
skd:AtmavIraH,3375:AtmavIraH:n:
skd:Apat,3513:Apat:n:
skd:ApatikaH,3512:ApatikaH:n:
skd:ApastamBinI,3525:ApastamBinI:n:
skd:ApastamvaH,3524:ApastamvaH:n:
skd:AbalyaM,3815:AbalyaM:n:
