yat:anahaMvAdin,1087:anahaMvAdin:n:
yat:anahaMkAra,1085:anahaMkAra:n:
yat:anAgatArtavA,1097:anAgatArtavA:n:
yat:anAgati,1096:anAgati:n:
yat:anAtmanIna,1105:anAtmanIna:n:
yat:anAtmavat,1104:anAtmavat:n:
yat:anArogya,1127:anArogya:n:
yat:anArjava,1124:anArjava:n:
yat:anirveSa,44537:anirveSa:n:
yat:anirvvarttyamAna,44535:anirvvarttyamAna:n:
yat:anIcidarSin,1206:anIcidarSin:n:
yat:anIcEH,1204:anIcEH:n:
yat:anukampitAtman,44542:anukampitAtman:n:
yat:anukampin,44541:anukampin:n:
yat:anucCizwa,1260:anucCizwa:n:
yat:anucCvAsa,1259:anucCvAsa:n:
yat:anupaBukta,1304:anupaBukta:n:
yat:anupama,1303:anupama:n:
yat:anubiDAyitva,1369:anubiDAyitva:n:
yat:anuboDa,1322:anuboDa:n:
yat:anuvanaM,1364:anuvanaM:n:
yat:anuvarttana,1359:anuvarttana:n:
yat:anuvAsana,1368:anuvAsana:n:
yat:anuvidDa,1367:anuvidDa:n:
yat:anuSIlana,1380:anuSIlana:n:
yat:anuSoka,1378:anuSoka:n:
yat:anuzWAna,1386:anuzWAna:n:
yat:anuzRa,1385:anuzRa:n:
yat:anEkAnta,1426:anEkAnta:n:
yat:anEkya,1425:anEkya:n:
yat:anta,1440:anta:n:
yat:antaHkaraRa,1429:antaHkaraRa:n:
yat:antarjotis,1470:antarjotis:n:
yat:antarjvalana,1468:antarjvalana:n:
yat:antardDi,1475:antardDi:n:
yat:antardvAra,1472:antardvAra:n:
yat:antevAsitva,1503:antevAsitva:n:
yat:antevAsin,1502:antevAsin:n:
yat:anDakAmuhfd,1525:anDakAmuhfd:n:
yat:anDakAra,1524:anDakAra:n:
yat:anyaTAtva,1570:anyaTAtva:n:
yat:anyaTAsidDi,1568:anyaTAsidDi:n:
yat:anyAyavfttimat,1586:anyAyavfttimat:n:
yat:anyAyin,1584:anyAyin:n:
yat:anyonya,1593:anyonya:n:
yat:anyomAtfja,1592:anyomAtfja:n:
yat:apakroSa,1643:apakroSa:n:
yat:apakva,1639:apakva:n:
yat:aparati,1707:aparati:n:
yat:aparatva,1706:aparatva:n:
yat:aparaloka,1711:aparaloka:n:
yat:aparava,1710:aparava:n:
yat:aparADIna,1719:aparADIna:n:
yat:aparAMmuKa,1713:aparAMmuKa:n:
yat:apavAha,1760:apavAha:n:
yat:apavAhya,1752:apavAhya:n:
yat:apavyayamAna,1768:apavyayamAna:n:
yat:apavyayin,1767:apavyayin:n:
yat:apasaraRa,1784:apasaraRa:n:
yat:apasarjana,1783:apasarjana:n:
yat:apasavya,1787:apasavya:n:
yat:apasAnta,1624:apasAnta:n:
yat:apekzabudDi,1872:apekzabudDi:n:
yat:apekzA,1871:apekzA:n:
yat:aprasanna,1927:aprasanna:n:
yat:aprasahya,1926:aprasahya:n:
yat:abadAhezwakApaTa,3154:abadAhezwakApaTa:n:
yat:abadDa,1946:abadDa:n:
yat:abaDIra,3167:abaDIra:n:
yat:abaDya,1949:abaDya:n:
yat:abarohin,3257:abarohin:n:
yat:abala,1952:abala:n:
yat:abasavya,3311:abasavya:n:
yat:abADa,1954:abADa:n:
yat:abiSeza,3495:abiSeza:n:
yat:abuDa,1957:abuDa:n:
yat:aBicAraka,2017:aBicAraka:n:
yat:aBicAramantra,2016:aBicAramantra:n:
yat:aBinizWAna,2055:aBinizWAna:n:
yat:aBinizpatana,2053:aBinizpatana:n:
yat:aBiparIta,2065:aBiparIta:n:
yat:aBipUjita,2063:aBipUjita:n:
yat:aBimantf,2082:aBimantf:n:
yat:aBimantraRa,2081:aBimantraRa:n:
yat:aBiSaMsana,2130:aBiSaMsana:n:
yat:aBiSaNkita,2127:aBiSaNkita:n:
yat:aBiSabdita,2135:aBiSabdita:n:
yat:aBiSasta,2131:aBiSasta:n:
yat:aBisambanDa,2163:aBisambanDa:n:
yat:aBisambADa,2161:aBisambADa:n:
yat:aByamitrya,2218:aByamitrya:n:
yat:aByamin,2216:aByamin:n:
yat:aByudDfta,2263:aByudDfta:n:
yat:aByudyata,2262:aByudyata:n:
yat:aByupApavat,2272:aByupApavat:n:
yat:aByupAya,2271:aByupAya:n:
yat:aBraroha,2293:aBraroha:n:
yat:aBraliha,2281:aBraliha:n:
yat:amanoma,2321:amanoma:n:
yat:amanoyoga,2320:amanoyoga:n:
yat:amanohara,2322:amanohara:n:
yat:amantavya,2315:amantavya:n:
yat:amA,2361:amA:n:
yat:amAMsa,2360:amAMsa:n:
yat:amArjjita,2379:amArjjita:n:
yat:amAvasI,2374:amAvasI:n:
yat:amitOjas,2383:amitOjas:n:
yat:amitra,2382:amitra:n:
yat:amftataraNgiRI,2411:amftataraNgiRI:n:
yat:amftatA,2410:amftatA:n:
yat:amftaBU,44661:amftaBU:n:
yat:amftamaya,44660:amftamaya:n:
yat:amftasodara,2419:amftasodara:n:
yat:amftasrut,2418:amftasrut:n:
yat:amBaHpatanasamaya,2489:amBaHpatanasamaya:n:
yat:amBas,2488:amBas:n:
yat:amlavfkza,2519:amlavfkza:n:
yat:amlavetasa,2518:amlavetasa:n:
yat:ayaTAbalaM,2538:ayaTAbalaM:n:
yat:ayaTArTa,2536:ayaTArTa:n:
yat:araRyaDyAkza,2601:araRyaDyAkza:n:
yat:araRyabAsa,2598:araRyabAsa:n:
yat:araRyabAsa,2598:araRyabAsa:n:
yat:araRyamakzikA,2595:araRyamakzikA:n:
yat:araRyayAnI,2602:araRyayAnI:n:
yat:araRyarakzaka,2596:araRyarakzaka:n:
yat:aratni,2606:aratni:n:
yat:araDawwaka,2586:araDawwaka:n:
yat:arcis,2727:arcis:n:
yat:arccaka,2721:arccaka:n:
yat:arttikA,2750:arttikA:n:
yat:arttihan,2748:arttihan:n:
yat:arTasaMsTAna,2788:arTasaMsTAna:n:
yat:arTasaMgraha,2787:arTasaMgraha:n:
yat:arTasambanDa,2790:arTasambanDa:n:
yat:arTasambanDin,2785:arTasambanDin:n:
yat:arTABa,2803:arTABa:n:
yat:arTArTin,2802:arTArTin:n:
yat:arTAzman,2810:arTAzman:n:
yat:arTika,2804:arTika:n:
yat:arTopArjana,2809:arTopArjana:n:
yat:arTopekzepaka,2808:arTopekzepaka:n:
yat:ardanA,2815:ardanA:n:
yat:ardani,2814:ardani:n:
yat:ardita,2816:ardita:n:
yat:ardd,2812:ardd:n:
yat:ardDoMruka,2855:ardDoMruka:n:
yat:ardDokta,2854:ardDokta:n:
yat:arSehita,2885:arSehita:n:
yat:arSoMrogayuta,2883:arSoMrogayuta:n:
yat:arSoMrogayuta,2883:arSoMrogayuta:n:
yat:arSoGna,2881:arSoGna:n:
yat:alolutva,2989:alolutva:n:
yat:alolupa,2988:alolupa:n:
