acc:karmaratnAvalI,3374:karmaratnAvalI:n:
acc:karmaviDAna,42432:karmaviDAna:n:
acc:karmavipAka,3376:karmavipAka:n:
acc:karmavipAkasaMgraha,3386:karmavipAkasaMgraha:n:
acc:karmavipAkasamuccaya,31997:karmavipAkasamuccaya:n:
acc:karmavipAkasArodDAra,42435:karmavipAkasArodDAra:n:
acc:karmavipAkArka,3388:karmavipAkArka:n:
acc:karmavipAkArka,3388:karmavipAkArka:n:
acc:karmaSaNkara,30342:karmaSaNkara:n:
acc:karmasaraRi,39571:karmasaraRi:n:
acc:karmasUtra,3389:karmasUtra:n:
acc:karmopadeSa,42437:karmopadeSa:n:
acc:karmopadeSinI,3392:karmopadeSinI:n:
acc:kalAkalApa,3403:kalAkalApa:n:
acc:kalAkOmudIcampU,30345:kalAkOmudIcampU:n:
acc:kalApacandrikA,42485:kalApacandrikA:n:
acc:kalApatattvArRava,3675:kalApatattvArRava:n:
acc:kalApatattvArRava,3675:kalApatattvArRava:n:
acc:kalApadIpikA,3409:kalApadIpikA:n:
acc:kalApadIpikA,3409:kalApadIpikA:n:
acc:kalApasaMgraha,30380:kalApasaMgraha:n:
acc:kalApasAra,42489:kalApasAra:n:
acc:kalAyaKaYja,3410:kalAyaKaYja:n:
acc:kalAvilAsa,42438:kalAvilAsa:n:
acc:kalAvilAsakAvya,3415:kalAvilAsakAvya:n:
acc:kaliyugAzwaka,42440:kaliyugAzwaka:n:
acc:kalirAjavarRana,3432:kalirAjavarRana:n:
acc:kalisaMtaraRopanizad,3438:kalisaMtaraRopanizad:n:
acc:kalisvarUpavarRana,32003:kalisvarUpavarRana:n:
acc:kalpadrumaniGaRwu,3459:kalpadrumaniGaRwu:n:
acc:kalpadrumasArasaMgraha,32007:kalpadrumasArasaMgraha:n:
acc:kalpadrumekAlIkavacam,39576:kalpadrumekAlIkavacam:n:
acc:kalpapaYjikA,3461:kalpapaYjikA:n:
acc:kalpavalli,3477:kalpavalli:n:
acc:kalpavallIpadDati,32011:kalpavallIpadDati:n:
acc:kalpasAgara,42443:kalpasAgara:n:
acc:kalpasAgareulUkapakzaH,3481:kalpasAgareulUkapakzaH:n:
acc:kalpasAgareulUkapakzaH,3481:kalpasAgareulUkapakzaH:n:
acc:kalpasAra,32012:kalpasAra:n:
acc:kalpasArakArikA,42444:kalpasArakArikA:n:
acc:kalpasUkta,30356:kalpasUkta:n:
acc:kalpasUtravyAKyA,3484:kalpasUtravyAKyA:n:
acc:kalpAnupadapAQA,30357:kalpAnupadapAQA:n:
acc:kalpAnupadasUtra,3485:kalpAnupadasUtra:n:
acc:kalpAvalI,32015:kalpAvalI:n:
acc:kalyARakaraSukla,39577:kalyARakaraSukla:n:
acc:kalyARakARqa,3499:kalyARakARqa:n:
acc:kalyARapurImAhAtmya,3503:kalyARapurImAhAtmya:n:
acc:kalyARaBawwa,3494:kalyARaBawwa:n:
acc:kalyARamalla,3504:kalyARamalla:n:
acc:kalyARarAja,32017:kalyARarAja:n:
acc:kalyARavarman,3508:kalyARavarman:n:
acc:kalyARaSarman,3497:kalyARaSarman:n:
acc:kalyARaSarman,3497:kalyARaSarman:n:
acc:kalyARasAgarasUri,32020:kalyARasAgarasUri:n:
acc:kalyARasubrahmaRya,42446:kalyARasubrahmaRya:n:
acc:kalyARasUtra,3509:kalyARasUtra:n:
acc:kavacajagadrakzAkara,42449:kavacajagadrakzAkara:n:
acc:kavacanyAsa,32021:kavacanyAsa:n:
acc:kavacapuraScaraRaviDi,42450:kavacapuraScaraRaviDi:n:
acc:kavacArRavegaruqakavacam,3520:kavacArRavegaruqakavacam:n:
acc:kavikaNkaRa,39579:kavikaNkaRa:n:
acc:kavikaRWapASa,3523:kavikaRWapASa:n:
acc:kavikeSarin,42456:kavikeSarin:n:
acc:kavikOtuka,32028:kavikOtuka:n:
acc:kavikrama,3543:kavikrama:n:
acc:kavigajANkuSa,32029:kavigajANkuSa:n:
acc:kavinandana,3566:kavinandana:n:
acc:kavinandikA,32032:kavinandikA:n:
acc:kavipriyA,42458:kavipriyA:n:
acc:kaviBawwa,32033:kaviBawwa:n:
acc:kaviratnAkara,42461:kaviratnAkara:n:
acc:kavirahasya,3572:kavirahasya:n:
acc:kavirAjanArAyaRa,3585:kavirAjanArAyaRa:n:
acc:kavirAjaBikzu,3581:kavirAjaBikzu:n:
acc:kavivfnda,42466:kavivfnda:n:
acc:kaviSAbdikaBUzaRa,3593:kaviSAbdikaBUzaRa:n:
acc:kavisAraNga,42468:kavisAraNga:n:
acc:kavisArvaBOma,3598:kavisArvaBOma:n:
acc:kavIndraAcArya,3603:kavIndraAcArya:n:
acc:kavIndraAcAryasarasvatI,3602:kavIndraAcAryasarasvatI:n:
acc:kavIndraAcAryasarasvatI,3602:kavIndraAcAryasarasvatI:n:
acc:kavIndrakarRABaraRa,32037:kavIndrakarRABaraRa:n:
acc:kavIndratIrTa,3609:kavIndratIrTa:n:
acc:kavIndravidyAniDi,3604:kavIndravidyAniDi:n:
acc:kAkanilaya,42472:kAkanilaya:n:
acc:kAkaBawwa,3627:kAkaBawwa:n:
acc:kAkamETunadarSanaSAnti,3632:kAkamETunadarSanaSAnti:n:
acc:kAkamETunadarSanaSAntiprayoga,30369:kAkamETunadarSanaSAntiprayoga:n:
acc:kAkaruta,42474:kAkaruta:n:
acc:kAkarudrasaMvAda,3633:kAkarudrasaMvAda:n:
acc:kAkalakzaRAdivicAra,42475:kAkalakzaRAdivicAra:n:
acc:kAkavizWApallIsarawAdipatanavicAra,32043:kAkavizWApallIsarawAdipatanavicAra:n:
acc:kAkaSabdaPala,42476:kAkaSabdaPala:n:
acc:kAkasparSanaSAnti,3635:kAkasparSanaSAnti:n:
acc:kAkutsTavijayacampU,42477:kAkutsTavijayacampU:n:
acc:kAkutsTyasena,3638:kAkutsTyasena:n:
acc:kAkutsTyasena,3638:kAkutsTyasena:n:
acc:kAkoji,32045:kAkoji:n:
acc:kAYcanayalla,42478:kAYcanayalla:n:
acc:kAYcInATa,3642:kAYcInATa:n:
acc:kAYcImAhAtmya,3644:kAYcImAhAtmya:n:
acc:kAwakopanizad,30371:kAwakopanizad:n:
acc:kAWakagfhyapaYcikA,42480:kAWakagfhyapaYcikA:n:
acc:kAWakagfhyapariSizwa,3649:kAWakagfhyapariSizwa:n:
acc:kARqadvayAtItayogin,3661:kARqadvayAtItayogin:n:
acc:kARqamAyana,30373:kARqamAyana:n:
acc:kAtantragaRaDAtuvfttimanoramA,42484:kAtantragaRaDAtuvfttimanoramA:n:
acc:kAtantracandrikA,3673:kAtantracandrikA:n:
acc:kAtantratattvArRava,42486:kAtantratattvArRava:n:
acc:kAtantraDAtupAWa,3676:kAtantraDAtupAWa:n:
acc:kAtantrapradIpa,42487:kAtantrapradIpa:n:
acc:kAtantramantraprakASa,39586:kAtantramantraprakASa:n:
acc:kAtantramantraprakASa,39586:kAtantramantraprakASa:n:
acc:kAtantrarasavatI,3681:kAtantrarasavatI:n:
acc:kAtantralaGuvftti,3683:kAtantralaGuvftti:n:
acc:kAtantravArttikapAWa,32050:kAtantravArttikapAWa:n:
acc:kAtantravfttipraboDa,3691:kAtantravfttipraboDa:n:
acc:kAtantravfttibAlaboDinI,3689:kAtantravfttibAlaboDinI:n:
acc:kAtantravyAKyAsAra,3692:kAtantravyAKyAsAra:n:
acc:kAtantraSikzAsaMdoha,32054:kAtantraSikzAsaMdoha:n:
acc:kAtantrasUtra,3694:kAtantrasUtra:n:
acc:kAtantrottara,32056:kAtantrottara:n:
acc:kAtIyagfhya,3697:kAtIyagfhya:n:
acc:kAtIyatarpaRaprayoga,32057:kAtIyatarpaRaprayoga:n:
acc:kAtyAyanaSrOtasUtra,39589:kAtyAyanaSrOtasUtra:n:
acc:kAtyAyanasaMhitA,3707:kAtyAyanasaMhitA:n:
acc:kAtyAyanItantroktaprayoga,42498:kAtyAyanItantroktaprayoga:n:
acc:kAtyAyanIpadDati,3713:kAtyAyanIpadDati:n:
acc:kAtyAyanIvivAha,3715:kAtyAyanIvivAha:n:
acc:kAtyAyanIvratamAhAtmya,32061:kAtyAyanIvratamAhAtmya:n:
acc:kAtyAyanIstava,42499:kAtyAyanIstava:n:
acc:kAtyAyanopanizad,3716:kAtyAyanopanizad:n:
acc:kAdambakalpa,42500:kAdambakalpa:n:
acc:kAdambarAmakfzRa,32062:kAdambarAmakfzRa:n:
acc:kAdambarIkaTAsaMgraha,42502:kAdambarIkaTAsaMgraha:n:
acc:kAdambarIkaTAsAra,3720:kAdambarIkaTAsAra:n:
acc:kAdambaryuttaraBAga,39591:kAdambaryuttaraBAga:n:
acc:kAdambinI,32065:kAdambinI:n:
acc:kAdimata,39592:kAdimata:n:
acc:kAdimatatantra,3725:kAdimatatantra:n:
acc:kApAlin,3738:kApAlin:n:
acc:kApAlImatavyavasTA,32067:kApAlImatavyavasTA:n:
acc:kApilapurARa,3739:kApilapurARa:n:
acc:kApeyAH,32068:kApeyAH:n:
acc:kAmakalA,42504:kAmakalA:n:
acc:kAmakalANganAvilAsa,3740:kAmakalANganAvilAsa:n:
acc:kAmakalAvilAsa,3742:kAmakalAvilAsa:n:
acc:kAmakalAvilAsawIkA,32069:kAmakalAvilAsawIkA:n:
acc:kAmadattA,3748:kAmadattA:n:
acc:kAmadA,32071:kAmadA:n:
acc:kAmanandABiDAnakAvya,42508:kAmanandABiDAnakAvya:n:
acc:kAmandaka,39594:kAmandaka:n:
acc:kAmandaka,39594:kAmandaka:n:
acc:kAmandaki,3771:kAmandaki:n:
acc:kAmandaki,3771:kAmandaki:n:
acc:kAmandakIyanItisAra,32076:kAmandakIyanItisAra:n:
acc:kAmandakoyanItisAra,42509:kAmandakoyanItisAra:n:
acc:kAmaprakASa,3772:kAmaprakASa:n:
acc:kAmaratna,3777:kAmaratna:n:
acc:kAmaratnAkara,32079:kAmaratnAkara:n:
acc:kAmarUpapati,3785:kAmarUpapati:n:
acc:kAmarUpayAtrApadDati,30393:kAmarUpayAtrApadDati:n:
acc:kAmavatIekAdaSI,42512:kAmavatIekAdaSI:n:
acc:kAmavilAsa,3786:kAmavilAsa:n:
acc:kAmaSAstra,3789:kAmaSAstra:n:
acc:kAmaSAstranirUpaRADyAya,32081:kAmaSAstranirUpaRADyAya:n:
acc:kAmasAra,42513:kAmasAra:n:
acc:kAmasUtra,3792:kAmasUtra:n:
acc:kAmAkzIpaYcaSataka,42515:kAmAkzIpaYcaSataka:n:
acc:kAmAkzIpariRaya,3795:kAmAkzIpariRaya:n:
acc:kAmApaYcatIrTaviDi,42517:kAmApaYcatIrTaviDi:n:
acc:kAmAvatAra,3802:kAmAvatAra:n:
acc:kAmeSa,3809:kAmeSa:n:
acc:kAmeSvara,32085:kAmeSvara:n:
acc:kAmeSvaratantra,3810:kAmeSvaratantra:n:
acc:kAmeSvaratantre,32086:kAmeSvaratantre:n:
acc:kAmeSvarapaYcANga,3811:kAmeSvarapaYcANga:n:
acc:kAmyakarmakamalA,32088:kAmyakarmakamalA:n:
acc:kAmyezwiprayoga,3818:kAmyezwiprayoga:n:
acc:kAmyezwiviDAna,32090:kAmyezwiviDAna:n:
acc:kAmyezwyaRqabilA,42520:kAmyezwyaRqabilA:n:
acc:kAmyezwyaRqavilA,3821:kAmyezwyaRqavilA:n:
acc:kAyasTavicAra,3827:kAyasTavicAra:n:
acc:kAyasTasTitinirUpaRa,32091:kAyasTasTitinirUpaRa:n:
acc:kAyasTotpatti,3828:kAyasTotpatti:n:
acc:kAyasTotpattikAcitraguptakaTA,32093:kAyasTotpattikAcitraguptakaTA:n:
acc:kAyArohaRamAhAtmya,42521:kAyArohaRamAhAtmya:n:
acc:kAyenetivivaraRa,3829:kAyenetivivaraRa:n:
acc:kArakawippaRI,42525:kArakawippaRI:n:
acc:kArakawIkA,3835:kArakawIkA:n:
acc:kArakatattva,42526:kArakatattva:n:
acc:kArakanirUpaRa,3836:kArakanirUpaRa:n:
acc:kArakarahasya,42529:kArakarahasya:n:
acc:kArakavAda,3839:kArakavAda:n:
acc:kArakazawka,3848:kArakazawka:n:
acc:kArakasamAsatadDitapratyayAdisaMkzepa,32100:kArakasamAsatadDitapratyayAdisaMkzepa:n:
acc:kArakAdyarTanirRaya,42532:kArakAdyarTanirRaya:n:
acc:kArakAdyArTanirRaya,3849:kArakAdyArTanirRaya:n:
acc:kAraRatantra,3854:kAraRatantra:n:
acc:kAraRatArTavAda,32101:kAraRatArTavAda:n:
acc:kAraRavAdArTa,3860:kAraRavAdArTa:n:
acc:kAraRasUkta,32103:kAraRasUkta:n:
acc:kArikAmaYjarI,42537:kArikAmaYjarI:n:
acc:kArikAratna,3870:kArikAratna:n:
acc:kArIrIzwiprayoga,3880:kArIrIzwiprayoga:n:
acc:kArIrIzwihOtraprayoga,32105:kArIrIzwihOtraprayoga:n:
acc:kArtatIryastavarAja,42543:kArtatIryastavarAja:n:
acc:kArtavIryakalpa,42540:kArtavIryakalpa:n:
acc:kArtavIryakalpa,42540:kArtavIryakalpa:n:
acc:kArtavIryakavaca,39602:kArtavIryakavaca:n:
acc:kArtavIryakavaca,39602:kArtavIryakavaca:n:
acc:kArtavIryacarita,3882:kArtavIryacarita:n:
acc:kArtavIryayajanakrama,42542:kArtavIryayajanakrama:n:
acc:kArtavIryavijayacampU,32107:kArtavIryavijayacampU:n:
acc:kArtavIryAjunastotra,3904:kArtavIryAjunastotra:n:
acc:kArtavIryArjunakalpa,3884:kArtavIryArjunakalpa:n:
acc:kArtavIryArjunastotra,42547:kArtavIryArjunastotra:n:
acc:kArtavIryAzwottaraSatanAmAvalI,3905:kArtavIryAzwottaraSatanAmAvalI:n:
acc:kArttikavivAhapawala,3916:kArttikavivAhapawala:n:
acc:kArttikasOBAgyapaYcamI,32113:kArttikasOBAgyapaYcamI:n:
acc:kArttikodyApanaviDi,39605:kArttikodyApanaviDi:n:
acc:kArpawika,3919:kArpawika:n:
acc:kAryakAraRatAvAda,39606:kAryakAraRatAvAda:n:
acc:kAryakAraRaBAvavicAra,3921:kAryakAraRaBAvavicAra:n:
acc:kAryakAraRaBAvavicAra,3921:kAryakAraRaBAvavicAra:n:
acc:kAryanirRayasaMkzepa,30403:kAryanirRayasaMkzepa:n:
acc:kAlakOmudI,3925:kAlakOmudI:n:
acc:kAlakOmudIcampU,30406:kAlakOmudIcampU:n:
acc:kAlacakrAdarSa,3935:kAlacakrAdarSa:n:
acc:kAlacakrIyadaSA,32117:kAlacakrIyadaSA:n:
acc:kAlacaRqISvaratantra,42550:kAlacaRqISvaratantra:n:
acc:kAlacandrakaTana,3936:kAlacandrakaTana:n:
acc:kAlaniRaryacaMdrikAlaGvI,3956:kAlaniRaryacaMdrikAlaGvI:n:
acc:kAlanityajapaviDi,3952:kAlanityajapaviDi:n:
acc:kAlanirRayakOtuka,3955:kAlanirRayakOtuka:n:
acc:kAlanirRayacandrikA,32123:kAlanirRayacandrikA:n:
acc:kAlanirRayasaMkzepa,39616:kAlanirRayasaMkzepa:n:
acc:kAlanirRayasAra,3961:kAlanirRayasAra:n:
acc:kAlanirRayasidDAnta,3962:kAlanirRayasidDAnta:n:
acc:kAlanirRayasOKya,39617:kAlanirRayasOKya:n:
acc:kAlaparA,42561:kAlaparA:n:
acc:kAlaprakASikA,3965:kAlaprakASikA:n:
acc:kAlaBOravAzwaka,42563:kAlaBOravAzwaka:n:
acc:kAlamayUKa,3973:kAlamayUKa:n:
acc:kAlamADavakArikA,3975:kAlamADavakArikA:n:
acc:kAlamADavakArikAH,32127:kAlamADavakArikAH:n:
acc:kAlavivecanasArasaMgraha,42567:kAlavivecanasArasaMgraha:n:
acc:kAlavelAyoga,3987:kAlavelAyoga:n:
acc:kAlasAra,42569:kAlasAra:n:
acc:kAlasidDAntanirRaya,3989:kAlasidDAntanirRaya:n:
acc:kAlahastISvarastotra,3993:kAlahastISvarastotra:n:
acc:kAlahastISvarAzwaka,39620:kAlahastISvarAzwaka:n:
acc:kAlArkarudrapUjApadDati,4001:kAlArkarudrapUjApadDati:n:
acc:kAlikAkakArAdyazwottaraSata,39624:kAlikAkakArAdyazwottaraSata:n:
acc:kAlikAkalpekAlikAkavacam,42572:kAlikAkalpekAlikAkavacam:n:
acc:kAlikAkavaca,4002:kAlikAkavaca:n:
acc:kAlikAkavaca,4002:kAlikAkavaca:n:
acc:kAlikAkulasadBAva,32134:kAlikAkulasadBAva:n:
acc:kAlikAkulAmfte,42576:kAlikAkulAmfte:n:
acc:kAlikAkrama,4004:kAlikAkrama:n:
acc:kAlikAdopadAnaviDi,42577:kAlikAdopadAnaviDi:n:
acc:kAlikApurARa,4008:kAlikApurARa:n:
acc:kAlikApUjA,4009:kAlikApUjA:n:
acc:kAlikAprasAda,32137:kAlikAprasAda:n:
acc:kAlikAmAhAtmya,4010:kAlikAmAhAtmya:n:
acc:kAlikAMpaYcANga,32136:kAlikAMpaYcANga:n:
acc:kAlikArahasye,42580:kAlikArahasye:n:
acc:kAlikArcanapadDati,4012:kAlikArcanapadDati:n:
acc:kAlikArcanapadDati,4012:kAlikArcanapadDati:n:
acc:kAlikArcanapradIpa,30409:kAlikArcanapradIpa:n:
acc:kAlikAstotra,4016:kAlikAstotra:n:
acc:kAlikodBAva,32138:kAlikodBAva:n:
acc:kAlidAsacakravartin,42585:kAlidAsacakravartin:n:
acc:kAlidAsacandrikA,4030:kAlidAsacandrikA:n:
acc:kAlindImAhAtmya,4035:kAlindImAhAtmya:n:
acc:kAlindImukunda,32141:kAlindImukunda:n:
acc:kAlIkarpUrastava,4036:kAlIkarpUrastava:n:
acc:kAlIkalpa,32142:kAlIkalpa:n:
acc:kAlIkavacavajrapaYjara,42587:kAlIkavacavajrapaYjara:n:
acc:kAlIkAdisahasranAmastutiratnawIkA,4038:kAlIkAdisahasranAmastutiratnawIkA:n:
acc:kAlIkulasarvasve,42588:kAlIkulasarvasve:n:
acc:kAlIkulasahasranAman,39629:kAlIkulasahasranAman:n:
acc:kAlIcaraRa,42591:kAlIcaraRa:n:
acc:kAlItattvarahasya,4043:kAlItattvarahasya:n:
acc:kAlIDyAnawIkA,42594:kAlIDyAnawIkA:n:
acc:kAlIpaYcANga,4047:kAlIpaYcANga:n:
acc:kAlIprasAdavEdya,4054:kAlIprasAdavEdya:n:
acc:kAlImattamayUrAzwaka,39632:kAlImattamayUrAzwaka:n:
acc:kAlImAhAtmya,4055:kAlImAhAtmya:n:
acc:kAlImohanaSarman,30412:kAlImohanaSarman:n:
acc:kAlIrahasya,4056:kAlIrahasya:n:
acc:kAlIrahasyastotra,39634:kAlIrahasyastotra:n:
acc:kAlIrahasyedakziRAcAraviDiH,42596:kAlIrahasyedakziRAcAraviDiH:n:
acc:kAlIvidyAsvaCandasaMgraha,4057:kAlIvidyAsvaCandasaMgraha:n:
acc:kAlISaMkara,42598:kAlISaMkara:n:
acc:kAlISaNkara,4059:kAlISaNkara:n:
acc:kAlIsaparyAkramakalpavallI,4061:kAlIsaparyAkramakalpavallI:n:
acc:kAlIsaparyAstavana,39635:kAlIsaparyAstavana:n:
acc:kAlIsarvasvasaMpuwa,42599:kAlIsarvasvasaMpuwa:n:
acc:kAlIsarvasve,39636:kAlIsarvasve:n:
acc:kAlIstotra,4069:kAlIstotra:n:
acc:kAlIsvarUpastotra,32146:kAlIsvarUpastotra:n:
acc:kAlIhfdaya,4070:kAlIhfdaya:n:
acc:kAlIhfdayatantra,30414:kAlIhfdayatantra:n:
acc:kAleSvara,32147:kAleSvara:n:
acc:kAleSvaramAhAtmya,30416:kAleSvaramAhAtmya:n:
acc:kAvyakalpalatA,4084:kAvyakalpalatA:n:
acc:kAvyakalpalatAmaYjarI,30419:kAvyakalpalatAmaYjarI:n:
acc:kAvyakOstudI,4090:kAvyakOstudI:n:
acc:kAvyakOstuBa,32152:kAvyakOstuBa:n:
acc:kAvyatattvavicAra,42607:kAvyatattvavicAra:n:
acc:kAvyatilaka,32153:kAvyatilaka:n:
acc:kAvyaprakASa,4103:kAvyaprakASa:n:
acc:kAvyaprakASakArikAH,39642:kAvyaprakASakArikAH:n:
acc:kAvyamImAMsAkavirahasya,42611:kAvyamImAMsAkavirahasya:n:
acc:kAvyamImAMsAkAra,4108:kAvyamImAMsAkAra:n:
acc:kAvyalakzmIprakASa,4117:kAvyalakzmIprakASa:n:
acc:kAvyavilAma,32161:kAvyavilAma:n:
acc:kAvyasaMjIvanI,4122:kAvyasaMjIvanI:n:
acc:kAvyasaraRi,32162:kAvyasaraRi:n:
acc:kAvyAnuSAsanavftti,42615:kAvyAnuSAsanavftti:n:
acc:kAvyAmuSAsana,4127:kAvyAmuSAsana:n:
acc:kAvyAmftataraNgiRI,4130:kAvyAmftataraNgiRI:n:
acc:kAvyArTagumPa,32165:kAvyArTagumPa:n:
acc:kASikAvftti,4151:kASikAvftti:n:
acc:kASikAvfttisAra,32170:kASikAvfttisAra:n:
acc:kASIkalpalatikA,42620:kASIkalpalatikA:n:
acc:kASIkArikA,4152:kASIkArikA:n:
acc:kASIgItA,4156:kASIgItA:n:
acc:kASItattva,32172:kASItattva:n:
acc:kASItattvadIpikA,4157:kASItattvadIpikA:n:
acc:kASItattvaprakASikA,32173:kASItattvaprakASikA:n:
acc:kASInATatarkAlaMkAra,42625:kASInATatarkAlaMkAra:n:
acc:kASInATapadDati,32181:kASInATapadDati:n:
acc:kASInATaBawwa,4171:kASInATaBawwa:n:
acc:kASInATaBawwacitrAma,4162:kASInATaBawwacitrAma:n:
acc:kASInATaBawwAcArya,4177:kASInATaBawwAcArya:n:
acc:kASInATaBadra,4168:kASInATaBadra:n:
acc:kASInATaBadra,4168:kASInATaBadra:n:
acc:kASInATamaNgalastotra,32182:kASInATamaNgalastotra:n:
acc:kASInATaSAstrin,4181:kASInATaSAstrin:n:
acc:kASInATasAmudrikAcArya,4164:kASInATasAmudrikAcArya:n:
acc:kASInATasAmudrikAcArya,4164:kASInATasAmudrikAcArya:n:
acc:kASInityayAtrA,32183:kASInityayAtrA:n:
acc:kASIBAzyAmfta,42632:kASIBAzyAmfta:n:
acc:kASImaraRamuktivicAra,4197:kASImaraRamuktivicAra:n:
acc:kASIrahasyaprakASa,42634:kASIrahasyaprakASa:n:
acc:kASIrAja,4207:kASIrAja:n:
acc:kASIrAmavAcaspati,42635:kASIrAmavAcaspati:n:
acc:kASIrAmavAcaspatiBawwAcArya,4212:kASIrAmavAcaspatiBawwAcArya:n:
acc:kASIviDi,4215:kASIviDi:n:
acc:kASIvimuktikanyAvivAhasAmagrI,32188:kASIvimuktikanyAvivAhasAmagrI:n:
acc:kASIsAra,42641:kASIsAra:n:
acc:kASIsAraSataka,4221:kASIsAraSataka:n:
acc:kASIsAraSataka,4221:kASIsAraSataka:n:
acc:kASIsArodDAra,32190:kASIsArodDAra:n:
acc:kASyapaaBinavakAlidAsa,950:kASyapaaBinavakAlidAsa:n:
acc:kASyapapaYcarAca,4230:kASyapapaYcarAca:n:
acc:kASyapapaYcarAca,4230:kASyapapaYcarAca:n:
acc:kASyapapaYcarAtra,32193:kASyapapaYcarAtra:n:
acc:kAhna,4240:kAhna:n:
acc:kAhnajI,32195:kAhnajI:n:
acc:kAhvajit,4242:kAhvajit:n:
acc:kitavollAsa,32196:kitavollAsa:n:
acc:kiraRaboDa,4245:kiraRaboDa:n:
acc:kiraRA,32197:kiraRA:n:
acc:kiSoravilAsa,42644:kiSoravilAsa:n:
acc:kiSorAjIya,4255:kiSorAjIya:n:
acc:kiSorimohanagosvAmin,42645:kiSorimohanagosvAmin:n:
acc:kiSorImohanagosvAmin,32200:kiSorImohanagosvAmin:n:
acc:kIrtanacintAmaRi,42649:kIrtanacintAmaRi:n:
acc:kIrtikara,32203:kIrtikara:n:
acc:kIrtitattva,4261:kIrtitattva:n:
acc:kIrtitaraNgiRI,32205:kIrtitaraNgiRI:n:
acc:kIrtiDara,4262:kIrtiDara:n:
acc:kIrtiprakASanibanDarAja,30440:kIrtiprakASanibanDarAja:n:
acc:kIrtivarmadeva,4264:kIrtivarmadeva:n:
acc:kIrtisiMha,32206:kIrtisiMha:n:
acc:kIlakastuti,4269:kIlakastuti:n:
acc:kIlakastotra,32207:kIlakastotra:n:
acc:kucelopAKyAna,4278:kucelopAKyAna:n:
acc:kujAdipaYjagrahavAkya,42652:kujAdipaYjagrahavAkya:n:
acc:kuYja,4280:kuYja:n:
acc:kuYjanirRayaDyAnagAyatryAdi,42653:kuYjanirRayaDyAnagAyatryAdi:n:
acc:kuYjanirRayaDyAnagAyatryAdi,42653:kuYjanirRayaDyAnagAyatryAdi:n:
acc:kuYjikAtantre,39656:kuYjikAtantre:n:
acc:kuwwanImata,4281:kuwwanImata:n:
acc:kuwwAkAraSiromaRi,30442:kuwwAkAraSiromaRi:n:
acc:kuRqakamudI,4291:kuRqakamudI:n:
acc:kuRqakalpadruma,4288:kuRqakalpadruma:n:
acc:kuRqakalpadruma,4288:kuRqakalpadruma:n:
acc:kuRqakalpalawA,42655:kuRqakalpalawA:n:
acc:kuRqakArikAH,4290:kuRqakArikAH:n:
acc:kuRqagaRita,32209:kuRqagaRita:n:
acc:kuRqadikpAla,4294:kuRqadikpAla:n:
acc:kuRqanirmARaSlokadIpikA,39659:kuRqanirmARaSlokadIpikA:n:
acc:kuRqanirmARaSlokavftti,4295:kuRqanirmARaSlokavftti:n:
acc:kuRqapUjA,42657:kuRqapUjA:n:
acc:kuRqaprakaraRa,4296:kuRqaprakaraRa:n:
acc:kuRqaprakASa,39660:kuRqaprakASa:n:
acc:kuRqaprabanDa,4298:kuRqaprabanDa:n:
acc:kuRqaBAskara,32211:kuRqaBAskara:n:
acc:kuRqamaRqapanirRaya,4303:kuRqamaRqapanirRaya:n:
acc:kuRqamaRqapanirmARa,4302:kuRqamaRqapanirmARa:n:
acc:kuRqamaRqapahomaviDi,4312:kuRqamaRqapahomaviDi:n:
acc:kuRqamaRqapepaScimadvArasAmAni,32217:kuRqamaRqapepaScimadvArasAmAni:n:
acc:kuRqamAhAtmya,4316:kuRqamAhAtmya:n:
acc:kuRqamfdaNga,39664:kuRqamfdaNga:n:
acc:kuRqalikAmatatantra,4323:kuRqalikAmatatantra:n:
acc:kuRqalIkalpataru,32220:kuRqalIkalpataru:n:
acc:kuRqaviDAna,4327:kuRqaviDAna:n:
acc:kuRqaviDi,32221:kuRqaviDi:n:
acc:kuRqArka,4332:kuRqArka:n:
acc:kuRqArRava,42665:kuRqArRava:n:
acc:kuRqikopanizad,4333:kuRqikopanizad:n:
acc:kuRqIpUjA,32225:kuRqIpUjA:n:
acc:kuRqodaDi,4336:kuRqodaDi:n:
acc:kuRqoddyota,4334:kuRqoddyota:n:
acc:kundamAlA,4346:kundamAlA:n:
acc:kundavallI,39669:kundavallI:n:
acc:kuberaupADyAya,4350:kuberaupADyAya:n:
acc:kuberakAYjibilvIya,42667:kuberakAYjibilvIya:n:
acc:kuberacarita,4351:kuberacarita:n:
acc:kuberamiSra,32227:kuberamiSra:n:
acc:kuberayantraprakaraRa,4352:kuberayantraprakaraRa:n:
acc:kuberAnandavarRin,32228:kuberAnandavarRin:n:
acc:kuberAnandavarRin,32228:kuberAnandavarRin:n:
acc:kuberopADyAya,30447:kuberopADyAya:n:
acc:kubjarAjadravya,4353:kubjarAjadravya:n:
acc:kubjAmrakamAhAtmya,30448:kubjAmrakamAhAtmya:n:
acc:kubjikApUjAprakAra,4355:kubjikApUjAprakAra:n:
acc:kubjikAmata,42671:kubjikAmata:n:
acc:kumAra,4356:kumAra:n:
acc:kumArakarRAmfta,30450:kumArakarRAmfta:n:
acc:kumArakzetramAhAtmya,4359:kumArakzetramAhAtmya:n:
acc:kumAraKAn,42673:kumAraKAn:n:
acc:kumArapAla,4369:kumArapAla:n:
acc:kumAraBawwa,4357:kumAraBawwa:n:
