mw72:aTarvavid,54573:aTarvavid:n:
mw72:aTarvI,957:aTarvI:n:
mw72:aTo,945:aTo:n:
mw72:aTo,945:aTo:n:
mw72:aTyarbuda,1331:aTyarbuda:n:
mw72:adakza,965:adakza:n:
mw72:adakziRa,54574:adakziRa:n:
mw72:adaRqya,969:adaRqya:n:
mw72:adat,961:adat:n:
mw72:adadryaYc,974:adadryaYc:n:
mw72:adana,962:adana:n:
mw72:adamuyaYc,985:adamuyaYc:n:
mw72:adamBa,982:adamBa:n:
mw72:adAkziRya,999:adAkziRya:n:
mw72:adAtf,1000:adAtf:n:
mw72:adAnta,1008:adAnta:n:
mw72:adAnya,1003:adAnya:n:
mw72:adABya,1009:adABya:n:
mw72:adAman,1004:adAman:n:
mw72:adAyika,1011:adAyika:n:
mw72:adAyin,1005:adAyin:n:
mw72:adAra,1012:adAra:n:
mw72:adASu,1006:adASu:n:
mw72:adikka,1016:adikka:n:
mw72:aditi,1007:aditi:n:
mw72:adeSya,1055:adeSya:n:
mw72:adEva,1052:adEva:n:
mw72:adogDf,1059:adogDf:n:
mw72:adomada,1056:adomada:n:
mw72:adreSya,54576:adreSya:n:
mw72:adroGa,1081:adroGa:n:
mw72:aDaHkriyA,54577:aDaHkriyA:n:
mw72:aDana,1099:aDana:n:
mw72:aDaraya,54579:aDaraya:n:
mw72:aDarAk,1104:aDarAk:n:
mw72:aDikaraRya,1135:aDikaraRya:n:
mw72:aDikarmakara,1129:aDikarmakara:n:
mw72:aDikarmika,1137:aDikarmika:n:
mw72:aDikalpin,1130:aDikalpin:n:
mw72:aDikArin,1139:aDikArin:n:
mw72:aDikArma,1131:aDikArma:n:
mw72:aDigantf,1156:aDigantf:n:
mw72:aDigam,1153:aDigam:n:
mw72:aDija,1170:aDija:n:
mw72:aDijan,1169:aDijan:n:
mw72:aDipaTam,1200:aDipaTam:n:
mw72:aDipA,1199:aDipA:n:
mw72:aDiBojana,1214:aDiBojana:n:
mw72:aDiBOtika,1213:aDiBOtika:n:
mw72:aDivaktf,1247:aDivaktf:n:
mw72:aDivac,1246:aDivac:n:
mw72:aDivastra,1257:aDivastra:n:
mw72:aDivAka,1249:aDivAka:n:
mw72:aDivAs,1261:aDivAs:n:
mw72:aDivAsa,1252:aDivAsa:n:
mw72:aDivAsita,1259:aDivAsita:n:
mw72:aDivAsin,1254:aDivAsin:n:
mw72:aDivijYAna,54583:aDivijYAna:n:
mw72:aDivid,1268:aDivid:n:
mw72:aDividyam,1273:aDividyam:n:
mw72:aDivinnA,1269:aDivinnA:n:
mw72:aDiSayita,1277:aDiSayita:n:
mw72:aDiSI,1275:aDiSI:n:
mw72:aDiSrayaRa,1280:aDiSrayaRa:n:
mw72:aDiSri,1278:aDiSri:n:
mw72:aDiSrI,54584:aDiSrI:n:
mw72:aDizavaRA,1282:aDizavaRA:n:
mw72:aDisenApati,54586:aDisenApati:n:
mw72:aDistri,1288:aDistri:n:
mw72:aDihasti,54587:aDihasti:n:
mw72:aDI,1290:aDI:n:
mw72:aDIkz,1298:aDIkz:n:
mw72:aDIta,1291:aDIta:n:
mw72:aDImanTa,1300:aDImanTa:n:
mw72:aDIyat,1295:aDIyat:n:
mw72:aDonilaya,54590:aDonilaya:n:
mw72:aDyaMsa,1318:aDyaMsa:n:
mw72:aDyarhaRIya,54591:aDyarhaRIya:n:
mw72:aDyavasAna,1333:aDyavasAna:n:
mw72:aDyavasiti,54592:aDyavasiti:n:
mw72:aDyavahanana,1337:aDyavahanana:n:
mw72:aDyAsa,1369:aDyAsa:n:
mw72:aDyAsana,1364:aDyAsana:n:
mw72:aDyAhfta,1372:aDyAhfta:n:
mw72:aDyuzita,1255:aDyuzita:n:
mw72:aDyUQaja,54595:aDyUQaja:n:
mw72:aDyUDnI,1377:aDyUDnI:n:
mw72:aDyezaRA,1386:aDyezaRA:n:
mw72:aDyezyamARa,1384:aDyezyamARa:n:
mw72:anakzastamBam,1412:anakzastamBam:n:
mw72:anakzi,1410:anakzi:n:
mw72:anaqutka,1426:anaqutka:n:
mw72:anaquh,1425:anaquh:n:
mw72:anaDyAya,1446:anaDyAya:n:
mw72:anana,1403:anana:n:
mw72:ananataka,1458:ananataka:n:
mw72:ananujYAta,1449:ananujYAta:n:
mw72:anantarhita,1465:anantarhita:n:
mw72:anantya,1459:anantya:n:
mw72:anapakarza,1478:anapakarza:n:
mw72:anapakAra,1475:anapakAra:n:
mw72:anarupAtI,2939:anarupAtI:n:
mw72:anarus,1551:anarus:n:
mw72:analada,54597:analada:n:
mw72:analam,1568:analam:n:
mw72:anavakASatvAt,54599:anavakASatvAt:n:
mw72:anavagAhin,1574:anavagAhin:n:
mw72:anavasTiti,1616:anavasTiti:n:
mw72:anavasyat,1610:anavasyat:n:
mw72:anAgas,1668:anAgas:n:
mw72:anAgAmin,1666:anAgAmin:n:
mw72:anAtmaka,1679:anAtmaka:n:
mw72:anAtman,1678:anAtman:n:
mw72:anAdi,1690:anAdi:n:
mw72:anAdin,1685:anAdin:n:
mw72:anAmaka,1723:anAmaka:n:
mw72:anAman,1722:anAman:n:
mw72:anAmayitnu,1727:anAmayitnu:n:
mw72:anAmikA,1724:anAmikA:n:
mw72:anAmfta,1732:anAmfta:n:
mw72:anAmya,1729:anAmya:n:
mw72:anArambaRa,1746:anArambaRa:n:
mw72:anAramBa,1745:anAramBa:n:
mw72:anAvfta,1771:anAvfta:n:
mw72:anAvftta,1769:anAvftta:n:
mw72:anASasta,1781:anASasta:n:
mw72:anASin,1778:anASin:n:
mw72:anAScarya,1786:anAScarya:n:
mw72:anASya,1779:anASya:n:
mw72:anASramavAsa,1788:anASramavAsa:n:
mw72:anASramin,1787:anASramin:n:
mw72:anAsAdita,1796:anAsAdita:n:
mw72:anAsika,1795:anAsika:n:
mw72:anirvfti,1884:anirvfti:n:
mw72:anirveda,1882:anirveda:n:
mw72:anizu,1909:anizu:n:
mw72:anizedDra,1908:anizedDra:n:
mw72:anizpattram,1920:anizpattram:n:
mw72:anizpanna,1919:anizpanna:n:
mw72:anILa,1941:anILa:n:
mw72:anIka,1924:anIka:n:
mw72:anIlavAjin,54601:anIlavAjin:n:
mw72:anISa,1936:anISa:n:
mw72:anuAramBa,3082:anuAramBa:n:
mw72:anuka,1945:anuka:n:
mw72:anukarman,1977:anukarman:n:
mw72:anukarza,1961:anukarza:n:
mw72:anukarzan,1990:anukarzan:n:
mw72:anukalpa,1962:anukalpa:n:
mw72:anukalpita,1998:anukalpita:n:
mw72:anukANkz,1963:anukANkz:n:
mw72:anukANkzin,1965:anukANkzin:n:
mw72:anukAma,1952:anukAma:n:
mw72:anukArya,1980:anukArya:n:
mw72:anukAla,1966:anukAla:n:
mw72:anukIrRa,1993:anukIrRa:n:
mw72:anukIrtana,1967:anukIrtana:n:
mw72:anukUlana,54602:anukUlana:n:
mw72:anukUlaya,1972:anukUlaya:n:
mw72:anukft,1986:anukft:n:
mw72:anukfta,1981:anukfta:n:
mw72:anukrAnta,2008:anukrAnta:n:
mw72:anukriyA,1984:anukriyA:n:
mw72:anuga,2027:anuga:n:
mw72:anugaNgam,2022:anugaNgam:n:
mw72:anugaRqikA,54604:anugaRqikA:n:
mw72:anugata,2028:anugata:n:
mw72:anugantavya,2030:anugantavya:n:
mw72:anugam,2026:anugam:n:
mw72:anugAQa,2042:anugAQa:n:
mw72:anugAdin,2040:anugAdin:n:
mw72:anugAdin,2040:anugAdin:n:
mw72:anugAmin,2033:anugAmin:n:
mw72:anugAyas,54605:anugAyas:n:
mw72:anugAh,2041:anugAh:n:
mw72:anugItA,54606:anugItA:n:
mw72:anugIti,2051:anugIti:n:
mw72:anugIti,2051:anugIti:n:
mw72:anugu,2044:anugu:n:
mw72:anuguRaya,54607:anuguRaya:n:
mw72:anugup,2046:anugup:n:
mw72:anugfhIta,2054:anugfhIta:n:
mw72:anugF,2049:anugF:n:
mw72:anugodam,54608:anugodam:n:
mw72:anugra,2052:anugra:n:
mw72:anugrahIkfta,54609:anugrahIkfta:n:
mw72:anugrAmam,2062:anugrAmam:n:
mw72:anugrAsaka,2063:anugrAsaka:n:
mw72:anugrAhaka,2057:anugrAhaka:n:
mw72:anucarci,2071:anucarci:n:
mw72:anucAraka,2069:anucAraka:n:
