mw72:upasfzwa,11977:upasfzwa:n:
mw72:upaseka,54880:upaseka:n:
mw72:upasektf,11983:upasektf:n:
mw72:upaskAra,11993:upaskAra:n:
mw72:upaskf,11991:upaskf:n:
mw72:upastIrRa,12010:upastIrRa:n:
mw72:upastu,12002:upastu:n:
mw72:upasTa,12013:upasTa:n:
mw72:upasTA,12012:upasTA:n:
mw72:upasparSin,12035:upasparSin:n:
mw72:upaspij,12031:upaspij:n:
mw72:upahatyA,12048:upahatyA:n:
mw72:upahan,12044:upahan:n:
mw72:upahavya,12076:upahavya:n:
mw72:upahas,12052:upahas:n:
mw72:upahastikA,12058:upahastikA:n:
mw72:upahasvan,12054:upahasvan:n:
mw72:upahArya,54881:upahArya:n:
mw72:upahAlaka,12060:upahAlaka:n:
mw72:upahAlaka,12060:upahAlaka:n:
mw72:upahAsa,12055:upahAsa:n:
mw72:upahiMs,12061:upahiMs:n:
mw72:upahita,11487:upahita:n:
mw72:upahUya,12078:upahUya:n:
mw72:upahf,12063:upahf:n:
mw72:upahvAna,12079:upahvAna:n:
mw72:upahve,12074:upahve:n:
mw72:upAkarman,12084:upAkarman:n:
mw72:upAkf,12082:upAkf:n:
mw72:upAKya,12089:upAKya:n:
mw72:upAKyA,12088:upAKyA:n:
mw72:upAgata,12093:upAgata:n:
mw72:upAgam,12092:upAgam:n:
mw72:upAcIrRa,54883:upAcIrRa:n:
mw72:upAcCid,12108:upAcCid:n:
mw72:upAtta,12117:upAtta:n:
mw72:upAtyaya,12115:upAtyaya:n:
mw72:upAdiS,12122:upAdiS:n:
mw72:upAdeya,12120:upAdeya:n:
mw72:upAnayana,54884:upAnayana:n:
mw72:upAnasa,12131:upAnasa:n:
mw72:upAniya,12137:upAniya:n:
mw72:upAnI,12133:upAnI:n:
mw72:upAyana,12220:upAyana:n:
mw72:upAyA,12146:upAyA:n:
mw72:upAyu,12223:upAyu:n:
mw72:upAr,12148:upAr:n:
mw72:upArata,12151:upArata:n:
mw72:upAram,12150:upAram:n:
mw72:upAlabDa,12167:upAlabDa:n:
mw72:upAlaB,12166:upAlaB:n:
mw72:upAvaharaRa,12179:upAvaharaRa:n:
mw72:upAvahf,12178:upAvahf:n:
mw72:upAvahf,12178:upAvahf:n:
mw72:upAvI,12173:upAvI:n:
mw72:upASraya,12191:upASraya:n:
mw72:upASri,12190:upASri:n:
mw72:upAsad,54886:upAsad:n:
mw72:upAsana,12195:upAsana:n:
mw72:upAstamayam,12211:upAstamayam:n:
mw72:upAsti,12205:upAsti:n:
mw72:upAsTA,12213:upAsTA:n:
mw72:upAsya,12206:upAsya:n:
mw72:upAhAra,12215:upAhAra:n:
mw72:upAhita,12126:upAhita:n:
mw72:upekzya,12239:upekzya:n:
mw72:upeta,12224:upeta:n:
mw72:upendra,12242:upendra:n:
mw72:upepsA,12141:upepsA:n:
mw72:upodbalaka,12263:upodbalaka:n:
mw72:upodbalaya,12262:upodbalaya:n:
mw72:upoz,12265:upoz:n:
mw72:upozaRa,11799:upozaRa:n:
mw72:upozaDa,12269:upozaDa:n:
mw72:upozita,12267:upozita:n:
mw72:upoha,12272:upoha:n:
mw72:upohyamAna,11805:upohyamAna:n:
mw72:umbura,12297:umbura:n:
mw72:umya,12294:umya:n:
mw72:urasikf,54887:urasikf:n:
mw72:urasila,12312:urasila:n:
mw72:urARa,54888:urARa:n:
mw72:urAha,12316:urAha:n:
mw72:ururI,12330:ururI:n:
mw72:uruvu,12320:uruvu:n:
mw72:urUcI,12332:urUcI:n:
mw72:urUla,12324:urUla:n:
mw72:urvArU,12348:urvArU:n:
mw72:urviyA,12325:urviyA:n:
mw72:ulUkI,54890:ulUkI:n:
mw72:ulUKala,12358:ulUKala:n:
mw72:ulbya,12371:ulbya:n:
mw72:ulmuka,12367:ulmuka:n:
mw72:ullApya,12396:ullApya:n:
mw72:ullAla,12384:ullAla:n:
mw72:ullU,12406:ullU:n:
mw72:ulleKa,12400:ulleKa:n:
mw72:uSatI,12423:uSatI:n:
mw72:uSaDak,12415:uSaDak:n:
mw72:uSIrika,12428:uSIrika:n:
mw72:uSenya,12422:uSenya:n:
mw72:uzaNgu,12457:uzaNgu:n:
mw72:uzaRa,12431:uzaRa:n:
mw72:uzadraTa,12460:uzadraTa:n:
mw72:uzapa,12432:uzapa:n:
mw72:uzasta,12461:uzasta:n:
mw72:uzasya,12450:uzasya:n:
mw72:uzasya,12450:uzasya:n:
mw72:uzA,12433:uzA:n:
mw72:uzwf,12467:uzwf:n:
mw72:uzwra,12466:uzwra:n:
mw72:uzwrikA,12468:uzwrikA:n:
mw72:uzRa,12435:uzRa:n:
mw72:uzRihA,12471:uzRihA:n:
mw72:uzRIkf,12440:uzRIkf:n:
mw72:uzRIzin,12473:uzRIzin:n:
mw72:uzma,12442:uzma:n:
mw72:uzyala,12476:uzyala:n:
mw72:usra,12453:usra:n:
mw72:usriya,12480:usriya:n:
mw72:usriyA,12454:usriyA:n:
mw72:uhyagAna,12487:uhyagAna:n:
mw72:uhyamAna,12486:uhyamAna:n:
mw72:URItejas,12500:URItejas:n:
mw72:Uta,12492:Uta:n:
mw72:UDanya,12505:UDanya:n:
mw72:UDas,12504:UDas:n:
mw72:Um,12511:Um:n:
mw72:Uma,12494:Uma:n:
mw72:Uravya,12517:Uravya:n:
mw72:UrI,12515:UrI:n:
mw72:UrvI,12550:UrvI:n:
mw72:Urvya,12545:Urvya:n:
mw72:UzmaRa,12564:UzmaRa:n:
mw72:Uzman,12563:Uzman:n:
mw72:Uhana,12573:Uhana:n:
mw72:UhanI,12568:UhanI:n:
mw72:Uhya,12575:Uhya:n:
mw72:UhyagAna,12569:UhyagAna:n:
mw72:fkzalA,12591:fkzalA:n:
mw72:fkzIkA,12588:fkzIkA:n:
mw72:fgmiya,12598:fgmiya:n:
mw72:fGAya,12592:fGAya:n:
mw72:fcCarA,12606:fcCarA:n:
mw72:fC,12604:fC:n:
mw72:fjriya,12623:fjriya:n:
mw72:fjvac,12621:fjvac:n:
mw72:ftajur,54895:ftajur:n:
mw72:ftaya,12633:ftaya:n:
mw72:ftavya,12643:ftavya:n:
mw72:ftAyin,12636:ftAyin:n:
mw72:ftuTA,12644:ftuTA:n:
mw72:fte,12637:fte:n:
mw72:fdDita,54896:fdDita:n:
mw72:fD,12653:fD:n:
mw72:fDak,12658:fDak:n:
mw72:fDat,12656:fDat:n:
mw72:xw,40658:xw:n:
mw72:X,12687:X:n:
mw72:ekatAla,54897:ekatAla:n:
mw72:ekatra,12697:ekatra:n:
mw72:ekAnta,12706:ekAnta:n:
mw72:ekIkf,12703:ekIkf:n:
mw72:eji,12718:eji:n:
mw72:ejita,12715:ejita:n:
mw72:eqI,54898:eqI:n:
mw72:equka,12723:equka:n:
mw72:eRANka,54899:eRANka:n:
mw72:eta,12725:eta:n:
mw72:etana,12741:etana:n:
mw72:etarhi,12738:etarhi:n:
mw72:etarhi,12738:etarhi:n:
mw72:etaSa,12727:etaSa:n:
mw72:etAvat,12740:etAvat:n:
mw72:eti,12730:eti:n:
mw72:etf,12742:etf:n:
mw72:etya,12731:etya:n:
mw72:eDa,12759:eDa:n:
mw72:eDatu,12746:eDatu:n:
mw72:enasya,12756:enasya:n:
mw72:enA,12754:enA:n:
mw72:env,12762:env:n:
mw72:ema,12743:ema:n:
mw72:elaNga,12777:elaNga:n:
mw72:elada,12775:elada:n:
mw72:elAya,12784:elAya:n:
mw72:elIkA,12783:elIkA:n:
mw72:ezavIra,12812:ezavIra:n:
mw72:ezitf,12807:ezitf:n:
mw72:ezin,12808:ezin:n:
mw72:ezwa,12796:ezwa:n:
mw72:ezwavya,12809:ezwavya:n:
mw72:ezwi,12798:ezwi:n:
mw72:EkaguRya,54900:EkaguRya:n:
mw72:EkaDya,12821:EkaDya:n:
mw72:Edamparya,54901:Edamparya:n:
mw72:ED,12871:ED:n:
mw72:EndranIla,54902:EndranIla:n:
mw72:Endraluptika,12879:Endraluptika:n:
mw72:ESya,54903:ESya:n:
mw72:ESvara,12916:ESvara:n:
mw72:okaRa,12937:okaRa:n:
mw72:okas,12934:okas:n:
mw72:okodanI,12939:okodanI:n:
mw72:okya,12936:okya:n:
mw72:otsUryam,54904:otsUryam:n:
mw72:odatI,12966:odatI:n:
mw72:omila,12978:omila:n:
mw72:omyA,12977:omyA:n:
mw72:ozWajAha,54905:ozWajAha:n:
mw72:ozWya,12991:ozWya:n:
mw72:OpasTURya,13161:OpasTURya:n:
mw72:OpasTya,13160:OpasTya:n:
mw72:Ormileya,54906:Ormileya:n:
mw72:Orva,13198:Orva:n:
mw72:Orvara,54907:Orvara:n:
mw72:OrvaSa,13199:OrvaSa:n:
mw72:OzRya,13235:OzRya:n:
mw72:OsInari,13213:OsInari:n:
mw72:kaMsAra,13253:kaMsAra:n:
mw72:kaMsika,13251:kaMsika:n:
mw72:kacCura,13328:kacCura:n:
mw72:kacCowikA,13325:kacCowikA:n:
mw72:kaYjara,13352:kaYjara:n:
mw72:kaYjala,13351:kaYjala:n:
mw72:kaYjARa,13354:kaYjARa:n:
mw72:kaYjAra,13353:kaYjAra:n:
mw72:kawakawApaya,13368:kawakawApaya:n:
mw72:kawakin,13360:kawakin:n:
mw72:kawambarA,13374:kawambarA:n:
mw72:kawasI,13361:kawasI:n:
mw72:kawAwaNka,13377:kawAwaNka:n:
mw72:kawAyana,13362:kawAyana:n:
mw72:kawAhaka,13380:kawAhaka:n:
mw72:kawi,13363:kawi:n:
mw72:kawikA,13382:kawikA:n:
mw72:kawin,13364:kawin:n:
mw72:kawItala,13386:kawItala:n:
mw72:kawIra,13383:kawIra:n:
mw72:kawPala,54908:kawPala:n:
mw72:kawvara,13396:kawvara:n:
mw72:kaRAda,13438:kaRAda:n:
mw72:kaRika,13430:kaRika:n:
mw72:kaRika,13430:kaRika:n:
mw72:kaRita,13428:kaRita:n:
mw72:kaRIci,13440:kaRIci:n:
mw72:kaRIyas,13434:kaRIyas:n:
mw72:kaRwa,54909:kaRwa:n:
mw72:kaRwaka,13446:kaRwaka:n:
mw72:kaRWAla,13464:kaRWAla:n:
mw72:kaRWikA,13461:kaRWikA:n:
mw72:kaRWIla,13465:kaRWIla:n:
mw72:kaRWya,13463:kaRWya:n:
mw72:katamAla,13501:katamAla:n:
mw72:katara,13494:katara:n:
mw72:katika,13503:katika:n:
mw72:katiTa,13497:katiTa:n:
mw72:kaTam,13526:kaTam:n:
mw72:kaTayAna,13516:kaTayAna:n:
mw72:kadaka,13535:kadaka:n:
mw72:kadana,13531:kadana:n:
mw72:kanapa,13571:kanapa:n:
mw72:kanaya,13554:kanaya:n:
mw72:kanavaka,13572:kanavaka:n:
mw72:kanA,13555:kanA:n:
mw72:kanizka,13575:kanizka:n:
mw72:kanizWa,13556:kanizWa:n:
mw72:kanIci,13577:kanIci:n:
mw72:kanIna,13559:kanIna:n:
mw72:kandalin,13596:kandalin:n:
mw72:kandAlu,13588:kandAlu:n:
mw72:kanna,13605:kanna:n:
mw72:kanyakA,13563:kanyakA:n:
mw72:kanyasa,13610:kanyasa:n:
mw72:kanyA,13608:kanyA:n:
mw72:kapiYjala,13641:kapiYjala:n:
mw72:kapitTa,13628:kapitTa:n:
mw72:kaPaRi,13656:kaPaRi:n:
mw72:kaPala,13653:kaPala:n:
mw72:kabru,13665:kabru:n:
mw72:kam,13243:kam:n:
mw72:kamadyU,13681:kamadyU:n:
mw72:kamana,13669:kamana:n:
mw72:kamanDa,13683:kamanDa:n:
mw72:kamara,13671:kamara:n:
mw72:kamalanABa,54911:kamalanABa:n:
mw72:kamalinI,13674:kamalinI:n:
mw72:kamb,13697:kamb:n:
mw72:kamba,13667:kamba:n:
mw72:kamBu,13712:kamBu:n:
mw72:kamra,13677:kamra:n:
mw72:karawu,13745:karawu:n:
mw72:karaRa,13722:karaRa:n:
mw72:karaPu,13752:karaPu:n:
mw72:karaBa,13725:karaBa:n:
mw72:karavIka,13765:karavIka:n:
mw72:karas,13728:karas:n:
mw72:karAlita,13776:karAlita:n:
mw72:kari,13730:kari:n:
mw72:karizyamARa,13784:karizyamARa:n:
mw72:karIkf,13735:karIkf:n:
mw72:karIti,13787:karIti:n:
mw72:karIyas,13785:karIyas:n:
mw72:karIraka,13790:karIraka:n:
mw72:karIrikA,13789:karIrikA:n:
mw72:karULatin,13802:karULatin:n:
mw72:karUkara,13801:karUkara:n:
mw72:karkarewa,13834:karkarewa:n:
mw72:karkarewu,13830:karkarewu:n:
mw72:karRasrotas,54912:karRasrotas:n:
mw72:karRAwa,13861:karRAwa:n:
mw72:karRArpaRa,13863:karRArpaRa:n:
mw72:karRika,13854:karRika:n:
mw72:kartizyat,13879:kartizyat:n:
mw72:kartu,13873:kartu:n:
mw72:kartr,13885:kartr:n:
mw72:kartra,13876:kartra:n:
mw72:kardawa,13889:kardawa:n:
mw72:kardana,13887:kardana:n:
mw72:karpUraka,13907:karpUraka:n:
mw72:karpUrakavi,13905:karpUrakavi:n:
mw72:karmatas,13923:karmatas:n:
mw72:karman,13918:karman:n:
mw72:karmasa,13936:karmasa:n:
mw72:karmAra,13924:karmAra:n:
mw72:karzApaRa,13958:karzApaRa:n:
mw72:karzita,13955:karzita:n:
mw72:kalatra,13974:kalatra:n:
mw72:kalana,13964:kalana:n:
mw72:kalambuwa,13986:kalambuwa:n:
mw72:kalambU,13985:kalambU:n:
mw72:kalahat,54913:kalahat:n:
mw72:kalahAya,13994:kalahAya:n:
mw72:kalika,14017:kalika:n:
mw72:kalikA,13998:kalikA:n:
mw72:kaliYja,14024:kaliYja:n:
mw72:kalita,13965:kalita:n:
mw72:kalkala,14041:kalkala:n:
mw72:kalki,14039:kalki:n:
mw72:kavayitf,54914:kavayitf:n:
mw72:kavayI,14085:kavayI:n:
mw72:kaviYjuka,14105:kaviYjuka:n:
mw72:kavitf,14099:kavitf:n:
mw72:kavozRa,14108:kavozRa:n:
mw72:kavya,14104:kavya:n:
mw72:kaSmIra,14124:kaSmIra:n:
mw72:kaSya,14111:kaSya:n:
mw72:kazAyIBUta,14141:kazAyIBUta:n:
mw72:kazi,14133:kazi:n:
mw72:kazikA,14143:kazikA:n:
mw72:kazita,14134:kazita:n:
mw72:kazwAya,14148:kazwAya:n:
mw72:kazwi,14135:kazwi:n:
mw72:kasmAt,14168:kasmAt:n:
mw72:kasvara,14152:kasvara:n:
mw72:kAkatIyarudra,14193:kAkatIyarudra:n:
mw72:kAkanantI,14189:kAkanantI:n:
mw72:kAkalIka,14202:kAkalIka:n:
mw72:kAkAyu,14190:kAkAyu:n:
mw72:kAkAra,14203:kAkAra:n:
mw72:kAkAla,14191:kAkAla:n:
mw72:kAkiRikA,14205:kAkiRikA:n:
mw72:kAkiRI,14204:kAkiRI:n:
mw72:kAkila,14208:kAkila:n:
mw72:kAkIya,14192:kAkIya:n:
mw72:kAciYcika,14243:kAciYcika:n:
mw72:kAcita,14241:kAcita:n:
mw72:kAcCapa,14249:kAcCapa:n:
mw72:kAcCika,14248:kAcCika:n:
mw72:kAwuka,14267:kAwuka:n:
mw72:kAwya,14265:kAwya:n:
mw72:kARaBuja,54916:kARaBuja:n:
mw72:kARAda,14276:kARAda:n:
mw72:kARUka,14277:kARUka:n:
mw72:kAReya,14274:kAReya:n:
mw72:kARqaRI,14289:kARqaRI:n:
mw72:kARqanI,14283:kARqanI:n:
mw72:kAtTakya,14310:kAtTakya:n:
mw72:kAtya,14302:kAtya:n:
mw72:kAdambarya,14319:kAdambarya:n:
mw72:kAdambinI,14317:kAdambinI:n:
mw72:kAdrava,54917:kAdrava:n:
mw72:kAdraveya,14323:kAdraveya:n:
mw72:kAnizWya,54918:kAnizWya:n:
mw72:kAnIta,14328:kAnIta:n:
mw72:kAntAraka,14338:kAntAraka:n:
mw72:kAnti,14335:kAnti:n:
mw72:kApuruzya,14370:kApuruzya:n:
mw72:kApeya,14367:kApeya:n:
mw72:kApotapAkya,14373:kApotapAkya:n:
mw72:kApya,14368:kApya:n:
mw72:kAmatAta,54919:kAmatAta:n:
mw72:kAmana,14380:kAmana:n:
mw72:kAmandaki,14404:kAmandaki:n:
mw72:kAmam,14381:kAmam:n:
mw72:kAmAKyA,54920:kAmAKyA:n:
mw72:kAmAlikA,14405:kAmAlikA:n:
mw72:kAmAlu,14406:kAmAlu:n:
mw72:kAmi,14389:kAmi:n:
mw72:kAmboji,14420:kAmboji:n:
mw72:kAmya,14396:kAmya:n:
mw72:kAyadaRqa,54921:kAyadaRqa:n:
mw72:kAyamAna,14426:kAyamAna:n:
mw72:kAyavya,14427:kAyavya:n:
mw72:kAyika,14425:kAyika:n:
mw72:kAraYja,14451:kAraYja:n:
mw72:kAraRa,14431:kAraRa:n:
mw72:kAraBa,14457:kAraBa:n:
mw72:kAram,14434:kAram:n:
mw72:kAramBA,14459:kAramBA:n:
mw72:kArayat,14435:kArayat:n:
mw72:kArAyikA,14470:kArAyikA:n:
mw72:kAri,14440:kAri:n:
mw72:kArikA,14471:kArikA:n:
mw72:kArita,14441:kArita:n:
mw72:kArIzi,14475:kArIzi:n:
mw72:kAru,14443:kAru:n:
mw72:kAruRqI,14482:kAruRqI:n:
mw72:kAruRya,14481:kAruRya:n:
mw72:kArRAwaka,14503:kArRAwaka:n:
mw72:kArRAwaBAzA,14502:kArRAwaBAzA:n:
mw72:kArRAwaBAzA,14502:kArRAwaBAzA:n:
mw72:kArRika,14501:kArRika:n:
mw72:kArzApaRika,14553:kArzApaRika:n:
mw72:kArzi,14547:kArzi:n:
mw72:kArzRya,14558:kArzRya:n:
mw72:kArzman,14550:kArzman:n:
mw72:kAlakUwi,14589:kAlakUwi:n:
mw72:kAlakeya,14564:kAlakeya:n:
mw72:kAlapUga,54923:kAlapUga:n:
mw72:kAlabalana,14592:kAlabalana:n:
mw72:kAlambI,14595:kAlambI:n:
mw72:kAlaya,14576:kAlaya:n:
mw72:kAlAyanI,14606:kAlAyanI:n:
mw72:kAlika,14565:kAlika:n:
mw72:kAlidAsaka,14613:kAlidAsaka:n:
mw72:kAlinI,14578:kAlinI:n:
mw72:kAlindaka,14616:kAlindaka:n:
mw72:kAliman,14566:kAliman:n:
mw72:kAlimmanyA,14618:kAlimmanyA:n:
mw72:kAliya,14567:kAliya:n:
mw72:kAlIcI,14621:kAlIcI:n:
mw72:kAlIna,14580:kAlIna:n:
mw72:kAlIna,14580:kAlIna:n:
mw72:kAlIya,14570:kAlIya:n:
mw72:kAleja,14625:kAleja:n:
mw72:kAleya,14572:kAleya:n:
mw72:kAlpasUtra,14633:kAlpasUtra:n:
mw72:kAlya,14582:kAlya:n:
mw72:kAlya,14582:kAlya:n:
mw72:kAlyaka,14574:kAlyaka:n:
mw72:kASika,14664:kASika:n:
mw72:kASin,14654:kASin:n:
mw72:kASUkAra,14669:kASUkAra:n:
mw72:kASeya,14665:kASeya:n:
mw72:kASmIrika,14673:kASmIrika:n:
mw72:kASya,14666:kASya:n:
mw72:kAzWalozwamaya,54924:kAzWalozwamaya:n:
mw72:kAzWA,14689:kAzWA:n:
mw72:kAzWA,14689:kAzWA:n:
mw72:kAzWika,14687:kAzWika:n:
mw72:kAsAra,14699:kAsAra:n:
mw72:kAsikA,14694:kAsikA:n:
mw72:kAsIsa,14701:kAsIsa:n:
mw72:kAsundIvawikA,14696:kAsundIvawikA:n:
mw72:kAhali,14708:kAhali:n:
mw72:kAhalin,14707:kAhalin:n:
mw72:kiMyu,14769:kiMyu:n:
mw72:kiMstya,14714:kiMstya:n:
mw72:kikirA,14719:kikirA:n:
mw72:kikIdiva,14718:kikIdiva:n:
mw72:kiYcanya,54925:kiYcanya:n:
mw72:kiYcit,14739:kiYcit:n:
mw72:kintA,54926:kintA:n:
mw72:kinduvilva,14762:kinduvilva:n:
mw72:kindeva,54927:kindeva:n:
mw72:kinDin,14763:kinDin:n:
mw72:kimIdin,14771:kimIdin:n:
mw72:kimIya,14770:kimIya:n:
mw72:kimmantrin,54930:kimmantrin:n:
mw72:kiyat,14772:kiyat:n:
mw72:kirAri,14787:kirAri:n:
mw72:kiri,14780:kiri:n:
mw72:kirmIrita,14797:kirmIrita:n:
mw72:kiryARI,14782:kiryARI:n:
mw72:kilvin,14818:kilvin:n:
mw72:kilvizin,14817:kilvizin:n:
mw72:kIrtya,15724:kIrtya:n:
mw72:kIrmI,14858:kIrmI:n:
mw72:kIrmI,14858:kIrmI:n:
mw72:kIrya,14855:kIrya:n:
mw72:kIlAla,14865:kIlAla:n:
mw72:kIlikA,14863:kIlikA:n:
mw72:kukzija,54932:kukzija:n:
mw72:kukzitaki,14905:kukzitaki:n:
mw72:kukzitaki,14905:kukzitaki:n:
mw72:kukzila,14904:kukzila:n:
mw72:kucika,14924:kucika:n:
mw72:kucita,14918:kucita:n:
mw72:kuYjala,14949:kuYjala:n:
mw72:kuYjikA,14947:kuYjikA:n:
mw72:kuwala,14975:kuwala:n:
mw72:kuwi,14953:kuwi:n:
mw72:kuwikozwikA,14977:kuwikozwikA:n:
mw72:kuwita,14955:kuwita:n:
mw72:kuwwamita,14997:kuwwamita:n:
mw72:kuwwAka,14993:kuwwAka:n:
mw72:kuwwAra,14998:kuwwAra:n:
mw72:kuwwita,14994:kuwwita:n:
mw72:kuRqalIBUta,15062:kuRqalIBUta:n:
mw72:kuRqika,15053:kuRqika:n:
mw72:kutantrI,54933:kutantrI:n:
mw72:kutapa,15069:kutapa:n:
mw72:kutsa,15093:kutsa:n:
mw72:kutsana,15089:kutsana:n:
mw72:kutsalA,15095:kutsalA:n:
mw72:kutsA,15090:kutsA:n:
mw72:kundara,15153:kundara:n:
mw72:kundinI,15151:kundinI:n:
mw72:kupaTya,15171:kupaTya:n:
mw72:kupana,15160:kupana:n:
mw72:kupiYjala,15177:kupiYjala:n:
mw72:kupita,15162:kupita:n:
mw72:kupinin,15181:kupinin:n:
mw72:kupinI,15180:kupinI:n:
mw72:kupUya,15186:kupUya:n:
mw72:kupya,15163:kupya:n:
mw72:kumBalA,15249:kumBalA:n:
mw72:kumBikA,15240:kumBikA:n:
mw72:kulaDarma,54935:kulaDarma:n:
mw72:kulaBa,15335:kulaBa:n:
mw72:kulavartman,54937:kulavartman:n:
mw72:kulahaRqaka,15336:kulahaRqaka:n:
mw72:kulAya,15341:kulAya:n:
mw72:kulAyana,15320:kulAyana:n:
mw72:kuli,15350:kuli:n:
mw72:kulika,15321:kulika:n:
mw72:kulija,15353:kulija:n:
mw72:kulin,15322:kulin:n:
mw72:kulIkA,15359:kulIkA:n:
mw72:kulIna,15323:kulIna:n:
mw72:kulUta,15369:kulUta:n:
mw72:kuleya,15325:kuleya:n:
mw72:kulmAsa,15373:kulmAsa:n:
mw72:kulya,15326:kulya:n:
mw72:kuSanAra,15420:kuSanAra:n:
mw72:kuSaya,15414:kuSaya:n:
mw72:kuSika,15432:kuSika:n:
mw72:kuSita,15415:kuSita:n:
mw72:kuzWikA,15461:kuzWikA:n:
mw72:kuzWita,15459:kuzWita:n:
mw72:kusumAla,15483:kusumAla:n:
mw72:kusumita,15481:kusumita:n:
mw72:kusumBa,15484:kusumBa:n:
mw72:kusumya,15482:kusumya:n:
mw72:kusurubindu,15486:kusurubindu:n:
mw72:kusuruvinda,15485:kusuruvinda:n:
mw72:kuhakasvana,15505:kuhakasvana:n:
mw72:kuhana,15501:kuhana:n:
mw72:kURikA,15545:kURikA:n:
mw72:kURita,15542:kURita:n:
mw72:kUpuza,15555:kUpuza:n:
mw72:kUpya,15552:kUpya:n:
mw72:kUlika,15581:kUlika:n:
mw72:kUlin,15578:kUlin:n:
mw72:kfRu,15632:kfRu:n:
mw72:kft,15590:kft:n:
mw72:kftadvasu,15640:kftadvasu:n:
mw72:kftaya,15593:kftaya:n:
mw72:kftA,15641:kftA:n:
mw72:kftAnta,15594:kftAnta:n:
mw72:kftArTayat,54940:kftArTayat:n:
mw72:kfti,15595:kfti:n:
mw72:kfttikA,15636:kfttikA:n:
mw72:kftnu,15599:kftnu:n:
mw72:kfDu,15648:kfDu:n:
mw72:kfntatra,15637:kfntatra:n:
mw72:kfpARaka,15661:kfpARaka:n:
mw72:kfpAya,15659:kfpAya:n:
mw72:kfmija,54941:kfmija:n:
mw72:kfmiRa,15665:kfmiRa:n:
mw72:kfSAnuka,15682:kfSAnuka:n:
mw72:kfSikA,15675:kfSikA:n:
mw72:kfzARu,15694:kfzARu:n:
mw72:kfzi,15687:kfzi:n:
mw72:kfzkara,15695:kfzkara:n:
mw72:kfzwa,15690:kfzwa:n:
mw72:kfzReya,15708:kfzReya:n:
mw72:kfzya,15692:kfzya:n:
mw72:ketaka,15741:ketaka:n:
mw72:ketana,15738:ketana:n:
mw72:ketalikIrti,15742:ketalikIrti:n:
mw72:ketita,15740:ketita:n:
mw72:kela,15772:kela:n:
mw72:kelaka,15768:kelaka:n:
mw72:kelAsa,15773:kelAsa:n:
mw72:keli,15770:keli:n:
mw72:kelikila,54942:kelikila:n:
mw72:kev,15774:kev:n:
mw72:keSawa,15787:keSawa:n:
mw72:keSava,15782:keSava:n:
mw72:keSArukA,15788:keSArukA:n:
mw72:keSi,15783:keSi:n:
mw72:kEmutikanyAya,54943:kEmutikanyAya:n:
mw72:kEyawa,15810:kEyawa:n:
mw72:kESora,15835:kESora:n:
mw72:kESya,15834:kESya:n:
mw72:konvaSira,15886:konvaSira:n:
mw72:kopa,15165:kopa:n:
mw72:kopajYa,15894:kopajYa:n:
mw72:kopana,15888:kopana:n:
mw72:koralI,15907:koralI:n:
mw72:korita,15904:korita:n:
mw72:koSAtakin,15933:koSAtakin:n:
mw72:koSikA,15927:koSikA:n:
mw72:kOwavI,15977:kOwavI:n:
mw72:kOwika,15972:kOwika:n:
mw72:kOpodakI,16016:kOpodakI:n:
mw72:kOpya,16015:kOpya:n:
mw72:kOlawera,16054:kOlawera:n:
mw72:kOlatTa,16044:kOlatTa:n:
mw72:kOlAlaka,16057:kOlAlaka:n:
mw72:kOlika,16046:kOlika:n:
mw72:kOlIka,16060:kOlIka:n:
mw72:kOlIna,16047:kOlIna:n:
mw72:kOlUta,16062:kOlUta:n:
mw72:kOleya,16049:kOleya:n:
mw72:kOlmAzIRa,16065:kOlmAzIRa:n:
mw72:kOlya,16051:kOlya:n:
mw72:kOSASvI,16079:kOSASvI:n:
mw72:kOSika,16071:kOSika:n:
mw72:kOSikAra,16083:kOSikAra:n:
mw72:kOSikin,16082:kOSikin:n:
mw72:kOSIlava,16087:kOSIlava:n:
mw72:kOSeya,16072:kOSeya:n:
mw72:kOSeya,16072:kOSeya:n:
mw72:kOSya,16069:kOSya:n:
mw72:kOzWila,16098:kOzWila:n:
mw72:kOzWya,16097:kOzWya:n:
mw72:knUta,16121:knUta:n:
mw72:knUy,16120:knUy:n:
mw72:knopana,54947:knopana:n:
mw72:kmar,16123:kmar:n:
mw72:krantf,16147:krantf:n:
mw72:krand,16137:krand:n:
mw72:krami,16162:krami:n:
mw72:kramika,16154:kramika:n:
mw72:kramela,16165:kramela:n:
mw72:kramya,16156:kramya:n:
mw72:krayaRIya,16188:krayaRIya:n:
mw72:krayaSIrza,16167:krayaSIrza:n:
mw72:krayya,16192:krayya:n:
mw72:kravaRa,16168:kravaRa:n:
mw72:kravizRu,16170:kravizRu:n:
mw72:kravis,16169:kravis:n:
mw72:kraSiman,16174:kraSiman:n:
mw72:krazwavya,15693:krazwavya:n:
mw72:krARA,54949:krARA:n:
mw72:krATa,16177:krATa:n:
mw72:krATa,16177:krATa:n:
mw72:krAnta,16158:krAnta:n:
mw72:kriya,16181:kriya:n:
mw72:kriyamARa,15608:kriyamARa:n:
mw72:krIqu,16212:krIqu:n:
mw72:krIta,16195:krIta:n:
mw72:krukta,16214:krukta:n:
mw72:kruYc,16213:kruYc:n:
mw72:krudDa,16221:krudDa:n:
