bur:garADikA,5752:garADikA:n:
bur:gATA,5828:gATA:n:
bur:gAdayAmi,5821:gAdayAmi:n:
bur:gApayAmi,5841:gApayAmi:n:
bur:gAm,5840:gAm:n:
bur:gAma,5843:gAma:n:
bur:gAmin,5842:gAmin:n:
bur:gIrRi,5900:gIrRi:n:
bur:gIrdevI,5898:gIrdevI:n:
bur:GaMs,6238:GaMs:n:
bur:GagG,6203:GagG:n:
bur:GoRasa,6289:GoRasa:n:
bur:GoRA,6287:GoRA:n:
bur:cikzaMse,6600:cikzaMse:n:
bur:cikzaYjize,6597:cikzaYjize:n:
bur:curaRyAmi,6732:curaRyAmi:n:
bur:curA,6731:curA:n:
bur:cela,6788:cela:n:
bur:cevI,6786:cevI:n:
bur:cozkUye,6821:cozkUye:n:
bur:cozya,6819:cozya:n:
bur:CemaRqa,6919:CemaRqa:n:
bur:Celu,6918:Celu:n:
bur:jaMs,7125:jaMs:n:
bur:jakuwa,6928:jakuwa:n:
bur:janasaMsad,7013:janasaMsad:n:
bur:janasambADa,7012:janasambADa:n:
bur:jiGAMsA,7234:jiGAMsA:n:
bur:jiGApayizAmi,7232:jiGApayizAmi:n:
bur:jihILire,7280:jihILire:n:
bur:jihIrzAmi,7279:jihIrzAmi:n:
bur:jIrRi,7297:jIrRi:n:
bur:jIryAmi,7295:jIryAmi:n:
bur:jfmBiRI,7381:jfmBiRI:n:
bur:jfmBita,7380:jfmBita:n:
bur:jehiMsmi,7406:jehiMsmi:n:
bur:jehigmi,7405:jehigmi:n:
bur:taMstanmi,7831:taMstanmi:n:
bur:tak,7612:tak:n:
bur:takra,7618:takra:n:
bur:takla,7615:takla:n:
bur:tapoyukta,7711:tapoyukta:n:
bur:tapovawa,7710:tapovawa:n:
bur:tamodvAra,7728:tamodvAra:n:
bur:tamonud,7727:tamonud:n:
bur:tarasa,7752:tarasa:n:
bur:tarasTAna,7751:tarasTAna:n:
bur:titaMsAmi,7925:titaMsAmi:n:
bur:titaNkzAmi,7919:titaNkzAmi:n:
bur:titiBa,7928:titiBa:n:
bur:titirus,7927:titirus:n:
bur:titirzAmi,7930:titirzAmi:n:
bur:titila,7929:titila:n:
bur:tfMh,8127:tfMh:n:
bur:tfkz,8099:tfkz:n:
bur:traMs,8205:traMs:n:
bur:trak,8187:trak:n:
bur:triMSat,8308:triMSat:n:
bur:trika,8216:trika:n:
bur:triveRI,8290:triveRI:n:
bur:trivedi,8289:trivedi:n:
bur:daMh,8545:daMh:n:
bur:daka,8366:daka:n:
bur:dantolUKalika,8428:dantolUKalika:n:
bur:dantya,8427:dantya:n:
bur:dandaMzmi,8432:dandaMzmi:n:
bur:dandaSUka,8429:dandaSUka:n:
bur:dardarIka,8461:dardarIka:n:
bur:dardarmi,8459:dardarmi:n:
bur:dADAvye,8578:dADAvye:n:
bur:dADika,8576:dADika:n:
bur:duHsPowa,8897:duHsPowa:n:
bur:dukUla,8786:dukUla:n:
bur:durmanas,8847:durmanas:n:
bur:durmanAye,8846:durmanAye:n:
bur:dfMh,8949:dfMh:n:
bur:dfkkarRa,8921:dfkkarRa:n:
bur:dedIbmi,8956:dedIbmi:n:
bur:dedIye,8955:dedIye:n:
bur:dOHsADika,9047:dOHsADika:n:
bur:dOkUla,9035:dOkUla:n:
bur:dvAHsTa,9149:dvAHsTa:n:
bur:dvAdaSa,9142:dvAdaSa:n:
bur:dvezoyut,9217:dvezoyut:n:
bur:dvezwf,9215:dvezwf:n:
bur:DattUra,9241:DattUra:n:
bur:Datte,9240:Datte:n:
bur:DvaMsin,9491:DvaMsin:n:
bur:Dvaj,9480:Dvaj:n:
bur:naMsyAmi,9648:naMsyAmi:n:
bur:nak,9504:nak:n:
bur:naNkzyAmi,9520:naNkzyAmi:n:
bur:naNK,9519:naNK:n:
bur:naMnammi,9582:naMnammi:n:
bur:napAt,9552:napAt:n:
bur:nAnaMzmi,9674:nAnaMzmi:n:
bur:nAnadmi,9671:nAnadmi:n:
bur:ni,9716:ni:n:
bur:niMs,10235:niMs:n:
bur:niMs,10235:niMs:n:
bur:niHSabda,10196:niHSabda:n:
bur:niHsaMSaya,10211:niHsaMSaya:n:
bur:niHsanDi,10207:niHsanDi:n:
bur:ninaMsAmi,9821:ninaMsAmi:n:
