ccs:ESvarya,4110:ESvarya:n:
ccs:Ezamas,29788:Ezamas:n:
ccs:otu,4131:otu:n:
ccs:otum,4130:otum:n:
ccs:Odaka,4165:Odaka:n:
ccs:Odarika,29789:Odarika:n:
ccs:OdAttya,4167:OdAttya:n:
ccs:OdAraka,4166:OdAraka:n:
ccs:kaRwa,4254:kaRwa:n:
ccs:kaRwaka,4251:kaRwaka:n:
ccs:kaRWya,4259:kaRWya:n:
ccs:kaRqana,29791:kaRqana:n:
ccs:kapitTa,4350:kapitTa:n:
ccs:kapipati,4348:kapipati:n:
ccs:karamBAd,4415:karamBAd:n:
ccs:kararuha,29793:kararuha:n:
ccs:kalhAra,4611:kalhAra:n:
ccs:kavaka,4575:kavaka:n:
ccs:kArzmarya,4790:kArzmarya:n:
ccs:kArzya,4788:kArzya:n:
ccs:kAlakfta,4798:kAlakfta:n:
ccs:kAlakzama,29796:kAlakzama:n:
ccs:kAlhAra,4860:kAlhAra:n:
ccs:kAvya,4644:kAvya:n:
ccs:kidevata,4884:kidevata:n:
ccs:kin,4882:kin:n:
ccs:kilaYja,4917:kilaYja:n:
ccs:kilAta,29797:kilAta:n:
ccs:kundalatA,5037:kundalatA:n:
ccs:kundina,29800:kundina:n:
ccs:kUbara,5217:kUbara:n:
ccs:kUbarI,29803:kUbarI:n:
ccs:kft,5252:kft:n:
ccs:kfta,5251:kfta:n:
ccs:kftapUrva,5267:kftapUrva:n:
ccs:kftapraRaya,5266:kftapraRaya:n:
ccs:kOzItaka,5500:kOzItaka:n:
ccs:kOzItakin,29807:kOzItakin:n:
ccs:kzepizWa,5780:kzepizWa:n:
ccs:kzepRA,5779:kzepRA:n:
ccs:KawvANgaDara,5839:KawvANgaDara:n:
ccs:KawvAtala,5838:KawvAtala:n:
ccs:KaRqana,5850:KaRqana:n:
ccs:KaRqamodaka,29817:KaRqamodaka:n:
ccs:KAti,5895:KAti:n:
ccs:KAtra,5888:KAtra:n:
ccs:KAdayitavya,5894:KAdayitavya:n:
ccs:KAdikA,5892:KAdikA:n:
ccs:gArhapatya,6172:gArhapatya:n:
ccs:gArhapatyAgAra,29820:gArhapatyAgAra:n:
ccs:gfhI,6376:gfhI:n:
ccs:gfhIta,6369:gfhIta:n:
ccs:catuHsahasra,6809:catuHsahasra:n:
ccs:catur,6748:catur:n:
ccs:candravarRa,6846:candravarRa:n:
ccs:candravaSa,6843:candravaSa:n:
ccs:caraDyE,6890:caraDyE:n:
ccs:carama,6889:carama:n:
ccs:carcarikA,6905:carcarikA:n:
ccs:carcA,6904:carcA:n:
ccs:cAnaS,6953:cAnaS:n:
ccs:cAnUra,6941:cAnUra:n:
ccs:cuYcu,7117:cuYcu:n:
ccs:cuw,7116:cuw:n:
ccs:coca,7183:coca:n:
ccs:cowa,7151:cowa:n:
ccs:CandaHsUtra,7234:CandaHsUtra:n:
ccs:Candaka,7229:Candaka:n:
ccs:janani,7390:janani:n:
ccs:janapati,7388:janapati:n:
ccs:janADipa,7401:janADipa:n:
ccs:janAntara,7389:janAntara:n:
ccs:jayAGoza,7478:jayAGoza:n:
ccs:jayAjaya,7476:jayAjaya:n:
ccs:juhoti,7821:juhoti:n:
ccs:juhvazu,7820:juhvazu:n:
ccs:jyotiHzwoma,7937:jyotiHzwoma:n:
ccs:jyotirjYa,7929:jyotirjYa:n:
ccs:taLit,8066:taLit:n:
ccs:taMs,8038:taMs:n:
ccs:tad,8131:tad:n:
ccs:tada,8059:tada:n:
ccs:tazwar,8385:tazwar:n:
ccs:tazwi,8384:tazwi:n:
ccs:tAtfpi,8409:tAtfpi:n:
ccs:tAtfzARa,8408:tAtfzARa:n:
ccs:tArkzya,8491:tArkzya:n:
ccs:tArRa,8477:tArRa:n:
ccs:tIkzRadaMzwra,8616:tIkzRadaMzwra:n:
ccs:tIkzRadaRqa,8615:tIkzRadaRqa:n:
ccs:tucCya,8654:tucCya:n:
ccs:tuj,8651:tuj:n:
ccs:tuRa,8803:tuRa:n:
ccs:tuRqa,8663:tuRqa:n:
ccs:tulana,8710:tulana:n:
ccs:tulA,8709:tulA:n:
ccs:tulyArTa,8722:tulyArTa:n:
ccs:tuvara,8675:tuvara:n:
ccs:tuzAragiri,8741:tuzAragiri:n:
ccs:tuzArapatana,8739:tuzArapatana:n:
ccs:tUzRIBAva,8778:tUzRIBAva:n:
ccs:tUzRIm,8777:tUzRIm:n:
ccs:trizatya,9102:trizatya:n:
ccs:trizaDasTa,29843:trizaDasTa:n:
ccs:truw,9119:truw:n:
ccs:truwa,8331:truwa:n:
ccs:daRqapAla,9308:daRqapAla:n:
ccs:daRqapASa,9307:daRqapASa:n:
ccs:daDidrapsa,9348:daDidrapsa:n:
ccs:daDiBakta,29845:daDiBakta:n:
ccs:dAlana,9631:dAlana:n:
ccs:dAlA,9630:dAlA:n:
ccs:duHKatA,9863:duHKatA:n:
ccs:duHKaduHKena,9861:duHKaduHKena:n:
ccs:duHprasaha,9876:duHprasaha:n:
ccs:duHSaMsa,10097:duHSaMsa:n:
ccs:durutsaha,9927:durutsaha:n:
ccs:durudvaha,29851:durudvaha:n:
ccs:durbrAhmaRa,9995:durbrAhmaRa:n:
ccs:durBakza,10003:durBakza:n:
ccs:durBAgya,9999:durBAgya:n:
ccs:durBAza,10000:durBAza:n:
ccs:duzwaSoRita,29853:duzwaSoRita:n:
ccs:duzwaSonita,10121:duzwaSonita:n:
ccs:devakinandana,10270:devakinandana:n:
ccs:devakilbiza,10269:devakilbiza:n:
ccs:devajAta,29854:devajAta:n:
ccs:devajuzwa,10285:devajuzwa:n:
ccs:doHSAlin,10478:doHSAlin:n:
ccs:dogDar,10467:dogDar:n:
ccs:dOHsTya,10524:dOHsTya:n:
ccs:dOtya,10504:dOtya:n:
ccs:draQIyaMs,29856:draQIyaMs:n:
ccs:draDas,10573:draDas:n:
ccs:dvAHsTa,10707:dvAHsTa:n:
ccs:dvAtriMSa,10670:dvAtriMSa:n:
ccs:dvAdaSavArzika,29858:dvAdaSavArzika:n:
ccs:dvAdaSaviDa,10678:dvAdaSaviDa:n:
ccs:dviHsama,10785:dviHsama:n:
ccs:dvika,10709:dvika:n:
ccs:dvEDI,10808:dvEDI:n:
ccs:dvEDIBAva,10807:dvEDIBAva:n:
