wil:aDyAtmika,1128:aDyAtmika:n:
wil:aDvagaBogya,1157:aDvagaBogya:n:
wil:aDvagamana,1155:aDvagamana:n:
wil:ananyahAryya,1231:ananyahAryya:n:
wil:ananyahfta,1230:ananyahfta:n:
wil:anaBiBUta,1251:anaBiBUta:n:
wil:anaBimata,1248:anaBimata:n:
wil:anArogyakara,1337:anArogyakara:n:
wil:anArjava,1333:anArjava:n:
wil:anirmAlyA,1396:anirmAlyA:n:
wil:anirmmala,1395:anirmmala:n:
wil:anizidDa,1419:anizidDa:n:
wil:anizwa,1415:anizwa:n:
wil:anIcadarSin,1427:anIcadarSin:n:
wil:anIcAnuvarttin,1426:anIcAnuvarttin:n:
wil:anujIvin,1486:anujIvin:n:
wil:anujJita,1485:anujJita:n:
wil:anupadin,1535:anupadin:n:
wil:anupadizwa,1533:anupadizwa:n:
wil:anuptaSasya,1565:anuptaSasya:n:
wil:anuprapanna,1541:anuprapanna:n:
wil:anuprasTa,1566:anuprasTa:n:
wil:anuprApta,1560:anuprApta:n:
wil:anuSizwa,1663:anuSizwa:n:
wil:anuSIlana,1662:anuSIlana:n:
wil:anuzWeya,1681:anuzWeya:n:
wil:anuzRa,1676:anuzRa:n:
wil:anekaDA,1719:anekaDA:n:
wil:anekapa,1715:anekapa:n:
wil:anekaSa,1718:anekaSa:n:
wil:anekAkAra,1714:anekAkAra:n:
wil:anEkAntika,1726:anEkAntika:n:
wil:anEkya,1724:anEkya:n:
wil:anta,1739:anta:n:
wil:antaHkaraRa,1730:antaHkaraRa:n:
wil:antarajYa,1749:antarajYa:n:
wil:antaratama,1748:antaratama:n:
wil:antarjAta,1769:antarjAta:n:
wil:antarjvalana,1768:antarjvalana:n:
wil:antardDi,1776:antardDi:n:
wil:antardvAra,1773:antardvAra:n:
wil:antarveSman,1795:antarveSman:n:
wil:antarvvARi,1790:antarvvARi:n:
wil:anyajanman,1883:anyajanman:n:
wil:anyat,1879:anyat:n:
wil:anyAyavftta,1909:anyAyavftta:n:
wil:anyAyin,1908:anyAyin:n:
wil:apa,1951:apa:n:
wil:apaHsAnta,1949:apaHsAnta:n:
wil:apakarza,1956:apakarza:n:
wil:apakalaNka,1955:apakalaNka:n:
wil:apakArArTin,1961:apakArArTin:n:
wil:apakArin,1960:apakArin:n:
wil:apakroSa,1973:apakroSa:n:
wil:apakva,1968:apakva:n:
wil:apaDyAna,2025:apaDyAna:n:
wil:apaDvaMsa,2022:apaDvaMsa:n:
wil:aparati,2049:aparati:n:
wil:aparatva,2048:aparatva:n:
wil:apasaraRa,2148:apasaraRa:n:
wil:apasarjana,2147:apasarjana:n:
wil:apAcIna,2191:apAcIna:n:
wil:apAcya,2190:apAcya:n:
wil:apAvftta,2214:apAvftta:n:
wil:apAvftti,2213:apAvftti:n:
wil:apratikArita,2323:apratikArita:n:
wil:apratigrAhya,2310:apratigrAhya:n:
wil:apratibanDa,2319:apratibanDa:n:
wil:apratiBa,2315:apratiBa:n:
wil:apratizidDa,2327:apratizidDa:n:
wil:apratizWa,2325:apratizWa:n:
wil:aprATa,2375:aprATa:n:
wil:aprApta,2371:aprApta:n:
wil:abjadfS,2419:abjadfS:n:
wil:abjanayana,2417:abjanayana:n:
wil:aBinizWAna,2538:aBinizWAna:n:
wil:aBinizpatana,2535:aBinizpatana:n:
wil:aBinetf,2542:aBinetf:n:
wil:aBineya,2541:aBineya:n:
wil:aBimantf,2561:aBimantf:n:
wil:aBimantraRa,2559:aBimantraRa:n:
wil:aBiSaMsana,2619:aBiSaMsana:n:
wil:aBiSaNkita,2616:aBiSaNkita:n:
wil:aBiSabdita,2624:aBiSabdita:n:
wil:aBiSasta,2620:aBiSasta:n:
wil:aBisambanDa,2647:aBisambanDa:n:
wil:aBisara,2646:aBisara:n:
wil:aByanujYAta,2703:aByanujYAta:n:
wil:aByantara,2701:aByantara:n:
wil:aByasta,2721:aByasta:n:
wil:aByasya,2720:aByasya:n:
wil:aByudDfta,2750:aByudDfta:n:
wil:aByudyata,2749:aByudyata:n:
wil:amanohara,2811:amanohara:n:
wil:amantavya,2803:amantavya:n:
wil:amA,2854:amA:n:
wil:amAMsa,2853:amAMsa:n:
wil:amArjjita,2877:amArjjita:n:
wil:amAvasI,2868:amAvasI:n:
wil:amUdfkza,2900:amUdfkza:n:
wil:amUdfS,2898:amUdfS:n:
wil:amftataraNgiRI,2909:amftataraNgiRI:n:
wil:amftatA,2908:amftatA:n:
wil:amftasodara,2920:amftasodara:n:
wil:amftasrut,2919:amftasrut:n:
wil:ambuvAsinI,2987:ambuvAsinI:n:
wil:ambuvAsI,2986:ambuvAsI:n:
wil:amBassU,2998:amBassU:n:
wil:amBassTa,2997:amBassTa:n:
wil:amlakeSara,3016:amlakeSara:n:
wil:amlatA,3014:amlatA:n:
wil:amlavfkza,3029:amlavfkza:n:
wil:amlavetasa,3027:amlavetasa:n:
wil:ayaTAbalam,3054:ayaTAbalam:n:
wil:ayaTArTa,3052:ayaTArTa:n:
wil:arjunacCavi,3283:arjunacCavi:n:
wil:arjunatas,3282:arjunatas:n:
wil:arRavapota,3290:arRavapota:n:
wil:arRavamandira,3289:arRavamandira:n:
wil:arTatattva,3308:arTatattva:n:
wil:arTatas,3307:arTatas:n:
wil:arTasaMsTAna,3333:arTasaMsTAna:n:
wil:arTasaMgraha,3332:arTasaMgraha:n:
wil:ardDaBAgin,3380:ardDaBAgin:n:
wil:ardDaBAj,3378:ardDaBAj:n:
wil:alaNkfta,3479:alaNkfta:n:
wil:alaNkriyA,3478:alaNkriyA:n:
wil:alajI,3486:alajI:n:
wil:alajja,3485:alajja:n:
wil:alanDUma,3491:alanDUma:n:
wil:alabDa,3490:alabDa:n:
wil:alolutva,3549:alolutva:n:
wil:alolupa,3548:alolupa:n:
wil:alpavidya,3578:alpavidya:n:
wil:alpavizaya,3577:alpavizaya:n:
wil:avagfhya,3653:avagfhya:n:
wil:avagoraRa,3649:avagoraRa:n:
wil:avazwamBa,3875:avazwamBa:n:
wil:avazwamBana,3874:avazwamBana:n:
wil:avinirmoka,4036:avinirmoka:n:
wil:avinivarttin,4035:avinivarttin:n:
wil:aSiraHsnAna,4229:aSiraHsnAna:n:
wil:aSiras,4228:aSiras:n:
wil:aSuSrUzA,4250:aSuSrUzA:n:
wil:aSuzka,4243:aSuzka:n:
wil:aSrama,4295:aSrama:n:
wil:aSravaRa,4294:aSravaRa:n:
wil:aSlAGanIya,4310:aSlAGanIya:n:
wil:aSlAGya,4309:aSlAGya:n:
wil:aSvArohin,4374:aSvArohin:n:
wil:aSvAvarohaka,4373:aSvAvarohaka:n:
wil:azwagava,4395:azwagava:n:
wil:azwagAD,4394:azwagAD:n:
wil:azwAsraya,4428:azwAsraya:n:
wil:azwI,4403:azwI:n:
wil:azWIlikA,4432:azWIlikA:n:
wil:azWIvat,4431:azWIvat:n:
wil:asa,4449:asa:n:
wil:asaMyama,4433:asaMyama:n:
wil:asamarpita,4527:asamarpita:n:
wil:asamavAyikAraRa,4523:asamavAyikAraRa:n:
wil:asAtmya,4577:asAtmya:n:
wil:asAda,2992:asAda:n:
wil:asidDi,4614:asidDi:n:
wil:asiDArA,4612:asiDArA:n:
wil:asruva,4834:asruva:n:
wil:asva,4797:asva:n:
wil:aharzita,4863:aharzita:n:
wil:ahala,4860:ahala:n:
wil:ahobata,4908:ahobata:n:
wil:ahorAtra,4907:ahorAtra:n:
wil:Akfzwi,4989:Akfzwi:n:
wil:AkfzyamARa,4987:AkfzyamARa:n:
wil:ANgaka,5107:ANgaka:n:
wil:ANgAra,5106:ANgAra:n:
wil:AwarUza,5192:AwarUza:n:
wil:Awavika,5191:Awavika:n:
wil:Atmagata,5254:Atmagata:n:
wil:AtmaguptA,5245:AtmaguptA:n:
wil:AtmodBava,5309:AtmodBava:n:
wil:AtmopajIvin,5308:AtmopajIvin:n:
wil:AtmopajIvin,5308:AtmopajIvin:n:
wil:Atmopama,5307:Atmopama:n:
wil:ADikArika,5383:ADikArika:n:
wil:ADikya,5379:ADikya:n:
wil:Anulomika,5457:Anulomika:n:
wil:Anulomya,5456:Anulomya:n:
wil:AntarIkza,5471:AntarIkza:n:
wil:AntargaRika,5470:AntargaRika:n:
wil:AnDra,5482:AnDra:n:
wil:Anna,5481:Anna:n:
wil:ApadA,5502:ApadA:n:
wil:Apadgrasta,5500:Apadgrasta:n:
wil:AptagarBA,5533:AptagarBA:n:
wil:Aptagarvva,5532:Aptagarvva:n:
wil:AmayAvitva,5597:AmayAvitva:n:
wil:AmayAvin,5596:AmayAvin:n:
wil:Ayatana,5657:Ayatana:n:
wil:AyatastU,5655:AyatastU:n:
wil:AyatAyati,5659:AyatAyati:n:
wil:AyatArdDa,5656:AyatArdDa:n:
wil:Ayallaka,5669:Ayallaka:n:
wil:Ayavyaya,5668:Ayavyaya:n:
wil:Ayu,5681:Ayu:n:
wil:AyuHSeza,5680:AyuHSeza:n:
wil:Ayuzwoma,5693:Ayuzwoma:n:
wil:Ayuzmat,5692:Ayuzmat:n:
wil:AraBya,5722:AraBya:n:
wil:AramBa,5721:AramBa:n:
wil:ArttyapaharaRa,5770:ArttyapaharaRa:n:
wil:Arttvijya,5769:Arttvijya:n:
wil:ArdDika,5784:ArdDika:n:
wil:Ardra,5772:Ardra:n:
wil:Alambin,5813:Alambin:n:
wil:AlamBa,5808:AlamBa:n:
wil:ASvineya,6021:ASvineya:n:
wil:ASvIna,6020:ASvIna:n:
wil:As,6029:As:n:
wil:Asa,6028:Asa:n:
wil:AsvAdita,6111:AsvAdita:n:
wil:AsvAnta,6108:AsvAnta:n:
wil:AhitAgni,6136:AhitAgni:n:
wil:AhitANka,6135:AhitANka:n:
wil:ita,6229:ita:n:
wil:itaHitas,6227:itaHitas:n:
wil:itaScetas,6238:itaScetas:n:
wil:itas,6236:itas:n:
wil:idaMkAryyA,6254:idaMkAryyA:n:
wil:idam,6253:idam:n:
wil:indrapurohitA,6309:indrapurohitA:n:
wil:indrapuzpA,6308:indrapuzpA:n:
wil:indravfdDA,6324:indravfdDA:n:
wil:indravrata,6323:indravrata:n:
wil:Iyivas,6467:Iyivas:n:
wil:Ira,6466:Ira:n:
wil:IzatpARqu,6510:IzatpARqu:n:
wil:IzatpAna,6506:IzatpAna:n:
wil:Izatpuruza,6511:Izatpuruza:n:
wil:IzatpralamBa,6507:IzatpralamBa:n:
wil:IzadUna,6512:IzadUna:n:
wil:IzadguRa,6509:IzadguRa:n:
wil:ucCUsa,6648:ucCUsa:n:
wil:ucCUsana,6646:ucCUsana:n:
wil:ucCUsita,6647:ucCUsita:n:
wil:ucCfNKala,6636:ucCfNKala:n:
wil:uQra,6686:uQra:n:
wil:uRqeraka,6684:uRqeraka:n:
wil:utkIrttita,6715:utkIrttita:n:
wil:utkuYcitA,6713:utkuYcitA:n:
wil:uttarADikAritA,6802:uttarADikAritA:n:
wil:uttarADikArin,6801:uttarADikArin:n:
wil:utpatita,6857:utpatita:n:
wil:utpatitf,6856:utpatitf:n:
wil:udGawwita,7076:udGawwita:n:
wil:udGana,7074:udGana:n:
wil:udGuzwa,7088:udGuzwa:n:
wil:udja,7086:udja:n:
wil:udDaraRIya,7122:udDaraRIya:n:
wil:udDarttf,7120:udDarttf:n:
wil:unnamayya,7233:unnamayya:n:
wil:unnamita,7232:unnamita:n:
wil:upakxpta,7303:upakxpta:n:
wil:upakrantf,7297:upakrantf:n:
wil:upajIvana,7346:upajIvana:n:
wil:upajIvikA,7345:upajIvikA:n:
wil:upama,7435:upama:n:
wil:upamardaka,7434:upamardaka:n:
wil:upamardaka,7434:upamardaka:n:
wil:upamardda,7433:upamardda:n:
wil:upalakzita,7478:upalakzita:n:
wil:upalakzya,7476:upalakzya:n:
wil:upalaBya,7483:upalaBya:n:
wil:upalamBa,7482:upalamBa:n:
wil:upasaMhfti,7535:upasaMhfti:n:
wil:upasaMkzepa,7525:upasaMkzepa:n:
wil:upasaMgfhya,7529:upasaMgfhya:n:
wil:upasaMgraha,7527:upasaMgraha:n:
wil:upasTanigraha,7561:upasTanigraha:n:
wil:upasTapatra,7560:upasTapatra:n:
wil:upAyayoga,7622:upAyayoga:n:
wil:upAyin,7621:upAyin:n:
wil:upArama,7626:upArama:n:
wil:upArjjana,7623:upArjjana:n:
wil:uptima,7666:uptima:n:
wil:uptivid,7665:uptivid:n:
wil:ura,7697:ura:n:
wil:uraHkzata,7694:uraHkzata:n:
wil:uraHsUtrikA,7696:uraHsUtrikA:n:
wil:uraHsTala,7695:uraHsTala:n:
wil:urutama,7729:urutama:n:
wil:urutara,7728:urutara:n:
wil:ulUKalaka,7766:ulUKalaka:n:
wil:ulUKalika,7765:ulUKalika:n:
wil:ullaNGitaSAsana,7778:ullaNGitaSAsana:n:
wil:ullaNGya,7777:ullaNGya:n:
wil:uzmAgama,7857:uzmAgama:n:
wil:uzya,7823:uzya:n:
wil:Urjasvin,7891:Urjasvin:n:
wil:Urjjasvat,7889:Urjjasvat:n:
wil:fkzezwi,7979:fkzezwi:n:
wil:fksaMhitA,7971:fksaMhitA:n:
wil:fc,7983:fc:n:
wil:fca,7982:fca:n:
wil:ftuliNga,8034:ftuliNga:n:
wil:ftuvftti,8032:ftuvftti:n:
wil:ekArTa,8197:ekArTa:n:
wil:ekAvalI,8196:ekAvalI:n:
wil:kakkola,8481:kakkola:n:
wil:kakKa,8467:kakKa:n:
wil:kanyAdAtf,8925:kanyAdAtf:n:
wil:kanyAdAna,8924:kanyAdAna:n:
wil:kapiSAputra,8992:kapiSAputra:n:
wil:kapiSAyana,8991:kapiSAyana:n:
wil:kapucCala,9003:kapucCala:n:
wil:kapuzwikA,9002:kapuzwikA:n:
wil:kapolaPalaka,9018:kapolaPalaka:n:
wil:kapolaBitti,9016:kapolaBitti:n:
wil:kam,9038:kam:n:
wil:kama,9037:kama:n:
wil:karahAwaka,9166:karahAwaka:n:
wil:karAgrapallava,9150:karAgrapallava:n:
wil:karuRAmaya,9213:karuRAmaya:n:
wil:karuRAmallI,9212:karuRAmallI:n:
wil:karkowakI,9262:karkowakI:n:
wil:karkki,9258:karkki:n:
wil:karRasPowA,9316:karRasPowA:n:
wil:karRasrAva,9315:karRasrAva:n:
wil:kalhAra,9720:kalhAra:n:
wil:kava,9635:kava:n:
wil:kAmAtmatA,9990:kAmAtmatA:n:
wil:kAmAtman,9989:kAmAtman:n:
wil:kAmADikAra,9992:kAmADikAra:n:
wil:kAmADizWita,9991:kAmADizWita:n:
wil:kAyyAdyukta,10164:kAyyAdyukta:n:
wil:kAra,10044:kAra:n:
wil:kAramihikA,10065:kAramihikA:n:
wil:kAramBA,10064:kAramBA:n:
wil:kArkaSya,10098:kArkaSya:n:
wil:kArkkaRa,10096:kArkkaRa:n:
wil:kArSmarI,10168:kArSmarI:n:
wil:kArSya,10167:kArSya:n:
wil:kAlakacu,10185:kAlakacu:n:
wil:kAlakaRWa,10183:kAlakaRWa:n:
wil:kAlakaraRa,10189:kAlakaraRa:n:
wil:kAlakarRikA,10187:kAlakarRikA:n:
wil:kAlajYa,10208:kAlajYa:n:
wil:kAlaYjara,10207:kAlaYjara:n:
wil:kAlaparivAsa,10220:kAlaparivAsa:n:
wil:kAlaparRa,10219:kAlaparRa:n:
wil:kAsIsa,10369:kAsIsa:n:
wil:kAsundIvawikA,10362:kAsundIvawikA:n:
wil:kukarmmakArin,10540:kukarmmakArin:n:
wil:kukarmman,10539:kukarmman:n:
wil:kuwumbArTa,10644:kuwumbArTa:n:
wil:kuwumbitA,10642:kuwumbitA:n:
wil:kuRqin,10710:kuRqin:n:
wil:kuRqina,10709:kuRqina:n:
wil:kurvvatrUpa,10904:kurvvatrUpa:n:
wil:kurvvARa,10902:kurvvARa:n:
wil:kulastrI,10954:kulastrI:n:
wil:kulasTiti,10953:kulasTiti:n:
wil:kulAyanilAyitA,10972:kulAyanilAyitA:n:
wil:kulAyanilAyin,10971:kulAyanilAyin:n:
wil:kulAhaka,10980:kulAhaka:n:
wil:kulAhala,10979:kulAhala:n:
wil:kulotpanna,11005:kulotpanna:n:
wil:kulodgata,11004:kulodgata:n:
wil:kuSapuzpa,11043:kuSapuzpa:n:
wil:kuSaya,11042:kuSaya:n:
wil:kuSalabudDi,11048:kuSalabudDi:n:
wil:kuSalava,11047:kuSalava:n:
wil:kuSAraRi,11061:kuSAraRi:n:
wil:kuSAlmali,11060:kuSAlmali:n:
wil:kuzWahantf,11092:kuzWahantf:n:
wil:kuzWahft,11091:kuzWahft:n:
wil:kusma,11137:kusma:n:
wil:kusvapna,11136:kusvapna:n:
wil:kftasaMskAra,11329:kftasaMskAra:n:
wil:kftasaNketa,11327:kftasaNketa:n:
wil:kfdanta,11408:kfdanta:n:
wil:kfdara,11407:kfdara:n:
wil:kfpAmaya,11420:kfpAmaya:n:
wil:kfpAlu,11419:kfpAlu:n:
wil:kfzRa,11473:kfzRa:n:
wil:kfzRaMSrita,11472:kfzRaMSrita:n:
wil:kfzRalaka,11513:kfzRalaka:n:
wil:kfzRalavaRa,11511:kfzRalavaRa:n:
wil:koNkaRAsuta,11715:koNkaRAsuta:n:
wil:koca,11713:koca:n:
wil:koSalika,11789:koSalika:n:
wil:koSavAsin,11787:koSavAsin:n:
wil:kOrpya,11870:kOrpya:n:
wil:kOrmma,11869:kOrmma:n:
wil:krIqat,12038:krIqat:n:
wil:krIqana,12037:krIqana:n:
wil:kruYc,12050:kruYc:n:
wil:kruYca,12049:kruYca:n:
wil:kruD,12055:kruD:n:
wil:kruDa,12054:kruDa:n:
wil:kroYcadAraRa,12081:kroYcadAraRa:n:
wil:kroYcapadA,12080:kroYcapadA:n:
wil:kzayarogin,12262:kzayarogin:n:
wil:kzayavAyu,12258:kzayavAyu:n:
wil:kzavaTu,12280:kzavaTu:n:
wil:kzavikA,12279:kzavikA:n:
wil:kzipti,12348:kzipti:n:
wil:kzipnu,12345:kzipnu:n:
wil:kzIrapAyiR,12388:kzIrapAyiR:n:
wil:kzIrapAyin,12387:kzIrapAyin:n:
wil:kzIrAnnAda,12405:kzIrAnnAda:n:
wil:kzIrAbDi,12402:kzIrAbDi:n:
wil:kzuD,12456:kzuD:n:
wil:kzuDa,12455:kzuDa:n:
wil:kzetrarASi,12494:kzetrarASi:n:
wil:kzetravid,12493:kzetravid:n:
wil:kzojana,12525:kzojana:n:
wil:kzoqa,12524:kzoqa:n:
wil:KaqgarAwa,12642:KaqgarAwa:n:
wil:KaqgaleKA,12641:KaqgaleKA:n:
wil:KaRqakaTA,12654:KaRqakaTA:n:
wil:KaRqakarRa,12653:KaRqakarRa:n:
wil:KaRqitavigraha,12677:KaRqitavigraha:n:
wil:KaRqitavya,12676:KaRqitavya:n:
wil:KarparAla,12755:KarparAla:n:
wil:Karppara,12753:Karppara:n:
wil:KarpparItUtTa,12756:KarpparItUtTa:n:
wil:Karba,12745:Karba:n:
wil:KasKasarasa,12815:KasKasarasa:n:
wil:KastanI,12813:KastanI:n:
wil:gagaRAgra,12939:gagaRAgra:n:
wil:gagaRADvaga,12933:gagaRADvaga:n:
wil:gaNgAtIra,12951:gaNgAtIra:n:
wil:gaNgAdvAra,12950:gaNgAdvAra:n:
wil:gatanAsika,13097:gatanAsika:n:
wil:gatapratyAgata,13094:gatapratyAgata:n:
wil:gatyUna,13121:gatyUna:n:
wil:gatvara,13119:gatvara:n:
wil:ganDamETuna,13196:ganDamETuna:n:
wil:ganDamodana,13195:ganDamodana:n:
wil:garddaBaSAka,13309:garddaBaSAka:n:
wil:garddaBAjina,13308:garddaBAjina:n:
wil:galU,13394:galU:n:
wil:galegaRqa,13392:galegaRqa:n:
wil:gArgIputrakAyani,13495:gArgIputrakAyani:n:
wil:gArgga,13493:gArgga:n:
wil:girikadalI,13526:girikadalI:n:
wil:girikandara,13525:girikandara:n:
wil:giriBU,13545:giriBU:n:
wil:girimallikA,13542:girimallikA:n:
wil:guRagfhya,13628:guRagfhya:n:
wil:guRagrahaRa,13626:guRagrahaRa:n:
wil:guRavfkzaka,13656:guRavfkzaka:n:
wil:guRavESezya,13655:guRavESezya:n:
wil:guRasaNgraha,13660:guRasaNgraha:n:
