mw:agniSAla,1074:agniSAla:n:
mw:agnisAt,1189:agnisAt:n:
mw:agnisAda,1123:agnisAda:n:
mw:agnihotratva,1141:agnihotratva:n:
mw:agnihotradevatA,1140:agnihotradevatA:n:
mw:agnihotrin,1150:agnihotrin:n:
mw:agnihotrI,1137:agnihotrI:n:
mw:agnIzomapraRayana,1162:agnIzomapraRayana:n:
mw:agnIzomA,1159:agnIzomA:n:
mw:agnIzomIyEkAdaSakapAla,1167:agnIzomIyEkAdaSakapAla:n:
mw:agnIzomO,1161:agnIzomO:n:
mw:agnyarcis,1172:agnyarcis:n:
mw:agnyAgAra,1169:agnyAgAra:n:
mw:agrajanman,1222:agrajanman:n:
mw:agrajA,1220:agrajA:n:
mw:agraBaRa,1334:agraBaRa:n:
mw:agraBAga,1253:agraBAga:n:
mw:agrahAra,1282:agrahAra:n:
mw:agrA,1192:agrA:n:
mw:agrAmya,1340:agrAmya:n:
mw:agrAyaRIya,1290:agrAyaRIya:n:
mw:agri,1342:agri:n:
mw:agrima,1299:agrima:n:
mw:agrU,1343:agrU:n:
mw:agre,1192:agre:n:
mw:agregU,1315:agregU:n:
mw:agreRa,1192:agreRa:n:
mw:agretana,1317:agretana:n:
mw:agretvan,1294:agretvan:n:
mw:agredaDizu,1319:agredaDizu:n:
mw:agredaDus,1318:agredaDus:n:
mw:agresarika,1327:agresarika:n:
mw:agropaharaRIya,1295:agropaharaRIya:n:
mw:agryatapas,1333:agryatapas:n:
mw:agryA,1328:agryA:n:
mw:aGana,1382:aGana:n:
mw:aGanASaka,1358:aGanASaka:n:
mw:aGarmaDAman,1384:aGarmaDAman:n:
mw:aGala,1378:aGala:n:
mw:aGala,1378:aGala:n:
mw:aGavat,1365:aGavat:n:
mw:aGahAra,1372:aGahAra:n:
mw:aGA,1349:aGA:n:
mw:aGAtuka,1387:aGAtuka:n:
mw:aGAya,1379:aGAya:n:
mw:aGArin,1388:aGArin:n:
mw:aGASva,1373:aGASva:n:
mw:aGAsaka,1389:aGAsaka:n:
mw:aGAsura,1375:aGAsura:n:
mw:aGorapramARa,1400:aGorapramARa:n:
mw:aGoramArga,1399:aGoramArga:n:
mw:aGoramArga,1399:aGoramArga:n:
mw:aGorA,1392:aGorA:n:
mw:aGos,1403:aGos:n:
mw:aGOGamarzaRa,1377:aGOGamarzaRa:n:
mw:aNkati,1452:aNkati:n:
mw:aNkaDAraRA,1432:aNkaDAraRA:n:
mw:aNkana,1457:aNkana:n:
mw:aNkaparivartana,1433:aNkaparivartana:n:
mw:aNkuSadurDara,1478:aNkuSadurDara:n:
mw:aNkuSA,1475:aNkuSA:n:
mw:aNkuSin,1480:aNkuSin:n:
mw:aNkuSI,1475:aNkuSI:n:
mw:aNktvA,1490:aNktvA:n:
mw:aNkya,1485:aNkya:n:
mw:aNgaka,1610:aNgaka:n:
mw:aNgakartana,1521:aNgakartana:n:
mw:aNgakazAya,1524:aNgakazAya:n:
mw:aNgakriyA,1523:aNgakriyA:n:
mw:aNgajanus,1535:aNgajanus:n:
mw:aNgajA,1526:aNgajA:n:
mw:aNgaRa,1616:aNgaRa:n:
mw:aNgatA,1540:aNgatA:n:
mw:aNgati,1617:aNgati:n:
mw:aNgatva,1541:aNgatva:n:
mw:aNgadvIpa,1547:aNgadvIpa:n:
mw:aNgana,1493:aNgana:n:
mw:aNganApriya,1629:aNganApriya:n:
mw:aNganyAsa,1548:aNganyAsa:n:
mw:aNgava,1632:aNgava:n:
mw:aNgavAkpARimat,1578:aNgavAkpARimat:n:
mw:aNgas,1633:aNgas:n:
mw:aNgasaMskAra,1586:aNgasaMskAra:n:
mw:aNgArakavAra,1673:aNgArakavAra:n:
mw:aNgArakArin,1639:aNgArakArin:n:
mw:aNgArakita,1674:aNgArakita:n:
mw:aNgArakuzWaka,1641:aNgArakuzWaka:n:
mw:aNgArakuzWaka,1641:aNgArakuzWaka:n:
mw:aNgArakft,1640:aNgArakft:n:
mw:aNgAraDAnikA,1643:aNgAraDAnikA:n:
mw:aNgAraDAnI,1642:aNgAraDAnI:n:
mw:aNgAryA,1688:aNgAryA:n:
mw:aNgikA,1610:aNgikA:n:
mw:aNgirasAmayana,1700:aNgirasAmayana:n:
mw:aNgirastama,1697:aNgirastama:n:
mw:aNgulaka,1714:aNgulaka:n:
mw:aNgulapramARa,1710:aNgulapramARa:n:
mw:aNgUza,1748:aNgUza:n:
mw:aNgeSvara,1606:aNgeSvara:n:
mw:aNgozin,1750:aNgozin:n:
mw:aNgya,1615:aNgya:n:
mw:aNGas,1755:aNGas:n:
mw:aNGAri,1754:aNGAri:n:
mw:aNGripAna,1765:aNGripAna:n:
mw:aNGrivalli,1763:aNGrivalli:n:
mw:acakzuzka,1776:acakzuzka:n:
mw:acakzuzwva,1775:acakzuzwva:n:
mw:acakzuzwva,1775:acakzuzwva:n:
