pe:atiSfNga,616:atiSfNga:n:
pe:atizaRqa,615:atizaRqa:n:
pe:atri,622:atri:n:
pe:aTarva,597:aTarva:n:
pe:aTarvaRa,602:aTarvaRa:n:
pe:aTarvA,598:aTarvA:n:
pe:aTarvANgiras,601:aTarvANgiras:n:
pe:aditi,35:aditi:n:
pe:adfSyantI,40:adfSyantI:n:
pe:adfzwaBaya,39:adfzwaBaya:n:
pe:adfzwaBaya,39:adfzwaBaya:n:
pe:adra,36:adra:n:
pe:adrikA,38:adrikA:n:
pe:aDarma,24:aDarma:n:
pe:aDiraTa,30:aDiraTa:n:
pe:aDirAjya,29:aDirAjya:n:
pe:aDirAjya,29:aDirAjya:n:
pe:aDIra,28:aDIra:n:
pe:aDfzyA,33:aDfzyA:n:
pe:aDokzaja,31:aDokzaja:n:
pe:aDyapAyana,34:aDyapAyana:n:
pe:aDrigu,32:aDrigu:n:
pe:aDrigu,32:aDrigu:n:
pe:anagni,241:anagni:n:
pe:anagni,241:anagni:n:
pe:anaGa,233:anaGa:n:
pe:anantavijayam,263:anantavijayam:n:
pe:anantA,261:anantA:n:
pe:anapAyacola,264:anapAyacola:n:
pe:anamitra,246:anamitra:n:
pe:anarka,268:anarka:n:
pe:analA,242:analA:n:
pe:anavadyA,272:anavadyA:n:
pe:anasa,269:anasa:n:
pe:anasUyA,270:anasUyA:n:
pe:anAgata,232:anAgata:n:
pe:anAgata,232:anAgata:n:
pe:anAdIpaka,228:anAdIpaka:n:
pe:anAraRya,267:anAraRya:n:
pe:anAlamba,245:anAlamba:n:
pe:anirudDa,328:anirudDa:n:
pe:anila,320:anila:n:
pe:anila,320:anila:n:
pe:anIkavidAraRa,317:anIkavidAraRa:n:
pe:anukramaRikA,365:anukramaRikA:n:
pe:anugItAparva,360:anugItAparva:n:
pe:anugoptA,361:anugoptA:n:
pe:anucakra,353:anucakra:n:
pe:anudyUtaparva,359:anudyUtaparva:n:
pe:anudruhyu,358:anudruhyu:n:
pe:anupAvftta,371:anupAvftta:n:
pe:anumati,366:anumati:n:
pe:anuyAyi,380:anuyAyi:n:
pe:anuvinda,376:anuvinda:n:
pe:anuvinda,376:anuvinda:n:
pe:anuSAsana,372:anuSAsana:n:
pe:anuzwup,375:anuzwup:n:
pe:anuzRA,373:anuzRA:n:
pe:anuzRA,373:anuzRA:n:
pe:anuhlAda,363:anuhlAda:n:
pe:anuhlAda,363:anuhlAda:n:
pe:anUcAnA,354:anUcAnA:n:
pe:anUpa,369:anUpa:n:
pe:anUpaka,368:anUpaka:n:
pe:anUpati,370:anUpati:n:
pe:anfta,337:anfta:n:
pe:anftaM,338:anftaM:n:
pe:anenas,291:anenas:n:
pe:anenas,291:anenas:n:
