sch:aMSu,9:aMSu:n:
sch:aSyAna,28041:aSyAna:n:
sch:aSvatTaSAKA,5925:aSvatTaSAKA:n:
sch:aSvadamaka,28043:aSvadamaka:n:
sch:aSvapa,5928:aSvapa:n:
sch:aSvapati,28044:aSvapati:n:
sch:aSvavAhana,5941:aSvavAhana:n:
sch:aSvavAhA,28045:aSvavAhA:n:
sch:azwabrahmaviveka,5975:azwabrahmaviveka:n:
sch:azwaBAgika,28048:azwaBAgika:n:
sch:azwApada,6010:azwApada:n:
sch:azwApadaprAsAda,28049:azwApadaprAsAda:n:
sch:azwAmfqa,6013:azwAmfqa:n:
sch:azwAratni,28050:azwAratni:n:
sch:azWIla,6027:azWIla:n:
sch:as,28051:as:n:
sch:asaMvijYAna,6050:asaMvijYAna:n:
sch:asaMvidAna,28052:asaMvidAna:n:
sch:asaktam,6082:asaktam:n:
sch:asaganDa,28053:asaganDa:n:
sch:asaMKyeya,6092:asaMKyeya:n:
sch:asaNga,28054:asaNga:n:
sch:asaMcalant,6101:asaMcalant:n:
sch:asaMcArin,28055:asaMcArin:n:
sch:asatsaMparka,6118:asatsaMparka:n:
sch:asadAcAra,28056:asadAcAra:n:
sch:asamAna,6168:asamAna:n:
sch:asamAnarzi,28057:asamAnarzi:n:
sch:asamezu,6177:asamezu:n:
sch:asamtfRRa,6131:asamtfRRa:n:
sch:asaMparigraha,6179:asaMparigraha:n:
sch:asaMpAta,28058:asaMpAta:n:
sch:asaMprezita,6189:asaMprezita:n:
sch:asaMbanDin,28060:asaMbanDin:n:
sch:asitiman,6262:asitiman:n:
sch:asitetaraBAs,28061:asitetaraBAs:n:
sch:asiputrI,6271:asiputrI:n:
sch:asiBft,28062:asiBft:n:
sch:asurakzit,6289:asurakzit:n:
sch:asurakzya,28064:asurakzya:n:
sch:asO,6329:asO:n:
sch:asOKya,28065:asOKya:n:
sch:astavya,6346:astavya:n:
sch:astasaMKyam,28067:astasaMKyam:n:
sch:astraKadira,6363:astraKadira:n:
sch:astrapAraga,28068:astrapAraga:n:
sch:asTiti,6377:asTiti:n:
sch:asTibIja,28069:asTibIja:n:
sch:aspandana,6390:aspandana:n:
sch:asparSanIya,28070:asparSanIya:n:
sch:asva,6412:asva:n:
sch:asvaka,28072:asvaka:n:
sch:ahaHsaMsTA,6451:ahaHsaMsTA:n:
sch:ahakam,6428:ahakam:n:
sch:ahipurI,6470:ahipurI:n:
sch:ahipfzWa,28073:ahipfzWa:n:
sch:ahimamarIci,6479:ahimamarIci:n:
sch:ahimaruc,28075:ahimaruc:n:
sch:aheqamAna,6505:aheqamAna:n:
sch:ahetu,28077:ahetu:n:
sch:Ak,6522:Ak:n:
sch:AkaRWakuRqakam,28078:AkaRWakuRqakam:n:
sch:AkarakzmA,6527:AkarakzmA:n:
sch:Akarika,28080:Akarika:n:
sch:AkarRadeSAntam,6530:AkarRadeSAntam:n:
sch:AkarRAnta,28082:AkarRAnta:n:
sch:AkANkzitA,6548:AkANkzitA:n:
sch:AkAnin,28083:AkAnin:n:
sch:AkASakakavala,6558:AkASakakavala:n:
sch:AkASakaRqUyana,28084:AkASakaRqUyana:n:
sch:AkASarakzitA,6565:AkASarakzitA:n:
sch:AkASasarit,28085:AkASasarit:n:
sch:Akekakaraka,6585:Akekakaraka:n:
sch:AkekarAkzI,28087:AkekarAkzI:n:
sch:Akevalika,6586:Akevalika:n:
sch:AkevAlIyA,28088:AkevAlIyA:n:
sch:Akzipta,6608:Akzipta:n:
sch:Akzepa,28089:Akzepa:n:
sch:AKyApana,6631:AKyApana:n:
sch:AKyAyaka,28090:AKyAyaka:n:
sch:AcandratArakam,6686:AcandratArakam:n:
sch:AcandratAram,28092:AcandratAram:n:
sch:AcamanIyaka,6694:AcamanIyaka:n:
sch:AcaraRa,28093:AcaraRa:n:
sch:AjYeya,6752:AjYeya:n:
sch:AjyaganDi,28095:AjyaganDi:n:
sch:Awavakayakza,6767:Awavakayakza:n:
sch:Awavika,28097:Awavika:n:
sch:ARidvAra,6788:ARidvAra:n:
sch:ARiharmya,28099:ARiharmya:n:
sch:ARqIra,6794:ARqIra:n:
sch:AtaNkita,28100:AtaNkita:n:
sch:AtiyAtrika,6817:AtiyAtrika:n:
sch:AtivAhaka,28102:AtivAhaka:n:
sch:Atmanivedana,6836:Atmanivedana:n:
sch:AtmanIna,28104:AtmanIna:n:
sch:Atmayoni,6851:Atmayoni:n:
sch:Atmarakzitaka,28105:Atmarakzitaka:n:
sch:Atmasama,6861:Atmasama:n:
sch:AtmasaMpanna,28106:AtmasaMpanna:n:
sch:AtmIyadeSa,6870:AtmIyadeSa:n:
sch:AtmIyIkfta,28107:AtmIyIkfta:n:
sch:AdarSa,6880:AdarSa:n:
sch:AdarSatA,28108:AdarSatA:n:
sch:Adicakrin,6894:Adicakrin:n:
sch:Aditala,28109:Aditala:n:
sch:AdiBarataprastAra,6913:AdiBarataprastAra:n:
sch:AdiBikzu,28110:AdiBikzu:n:
sch:ADAna,6944:ADAna:n:
sch:ADAnagatika,28113:ADAnagatika:n:
sch:ADitsu,6951:ADitsu:n:
sch:ADidviz,28115:ADidviz:n:
sch:Anandana,6971:Anandana:n:
sch:AnandanAndIka,28116:AnandanAndIka:n:
sch:AnunATana,6993:AnunATana:n:
sch:Anupadika,28118:Anupadika:n:
sch:Anuzak,6999:Anuzak:n:
sch:AnuzaNgin,28120:AnuzaNgin:n:
sch:AnUka,7000:AnUka:n:
sch:AnUpa,28121:AnUpa:n:
sch:Aneya,7005:Aneya:n:
sch:AnESvarya,28122:AnESvarya:n:
sch:Antara,7006:Antara:n:
sch:Antarapatya,28123:Antarapatya:n:
sch:ApadevIya,7025:ApadevIya:n:
sch:Apamityaka,28126:Apamityaka:n:
sch:ApAkesTa,7035:ApAkesTa:n:
sch:ApARqiman,28128:ApARqiman:n:
sch:ApAtin,7038:ApAtin:n:
sch:ApAda,28129:ApAda:n:
sch:ApuNKaSiKam,7059:ApuNKaSiKam:n:
sch:ApUpika,28130:ApUpika:n:
sch:Apyeya,7078:Apyeya:n:
sch:ApracCana,28132:ApracCana:n:
sch:AbadDya,7086:AbadDya:n:
sch:AbaDya,28133:AbaDya:n:
sch:ABaNgura,7097:ABaNgura:n:
sch:ABaqa,28134:ABaqa:n:
sch:ABaraRI,7101:ABaraRI:n:
sch:ABavam,28135:ABavam:n:
sch:ABAsi,7106:ABAsi:n:
sch:ABigAmika,28136:ABigAmika:n:
sch:ABimAnika,7111:ABimAnika:n:
sch:ABiyAnika,28137:ABiyAnika:n:
sch:AmaDu,7132:AmaDu:n:
sch:Amanasya,28138:Amanasya:n:
sch:AmikzIya,7148:AmikzIya:n:
sch:Amiga,28139:Amiga:n:
sch:AmUrDAntam,7155:AmUrDAntam:n:
sch:AmUlacUqam,28140:AmUlacUqam:n:
sch:AmnAyayoni,7164:AmnAyayoni:n:
sch:Ambaqa,28142:Ambaqa:n:
sch:Ambuda,7165:Ambuda:n:
sch:AmBIya,28143:AmBIya:n:
sch:AmratIrTa,7168:AmratIrTa:n:
sch:AmraBawa,28145:AmraBawa:n:
sch:Amreqa,7172:Amreqa:n:
sch:Amreqana,28147:Amreqana:n:
sch:AyaHSUlika,7186:AyaHSUlika:n:
sch:Ayata,7177:Ayata:n:
sch:AyaTApUrvya,7184:AyaTApUrvya:n:
sch:AyamAna,28148:AyamAna:n:
sch:AyAmayati,7195:AyAmayati:n:
sch:AyAmaSAlin,28151:AyAmaSAlin:n:
sch:AyuDIkfta,7208:AyuDIkfta:n:
sch:AyuDIya,28153:AyuDIya:n:
sch:AratIya,7229:AratIya:n:
sch:ArabDar,28155:ArabDar:n:
sch:ArAdupakArin,7243:ArAdupakArin:n:
sch:ArADaka,28156:ArADaka:n:
sch:ArADanakrama,7244:ArADanakrama:n:
sch:ArADanA,28157:ArADanA:n:
sch:ArUpya,7269:ArUpya:n:
sch:Arecin,28158:Arecin:n:
sch:Aroha,7279:Aroha:n:
sch:Arohaja,28159:Arohaja:n:
sch:ArdravAsas,7300:ArdravAsas:n:
sch:ArdrahAsa,28160:ArdrahAsa:n:
sch:ArdrIBAva,7302:ArdrIBAva:n:
sch:ArdrIBUta,28161:ArdrIBUta:n:
sch:Ala,7322:Ala:n:
sch:Alakandaka,28163:Alakandaka:n:
sch:Alindaka,7345:Alindaka:n:
sch:Alima,28165:Alima:n:
sch:AleKI,7349:AleKI:n:
sch:AleKyarUpa,28167:AleKyarUpa:n:
sch:AviHsUrya,7410:AviHsUrya:n:
sch:Avika,7396:Avika:n:
sch:Avfti,7412:Avfti:n:
sch:Avftti,28169:Avftti:n:
sch:Avedin,7413:Avedin:n:
sch:AveSanin,28172:AveSanin:n:
sch:ASara,7426:ASara:n:
sch:ASarAja,28173:ASarAja:n:
sch:ASAdvirada,7435:ASAdvirada:n:
sch:ASAnta,28174:ASAnta:n:
sch:ASAmbara,7442:ASAmbara:n:
sch:ASAmbilI,28177:ASAmbilI:n:
sch:ASiKAgram,7448:ASiKAgram:n:
sch:ASiza,28178:ASiza:n:
sch:ASis,7449:ASis:n:
sch:ASI,28179:ASI:n:
sch:ASugI,7462:ASugI:n:
sch:ASugranTa,28180:ASugranTa:n:
sch:ASya,7473:ASya:n:
sch:ASyAma,7471:ASyAma:n:
sch:Asanna,7498:Asanna:n:
sch:AsannakArya,28182:AsannakArya:n:
sch:AsannakAlika,7499:AsannakAlika:n:
sch:AsannaBAj,28183:AsannaBAj:n:
sch:AsannayoDin,7500:AsannayoDin:n:
sch:AsannI,28184:AsannI:n:
sch:Asi,7513:Asi:n:
sch:AsikA,28185:AsikA:n:
sch:Asitaka,7515:Asitaka:n:
sch:Asitavya,28186:Asitavya:n:
sch:AsUtraRikA,7526:AsUtraRikA:n:
sch:Asecana,28187:Asecana:n:
sch:AsParaRakasamADi,7545:AsParaRakasamADi:n:
sch:AsPAwima,28190:AsPAwima:n:
sch:AsyadaGna,7551:AsyadaGna:n:
sch:AsyapaNkti,28191:AsyapaNkti:n:
sch:AsyamETunika,7552:AsyamETunika:n:
sch:AsyavAsya,28192:AsyavAsya:n:
sch:Ahasa,7572:Ahasa:n:
sch:AhA,28194:AhA:n:
sch:AhAryabudDi,7575:AhAryabudDi:n:
sch:AhicCatraka,28195:AhicCatraka:n:
sch:ikzudaRqamaya,7597:ikzudaRqamaya:n:
sch:ikzuDanvan,28198:ikzuDanvan:n:
sch:idDaDAman,7630:idDaDAman:n:
sch:idDaSAsana,28199:idDaSAsana:n:
sch:indindira,7637:indindira:n:
sch:indindirA,7636:indindirA:n:
sch:indirAnuja,7639:indirAnuja:n:
sch:indirApati,28200:indirApati:n:
sch:indIvaradfS,7644:indIvaradfS:n:
sch:indIvarAkza,28201:indIvarAkza:n:
sch:indraketu,7673:indraketu:n:
sch:indrakoSa,28202:indrakoSa:n:
sch:indramaGaSrI,7693:indramaGaSrI:n:
sch:indramaRi,28203:indramaRi:n:
sch:indravaDU,7700:indravaDU:n:
sch:indravaDUwikA,7699:indravaDUwikA:n:
sch:indravarRa,7701:indravarRa:n:
sch:indravAnaka,28204:indravAnaka:n:
sch:izwakAmaya,7762:izwakAmaya:n:
sch:izwaguRa,28207:izwaguRa:n:
sch:IqA,7791:IqA:n:
sch:IqyataratA,28210:IqyataratA:n:
sch:Irin,7802:Irin:n:
sch:IriBa,28211:IriBa:n:
sch:ukta,7839:ukta:n:
sch:uktatattva,28212:uktatattva:n:
sch:ugradaRqa,7858:ugradaRqa:n:
sch:ugraDAman,28214:ugraDAman:n:
sch:ugramaya,7860:ugramaya:n:
sch:ugraraMhas,28215:ugraraMhas:n:
sch:ucitAramBin,7872:ucitAramBin:n:
sch:ucitI,28216:ucitI:n:
sch:uccatAla,7881:uccatAla:n:
sch:uccaDI,28217:uccaDI:n:
sch:uccEHsvara,7914:uccEHsvara:n:
sch:uccEraBijana,7903:uccEraBijana:n:
sch:ucCIrzIkfta,7922:ucCIrzIkfta:n:
sch:ucCulka,28219:ucCulka:n:
sch:uYCaBuj,7953:uYCaBuj:n:
sch:uYJA,28221:uYJA:n:
sch:utkawatA,7975:utkawatA:n:
sch:utkawAyate,28224:utkawAyate:n:
sch:utkaRWitacittI,7979:utkaRWitacittI:n:
sch:utkaMDara,28225:utkaMDara:n:
sch:utkarRika,7987:utkarRika:n:
sch:utkarRikA,28227:utkarRikA:n:
sch:utkASa,8004:utkASa:n:
sch:utkIrRikA,28228:utkIrRikA:n:
sch:utkruzwa,8031:utkruzwa:n:
sch:utkroSaka,28229:utkroSaka:n:
sch:uttamaSlokacandrikA,8050:uttamaSlokacandrikA:n:
sch:uttamAgAra,28230:uttamAgAra:n:
sch:uttara,8055:uttara:n:
sch:uttarakartf,28231:uttarakartf:n:
sch:uttaraparicCeda,8062:uttaraparicCeda:n:
sch:uttarapaScima,28232:uttarapaScima:n:
sch:uttaramantrin,8068:uttaramantrin:n:
sch:uttaray,28234:uttaray:n:
sch:uttarATarvaRa,8082:uttarATarvaRa:n:
sch:uttarADyakza,28235:uttarADyakza:n:
sch:utTA,8127:utTA:n:
sch:utTApaka,8121:utTApaka:n:
sch:utTApana,8122:utTApana:n:
sch:utTApanikA,28236:utTApanikA:n:
sch:utpaTay,8136:utpaTay:n:
sch:utpaTika,28238:utpaTika:n:
sch:utpala,8138:utpala:n:
sch:utpalaganDi,28239:utpalaganDi:n:
sch:utpalalocanA,8145:utpalalocanA:n:
sch:utpalavarRa,28240:utpalavarRa:n:
sch:utpAwa,8150:utpAwa:n:
sch:utpAwima,28241:utpAwima:n:
sch:utpAdaka,8155:utpAdaka:n:
sch:utpAdika,28242:utpAdika:n:
sch:utpuMsay,8164:utpuMsay:n:
sch:utpucCa,28243:utpucCa:n:
sch:utsava,8195:utsava:n:
sch:utsavajuz,28246:utsavajuz:n:
sch:utsekin,8212:utsekin:n:
sch:utsecaka,28247:utsecaka:n:
sch:utsvedana,8219:utsvedana:n:
sch:uda,28248:uda:n:
sch:udakadvipa,8226:udakadvipa:n:
sch:udakaparicAraka,28249:udakaparicAraka:n:
sch:udakamaRi,8230:udakamaRi:n:
sch:udakavarRa,28250:udakavarRa:n:
sch:udaDinemi,8258:udaDinemi:n:
sch:udapAnaka,28252:udapAnaka:n:
sch:udayana,8263:udayana:n:
sch:udayapraBadeva,28253:udayapraBadeva:n:
sch:udarasTita,8274:udarasTita:n:
sch:udarIkf,28255:udarIkf:n:
sch:udAyuvana,8288:udAyuvana:n:
sch:udAraka,28256:udAraka:n:
sch:udgrahItavya,8335:udgrahItavya:n:
sch:udgrAhaRaka,28257:udgrAhaRaka:n:
sch:udgrAhiRikA,8337:udgrAhiRikA:n:
sch:udgrAhita,28258:udgrAhita:n:
sch:udGAwa,8343:udGAwa:n:
sch:udGAwima,28260:udGAwima:n:
sch:uddaRqapAla,8350:uddaRqapAla:n:
sch:uddaRqam,28261:uddaRqam:n:
sch:uddIrGa,8365:uddIrGa:n:
sch:uddeSa,28262:uddeSa:n:
sch:udDati,8372:udDati:n:
sch:udDara,28263:udDara:n:
sch:udDUti,8384:udDUti:n:
sch:udDUmakeSa,28264:udDUmakeSa:n:
sch:udBavakoSaka,8394:udBavakoSaka:n:
sch:udBARqIkfta,28265:udBARqIkfta:n:
sch:udBeda,8406:udBeda:n:
sch:udBedaja,28266:udBedaja:n:
sch:udman,8408:udman:n:
sch:udyacCilInDra,28268:udyacCilInDra:n:
sch:udvepin,8446:udvepin:n:
sch:udvelatA,28270:udvelatA:n:
sch:unmadizRu,8467:unmadizRu:n:
sch:unmanIBU,28271:unmanIBU:n:
sch:unmuKa,8482:unmuKa:n:
sch:unmuKIna,28272:unmuKIna:n:
sch:unmUrDan,8485:unmUrDan:n:
sch:unmfjA,28273:unmfjA:n:
sch:upakaRWatA,8491:upakaRWatA:n:
sch:upakaRWI,28275:upakaRWI:n:
sch:upakzepa,8505:upakzepa:n:
sch:upagaNgam,28276:upagaNgam:n:
sch:upajanam,8521:upajanam:n:
sch:upajava,28277:upajava:n:
sch:upanigrAham,8569:upanigrAham:n:
sch:upaniDAna,28278:upaniDAna:n:
sch:upapAtakin,8590:upapAtakin:n:
sch:upapAtika,28279:upapAtika:n:
sch:upaBogadeha,8599:upaBogadeha:n:
sch:upaBojana,28280:upaBojana:n:
sch:upamuKa,8606:upamuKa:n:
sch:upameKalam,28281:upameKalam:n:
sch:upayAcitaka,8610:upayAcitaka:n:
sch:upayukta,28282:upayukta:n:
sch:upariplava,8625:upariplava:n:
sch:upariBAvin,28283:upariBAvin:n:
sch:upavAhya,8662:upavAhya:n:
sch:upavicAra,28285:upavicAra:n:
sch:upavItitva,8669:upavItitva:n:
sch:upaveRuka,28286:upaveRuka:n:
sch:upaSaradam,8674:upaSaradam:n:
sch:upaSAKA,28287:upaSAKA:n:
sch:upaSikzaRa,8675:upaSikzaRa:n:
sch:upaSilA,28290:upaSilA:n:
sch:upaSoza,8677:upaSoza:n:
sch:upaSlokaka,28292:upaSlokaka:n:
sch:upaseka,8703:upaseka:n:
sch:upaskandanapAdukA,28293:upaskandanapAdukA:n:
sch:upAMSupAvana,8720:upAMSupAvana:n:
sch:upAMSuBUmi,28296:upAMSuBUmi:n:
sch:uBayatomoda,8788:uBayatomoda:n:
sch:uBayatorAtram,28298:uBayatorAtram:n:
sch:umBana,8804:umBana:n:
sch:ummARI,28299:ummARI:n:
sch:uraHsPuwana,8820:uraHsPuwana:n:
sch:uragagrAhin,8806:uragagrAhin:n:
sch:uragASin,8812:uragASin:n:
sch:urajaka,28300:urajaka:n:
sch:urastrARa,8818:urastrARa:n:
sch:urasya,28301:urasya:n:
sch:uruDAra,8826:uruDAra:n:
sch:uruDfti,28302:uruDfti:n:
sch:ullAsa,8864:ullAsa:n:
sch:ullAsaka,28303:ullAsaka:n:
sch:uSanastArakA,8876:uSanastArakA:n:
sch:uSIraganDi,28304:uSIraganDi:n:
sch:uzwraka,8881:uzwraka:n:
sch:uzwragrIvI,28307:uzwragrIvI:n:
sch:uzRapa,8888:uzRapa:n:
sch:uzRaBAnu,28308:uzRaBAnu:n:
sch:uzRamahas,8892:uzRamahas:n:
sch:uzRasaha,28309:uzRasaha:n:
sch:UrDvaMgaroma,8942:UrDvaMgaroma:n:
sch:UrDvacaya,28310:UrDvacaya:n:
sch:UrDvapravAha,8951:UrDvapravAha:n:
sch:UrDvabAhu,28311:UrDvabAhu:n:
sch:UrmimatI,8970:UrmimatI:n:
sch:UrmimArga,28312:UrmimArga:n:
sch:UzmAy,8979:UzmAy:n:
sch:UzmAyate,28313:UzmAyate:n:
sch:ftugamana,9016:ftugamana:n:
sch:ftugAmitva,28315:ftugAmitva:n:
sch:ftusamAhAra,9024:ftusamAhAra:n:
sch:ftusuKa,28316:ftusuKa:n:
sch:ekakriya,9057:ekakriya:n:
sch:ekakriyApaTa,28317:ekakriyApaTa:n:
sch:ekagarBa,9059:ekagarBa:n:
sch:ekaguru,28318:ekaguru:n:
sch:ekapAda,9103:ekapAda:n:
sch:ekapAdapluta,28319:ekapAdapluta:n:
sch:ekapuzkala,9108:ekapuzkala:n:
sch:ekapragraha,28320:ekapragraha:n:
sch:ekaprEza,9110:ekaprEza:n:
sch:ekapluta,28321:ekapluta:n:
sch:ekayoga,9124:ekayoga:n:
sch:ekarakza,28323:ekarakza:n:
sch:ekavasana,9138:ekavasana:n:
sch:ekavAkya,28324:ekavAkya:n:
sch:ekavizwakft,9181:ekavizwakft:n:
sch:ekavIcika,9145:ekavIcika:n:
sch:ekaSila,9165:ekaSila:n:
sch:ekaSIrzaka,28325:ekaSIrzaka:n:
sch:ekahotar,9185:ekahotar:n:
sch:ekAMSuka,28326:ekAMSuka:n:
sch:ekAdaSAtmaka,9202:ekAdaSAtmaka:n:
sch:ekAdaSAtman,28328:ekAdaSAtman:n:
sch:ekArkamaRi,9215:ekArkamaRi:n:
sch:ekArRava,28330:ekArRava:n:
sch:ekolmuka,9232:ekolmuka:n:
sch:ej,28331:ej:n:
sch:E,9300:E:n:
sch:Ekapuruzika,28332:Ekapuruzika:n:
sch:ErAvataka,9324:ErAvataka:n:
sch:ErAvatI,28333:ErAvatI:n:
sch:oGI,9341:oGI:n:
sch:oGIkfta,28334:oGIkfta:n:
sch:Ottarapadika,9377:Ottarapadika:n:
sch:Ottaraparvataka,28335:Ottaraparvataka:n:
sch:OdDavamaya,9390:OdDavamaya:n:
sch:OdDAwima,28339:OdDAwima:n:
sch:OdBida,9391:OdBida:n:
sch:Odra,28340:Odra:n:
sch:OpakArya,9396:OpakArya:n:
sch:OpagrAhika,28342:OpagrAhika:n:
sch:OpacAyika,9398:OpacAyika:n:
sch:OpacArika,28344:OpacArika:n:
sch:OpanAyika,9400:OpanAyika:n:
sch:Opanizadika,28345:Opanizadika:n:
sch:OpavAhya,9404:OpavAhya:n:
sch:OpavAhyaka,28347:OpavAhyaka:n:
sch:OpaSAyika,9406:OpaSAyika:n:
sch:OpasTAyika,28349:OpasTAyika:n:
sch:OmApata,9409:OmApata:n:
sch:OraBra,28351:OraBra:n:
sch:OSIra,9420:OSIra:n:
sch:OzaDa,28353:OzaDa:n:
sch:kaMsakfz,9431:kaMsakfz:n:
sch:kaMsaDvaMsakft,28355:kaMsaDvaMsakft:n:
sch:kakzyA,9460:kakzyA:n:
sch:kakzyAkarma,28358:kakzyAkarma:n:
sch:kaNkamuKAyamAna,9472:kaNkamuKAyamAna:n:
sch:kaNkarOla,28359:kaNkarOla:n:
sch:kaNkolaka,9476:kaNkolaka:n:
sch:kaNguRI,28360:kaNguRI:n:
sch:kacagraha,9479:kacagraha:n:
sch:kacagrahaRI,28361:kacagrahaRI:n:
sch:kaccara,9486:kaccara:n:
sch:kaccolaka,28362:kaccolaka:n:
sch:kawakawAyate,9506:kawakawAyate:n:
sch:kawakabanDa,28363:kawakabanDa:n:
sch:kawavarDana,9520:kawavarDana:n:
sch:kawavAnaka,28364:kawavAnaka:n:
sch:kawAhika,9531:kawAhika:n:
sch:kawAhikA,28365:kawAhikA:n:
sch:kawurava,9548:kawurava:n:
sch:kawuSarkarA,28366:kawuSarkarA:n:
sch:kaWoratviz,9564:kaWoratviz:n:
sch:kaqakaqa,28367:kaqakaqa:n:
sch:kaqevara,9568:kaqevara:n:
sch:kaRa,28369:kaRa:n:
sch:kaRavratavineya,9579:kaRavratavineya:n:
sch:kaRaSIkara,28371:kaRaSIkara:n:
sch:kaRwaka,9589:kaRwaka:n:
sch:kaRwakapratisara,28372:kaRwakapratisara:n:
sch:kaRwakavfti,9591:kaRwakavfti:n:
sch:kaRwakaSoDana,28374:kaRwakaSoDana:n:
sch:kaRwakiPala,9595:kaRwakiPala:n:
sch:kaRwelIyApAzARa,28375:kaRwelIyApAzARa:n:
sch:kaRWatratA,9602:kaRWatratA:n:
sch:kaRWatrARa,28376:kaRWatrARa:n:
sch:kaRWAlaka,9613:kaRWAlaka:n:
sch:kaRWAvagraha,28377:kaRWAvagraha:n:
sch:kaRWIrava,9614:kaRWIrava:n:
sch:kaRWeSvarI,28378:kaRWeSvarI:n:
sch:kaRqelagacCa,9624:kaRqelagacCa:n:
sch:kaRqolI,28379:kaRqolI:n:
sch:katTikA,9628:katTikA:n:
sch:katyAyanagfhya,10317:katyAyanagfhya:n:
sch:kanakagiri,9662:kanakagiri:n:
sch:kanakacakzus,28381:kanakacakzus:n:
sch:kanIyaHstana,9683:kanIyaHstana:n:
sch:kanIyasI,9682:kanIyasI:n:
sch:kandarpa,9694:kandarpa:n:
sch:kandarpakeli,28382:kandarpakeli:n:
sch:kandalati,9702:kandalati:n:
sch:kandalana,28383:kandalana:n:
sch:kanyadarSam,9720:kanyadarSam:n:
sch:kanyAkubja,9718:kanyAkubja:n:
sch:kanyAdUzayitar,9721:kanyAdUzayitar:n:
sch:kanyAprasavinI,28384:kanyAprasavinI:n:
sch:kapAlaka,9729:kapAlaka:n:
sch:kapAlapARi,28385:kapAlapARi:n:
sch:kapipriya,9744:kapipriya:n:
sch:kapipluta,28386:kapipluta:n:
sch:kapilaka,9745:kapilaka:n:
sch:kapilakowi,28387:kapilakowi:n:
sch:kapivana,9749:kapivana:n:
sch:kapivfzaRAsya,28388:kapivfzaRAsya:n:
sch:kapfT,9756:kapfT:n:
sch:kapotapAlikA,28389:kapotapAlikA:n:
sch:kamalagarBa,9769:kamalagarBa:n:
sch:kamaladalAkzI,28391:kamaladalAkzI:n:
sch:kamalAvatI,9784:kamalAvatI:n:
sch:kamalASraya,28392:kamalASraya:n:
sch:kamalinIkalahaMsa,9788:kamalinIkalahaMsa:n:
sch:kamalinIsUtra,28393:kamalinIsUtra:n:
sch:kambA,9803:kambA:n:
sch:kambikA,28394:kambikA:n:
sch:kambojI,9804:kambojI:n:
sch:kamBAri,28395:kamBAri:n:
sch:kara,9810:kara:n:
sch:karaka,28397:karaka:n:
sch:karawiripu,9828:karawiripu:n:
sch:karawukamuKa,28398:karawukamuKa:n:
sch:karaRagrAma,9831:karaRagrAma:n:
sch:karaRacakra,28399:karaRacakra:n:
sch:karaRamArga,9833:karaRamArga:n:
sch:karaRamudrA,28400:karaRamudrA:n:
sch:karaReSvara,9836:karaReSvara:n:
sch:karaReSvarI,28401:karaReSvarI:n:
sch:karaRqakArikA,9839:karaRqakArikA:n:
sch:karaRqayati,28402:karaRqayati:n:
sch:karapattrikA,9854:karapattrikA:n:
sch:karapAta,28403:karapAta:n:
sch:karapuwI,9859:karapuwI:n:
sch:karapratikara,28404:karapratikara:n:
sch:karamUla,9867:karamUla:n:
sch:karamba,28405:karamba:n:
sch:karala,9872:karala:n:
sch:karavaqI,28407:karavaqI:n:
sch:karAgra,9883:karAgra:n:
sch:karAdDotrikA,10434:karAdDotrikA:n:
sch:karikalABa,9893:karikalABa:n:
sch:karikA,9890:karikA:n:
sch:karRaBaNga,9951:karRaBaNga:n:
sch:karRameru,28409:karRameru:n:
sch:karRavezwana,9960:karRavezwana:n:
sch:karRasAgara,28410:karRasAgara:n:
sch:karRA,9962:karRA:n:
sch:karRAkarRIkftya,28411:karRAkarRIkftya:n:
sch:karRAvataMsita,9967:karRAvataMsita:n:
sch:karRAvatI,28412:karRAvatI:n:
sch:karRisuta,9970:karRisuta:n:
sch:karReSvara,28413:karReSvara:n:
sch:karta,9971:karta:n:
sch:kartaka,28414:kartaka:n:
sch:karpUravartikA,9992:karpUravartikA:n:
sch:karpUrArAtrika,28416:karpUrArAtrika:n:
sch:karmakarIyati,9999:karmakarIyati:n:
sch:karmakoSa,10000:karmakoSa:n:
sch:karmacCeda,28417:karmacCeda:n:
sch:karmajanya,10001:karmajanya:n:
sch:karmanizadyA,28418:karmanizadyA:n:
sch:karmandin,10011:karmandin:n:
sch:karmaSaNkita,28419:karmaSaNkita:n:
sch:karmasaMDa,10023:karmasaMDa:n:
sch:karmasAra,28420:karmasAra:n:
sch:karmasTAna,10024:karmasTAna:n:
sch:karmasTAya,28421:karmasTAya:n:
sch:karmasvaka,10025:karmasvaka:n:
sch:karmAnta,28422:karmAnta:n:
sch:karmAntavyAKyA,10027:karmAntavyAKyA:n:
sch:karzaRa,28423:karzaRa:n:
sch:karzi,10037:karzi:n:
sch:karzika,28424:karzika:n:
sch:karzuka,10038:karzuka:n:
sch:kalaNkaSfNgAra,28425:kalaNkaSfNgAra:n:
sch:kalaNkeSa,10050:kalaNkeSa:n:
sch:kalaBAmburASi,10062:kalaBAmburASi:n:
sch:kalaBAziRI,10061:kalaBAziRI:n:
sch:kalaviRi,28426:kalaviRi:n:
sch:kalaSati,10073:kalaSati:n:
sch:kalahapaYcAnana,28427:kalahapaYcAnana:n:
sch:kalahapriya,10086:kalahapriya:n:
sch:kalAguru,28428:kalAguru:n:
sch:kalAgraha,10092:kalAgraha:n:
sch:kalAyapuzpaka,28430:kalAyapuzpaka:n:
