sch:aMSu,9:aMSu:n:
sch:adAsa,1536:adAsa:n:
sch:adAsI,27744:adAsI:n:
sch:adAsyant,1539:adAsyant:n:
sch:adivya,27745:adivya:n:
sch:adIkzitavAda,1549:adIkzitavAda:n:
sch:aduHspfzwa,1562:aduHspfzwa:n:
sch:adunvant,1558:adunvant:n:
sch:adeSaja,27747:adeSaja:n:
sch:adeSajYa,1588:adeSajYa:n:
sch:adozavant,27748:adozavant:n:
sch:adozin,1601:adozin:n:
sch:advayavAdin,27749:advayavAdin:n:
sch:advAdaSAha,1631:advAdaSAha:n:
sch:aDaHsaMveSin,1684:aDaHsaMveSin:n:
sch:aDanavant,1648:aDanavant:n:
sch:aDaScikIrzu,27751:aDaScikIrzu:n:
sch:aDaScikura,1677:aDaScikura:n:
sch:aDikaraRI,27753:aDikaraRI:n:
sch:aDikarRa,1707:aDikarRa:n:
sch:aDijagati,27754:aDijagati:n:
sch:aDijaNGam,1728:aDijaNGam:n:
sch:aDijyI,27755:aDijyI:n:
sch:aDitawam,1734:aDitawam:n:
sch:aDiBavAwavi,27757:aDiBavAwavi:n:
sch:aDiBU,1757:aDiBU:n:
sch:aDivanam,27760:aDivanam:n:
sch:aDivartana,1784:aDivartana:n:
sch:aDivAsacUrRaka,27761:aDivAsacUrRaka:n:
sch:aDivAsanaka,1788:aDivAsanaka:n:
sch:aDihfdayam,27762:aDihfdayam:n:
sch:aDItapUrva,1817:aDItapUrva:n:
sch:aDodeSa,27763:aDodeSa:n:
sch:aDonABi,1842:aDonABi:n:
sch:aDvagaveza,27764:aDvagaveza:n:
sch:aDvadarSin,1896:aDvadarSin:n:
sch:aDvaraBuj,27765:aDvaraBuj:n:
sch:aDvaramaya,1901:aDvaramaya:n:
sch:anaNgaSAli,27768:anaNgaSAli:n:
sch:anaNgaSeKara,1950:anaNgaSeKara:n:
sch:anacarant,2315:anacarant:n:
sch:anacCa,1958:anacCa:n:
sch:anacCAdita,2322:anacCAdita:n:
sch:anaqutka,1959:anaqutka:n:
sch:anativartana,27769:anativartana:n:
sch:anativalita,1987:anativalita:n:
sch:anaDvan,27770:anaDvan:n:
sch:ananiyogapUrva,2012:ananiyogapUrva:n:
sch:ananyadohI,27771:ananyadohI:n:
sch:ananyanATa,2074:ananyanATa:n:
sch:ananyayoni,27772:ananyayoni:n:
sch:ananyarUpa,2085:ananyarUpa:n:
sch:ananyA,27773:ananyA:n:
sch:ananyADIna,2091:ananyADIna:n:
sch:ananravAya,2096:ananravAya:n:
sch:ananvagBAva,2093:ananvagBAva:n:
sch:anapasAra,27774:anapasAra:n:
sch:anapaspfS,2117:anapaspfS:n:
sch:anapetakAlam,27775:anapetakAlam:n:
sch:anaBiKyAtadoza,2129:anaBiKyAtadoza:n:
sch:anaBiyojakatva,27777:anaBiyojakatva:n:
sch:anaBirati,2158:anaBirati:n:
sch:anaByarRa,27778:anaByarRa:n:
sch:anaByavacAruka,2172:anaByavacAruka:n:
sch:anarcA,27779:anarcA:n:
sch:anarcis,2190:anarcis:n:
sch:anarTasaMyoga,27780:anarTasaMyoga:n:
sch:anarTAvekza,2194:anarTAvekza:n:
sch:analada,27781:analada:n:
sch:analaBA,2205:analaBA:n:
sch:anavatAraRa,27784:anavatAraRa:n:
sch:anavatta,2226:anavatta:n:
sch:anavadyavarRa,27786:anavadyavarRa:n:
sch:anavaDAna,2228:anavaDAna:n:
sch:anavamA,27787:anavamA:n:
sch:anavamfdya,2237:anavamfdya:n:
sch:anavara,2263:anavara:n:
sch:anavaroDa,2239:anavaroDa:n:
sch:anahaMkftatva,27789:anahaMkftatva:n:
sch:anahaMkfti,2286:anahaMkfti:n:
sch:anAkarRitatayA,27790:anAkarRitatayA:n:
sch:anAkalana,2292:anAkalana:n:
sch:anAkASa,27791:anAkASa:n:
sch:anAkASIkaraRa,2296:anAkASIkaraRa:n:
sch:anAdinizWa,27792:anAdinizWa:n:
sch:anAdiboDAyana,2348:anAdiboDAyana:n:
sch:anAmanAtamantra,2384:anAmanAtamantra:n:
sch:anAmayastava,2377:anAmayastava:n:
sch:anAmfSant,27793:anAmfSant:n:
sch:anAmfzwa,2383:anAmfzwa:n:
sch:anAyativyaya,27794:anAyativyaya:n:
sch:anAyatta,2388:anAyatta:n:
sch:anAyukta,27795:anAyukta:n:
sch:anArabDa,2395:anArabDa:n:
sch:anAlokanIyatA,27796:anAlokanIyatA:n:
sch:anAlocita,2414:anAlocita:n:
sch:anAviHsraganulepa,2420:anAviHsraganulepa:n:
sch:anAvigna,2417:anAvigna:n:
sch:anAvedin,27798:anAvedin:n:
sch:anASa,2423:anASa:n:
sch:aniHsrAvin,27805:aniHsrAvin:n:
sch:anikAmatas,2450:anikAmatas:n:
sch:anigUQam,27799:anigUQam:n:
sch:anigrahaRasAkzya,2453:anigrahaRasAkzya:n:
sch:aninDana,27800:aninDana:n:
sch:aninDanam,2466:aninDanam:n:
sch:anipratyaninirharayoga,6789:anipratyaninirharayoga:n:
sch:anibadDa,2470:anibadDa:n:
sch:aniBfti,27801:aniBfti:n:
sch:animantrita,2472:animantrita:n:
sch:anirRayana,27802:anirRayana:n:
sch:anirRIta,2501:anirRIta:n:
sch:anizkAsinI,27803:anizkAsinI:n:
sch:anizkfta,2552:anizkfta:n:
sch:anisfzwopajIvin,27804:anisfzwopajIvin:n:
sch:anistizWant,2560:anistizWant:n:
sch:anISvara,27807:anISvara:n:
sch:anIha,2581:anIha:n:
sch:anujanus,27809:anujanus:n:
sch:anujanmatA,2629:anujanmatA:n:
sch:anujAnumaDyam,27810:anujAnumaDyam:n:
sch:anujIvisAt,2632:anujIvisAt:n:
sch:anujIvisAtkfta,27811:anujIvisAtkfta:n:
sch:anujYApana,2633:anujYApana:n:
sch:anupadika,27813:anupadika:n:
sch:anupadigDa,2708:anupadigDa:n:
sch:anupaskAra,27814:anupaskAra:n:
sch:anupaskfta,2748:anupaskfta:n:
sch:anumantar,2808:anumantar:n:
sch:anumA,27815:anumA:n:
sch:anuharaRa,2918:anuharaRa:n:
sch:anuhemavapram,27816:anuhemavapram:n:
sch:anUrDvajYu,2934:anUrDvajYu:n:
sch:anUrDvatA,27817:anUrDvatA:n:
sch:anUzaralih,2937:anUzaralih:n:
sch:anUzman,27818:anUzman:n:
sch:anUhya,2939:anUhya:n:
sch:anf,27819:anf:n:
sch:anfju,2942:anfju:n:
sch:anfRa,27820:anfRa:n:
sch:anekapAri,2961:anekapAri:n:
sch:anekamArga,27821:anekamArga:n:
sch:anekaSatasAhasra,2965:anekaSatasAhasra:n:
sch:anekaSiKa,27824:anekaSiKa:n:
sch:anekasaMKya,2966:anekasaMKya:n:
sch:anekasTatva,27825:anekasTatva:n:
sch:anOcitI,2990:anOcitI:n:
sch:anOjaskatA,27826:anOjaskatA:n:
sch:antaHkaWinatA,2999:antaHkaWinatA:n:
sch:antaHkalaNka,27828:antaHkalaNka:n:
sch:antaHpramoda,3009:antaHpramoda:n:
sch:antaHprasyandin,27829:antaHprasyandin:n:
sch:antaHsmera,3111:antaHsmera:n:
sch:antaka,3011:antaka:n:
sch:antama,3024:antama:n:
sch:antara,27830:antara:n:
sch:antarantaHsTa,3031:antarantaHsTa:n:
sch:antarapatita,3029:antarapatita:n:
sch:antarahuti,3045:antarahuti:n:
sch:antarA,3033:antarA:n:
sch:antargati,3059:antargati:n:
sch:antargiri,27833:antargiri:n:
sch:antarDariya,3073:antarDariya:n:
sch:antarDA,3071:antarDA:n:
sch:antarDvAnta,3074:antarDvAnta:n:
sch:antarnaKa,27834:antarnaKa:n:
sch:antarmAMsa,3086:antarmAMsa:n:
sch:antarmAnasa,27835:antarmAnasa:n:
sch:antyapat,3116:antyapat:n:
sch:antyArADana,27836:antyArADana:n:
sch:anyaTAkaraRa,3174:anyaTAkaraRa:n:
sch:anyaTAtmaka,27839:anyaTAtmaka:n:
sch:anyAyin,3195:anyAyin:n:
sch:anyUnAtiriktatA,27840:anyUnAtiriktatA:n:
sch:anyonyakftya,3206:anyonyakftya:n:
sch:anyonyajananavftti,3198:anyonyajananavftti:n:
sch:anvagBUta,3210:anvagBUta:n:
sch:anvagram,3209:anvagram:n:
sch:anvaByavacaram,3214:anvaByavacaram:n:
sch:anvayavAsin,27841:anvayavAsin:n:
sch:apakrAmam,3244:apakrAmam:n:
sch:apaklama,27845:apaklama:n:
sch:apacamAnaka,3264:apacamAnaka:n:
sch:apacaya,27847:apacaya:n:
sch:apatyaka,3286:apatyaka:n:
sch:apatyakftikA,27848:apatyakftikA:n:
sch:apaTahara,3297:apaTahara:n:
sch:apaTyakArin,27849:apaTyakArin:n:
sch:apaneya,3325:apaneya:n:
sch:apaneyiman,27850:apaneyiman:n:
sch:apapayas,3330:apapayas:n:
sch:apapAtagata,27851:apapAtagata:n:
sch:aparamA,3359:aparamA:n:
sch:aparamAtfka,27852:aparamAtfka:n:
sch:aparus,3456:aparus:n:
sch:apareta,27853:apareta:n:
sch:apalakzaRa,3478:apalakzaRa:n:
sch:apalakzmaRa,3477:apalakzmaRa:n:
sch:apavarga,3486:apavarga:n:
sch:apavartaka,27855:apavartaka:n:
sch:apaSaNka,3504:apaSaNka:n:
sch:apaSada,27856:apaSada:n:
sch:apasfti,3525:apasfti:n:
sch:apasOraBa,27858:apasOraBa:n:
sch:apAYcAlya,3559:apAYcAlya:n:
sch:apAwava,27860:apAwava:n:
sch:apAm,3579:apAm:n:
sch:apAmaDISa,27861:apAmaDISa:n:
sch:apAya,3584:apAya:n:
sch:apAyanitya,27862:apAyanitya:n:
sch:apAvft,3599:apAvft:n:
sch:apASrayavant,27864:apASrayavant:n:
sch:apIqA,3622:apIqA:n:
sch:apuRqarIka,27866:apuRqarIka:n:
