mci:ayoDyA,1851:ayoDyA:n:
mci:arantukasya,996:arantukasya:n:
mci:arizwanemi,16:arizwanemi:n:
mci:aruRA,997:aruRA:n:
mci:aruRAtmaja,18:aruRAtmaja:n:
mci:arunDatIvAwa,998:arunDatIvAwa:n:
mci:arGABiharaRa,641:arGABiharaRa:n:
mci:arjunasya,642:arjunasya:n:
mci:arDacandra,446:arDacandra:n:
mci:arDacandra,446:arDacandra:n:
mci:arbuda,20:arbuda:n:
mci:arbuda,20:arbuda:n:
mci:alakanandA,1000:alakanandA:n:
mci:alakA,1852:alakA:n:
mci:alamba,1001:alamba:n:
mci:alarka,21:alarka:n:
mci:avatIrRa,1002:avatIrRa:n:
mci:avanti,2105:avanti:n:
mci:avantI,1854:avantI:n:
mci:avantI,1854:avantI:n:
mci:aSokatIrTa,1003:aSokatIrTa:n:
mci:aSmagIta,643:aSmagIta:n:
mci:aSmavarza,447:aSmavarza:n:
mci:aSmavarza,447:aSmavarza:n:
mci:aSvakranda,22:aSvakranda:n:
mci:aSvakranda,22:aSvakranda:n:
mci:aSvataka,2108:aSvataka:n:
mci:aSvatara,23:aSvatara:n:
mci:aSvatIrTa,1005:aSvatIrTa:n:
mci:aSvatTAman,24:aSvatTAman:n:
mci:aSvanadI,1006:aSvanadI:n:
mci:aSvayuja,844:aSvayuja:n:
mci:aSvaraTA,1007:aSvaraTA:n:
mci:aSvarAja,25:aSvarAja:n:
mci:aSvaSaka,2107:aSvaSaka:n:
mci:aSvinI,845:aSvinI:n:
mci:aSvinos,1009:aSvinos:n:
mci:azAQA,846:azAQA:n:
mci:azwAdaSAvara,2109:azwAdaSAvara:n:
mci:azwAdaSAvara,2109:azwAdaSAvara:n:
mci:azwAvakra,1010:azwAvakra:n:
mci:azwAvakrIya,645:azwAvakrIya:n:
mci:asiknI,1011:asiknI:n:
mci:asita,646:asita:n:
mci:asipatravana,1013:asipatravana:n:
mci:asta,1014:asta:n:
mci:asvaSiras,1008:asvaSiras:n:
mci:ahicCatra,2110:ahicCatra:n:
mci:ahicCatrA,1856:ahicCatrA:n:
mci:ahicCatrA,1856:ahicCatrA:n:
mci:ahur,1015:ahur:n:
mci:Agastya,647:Agastya:n:
mci:Agni,448:Agni:n:
mci:Agneya,847:Agneya:n:
mci:AgneyAstra,449:AgneyAstra:n:
mci:Ajagara,648:Ajagara:n:
mci:Ajagava,452:Ajagava:n:
