mci:trasAmanyA,1289:trasAmanyA:n:
mci:triRAciketa,709:triRAciketa:n:
mci:tridivA,1294:tridivA:n:
mci:tripurasya,710:tripurasya:n:
mci:trivAra,147:trivAra:n:
mci:trivAra,147:trivAra:n:
mci:trivizwapa,1295:trivizwapa:n:
mci:tretA,882:tretA:n:
mci:trEpura,2308:trEpura:n:
mci:trEyyambaka,491:trEyyambaka:n:
mci:tryakza,2309:tryakza:n:
mci:tvAzwra,492:tvAzwra:n:
mci:dakza,148:dakza:n:
mci:dakziRamalla,2311:dakziRamalla:n:
mci:dakziRasinDu,1299:dakziRasinDu:n:
mci:dakziRAyana,883:dakziRAyana:n:
mci:dakzinApaTa,2312:dakzinApaTa:n:
mci:daRqa,493:daRqa:n:
mci:daRqaka,1300:daRqaka:n:
mci:daDimuKa,149:daDimuKa:n:
mci:daDIcasya,1303:daDIcasya:n:
mci:darada,2314:darada:n:
mci:darjayA,1926:darjayA:n:
mci:darjayA,1926:darjayA:n:
mci:dardura,1304:dardura:n:
mci:darvIka,2316:darvIka:n:
mci:darvIsaNkramaRa,1305:darvIsaNkramaRa:n:
mci:darSaka,2317:darSaka:n:
mci:daSagaNgA,1306:daSagaNgA:n:
mci:daSArha,2321:daSArha:n:
mci:daSASvameDika,1307:daSASvameDika:n:
mci:dasyu,2323:dasyu:n:
mci:dAkzAyaRI,152:dAkzAyaRI:n:
mci:dAkziRAtya,2324:dAkziRAtya:n:
mci:dAkzeyI,155:dAkzeyI:n:
mci:dAsamIya,2331:dAsamIya:n:
mci:dAsI,1310:dAsI:n:
mci:digvijaya,712:digvijaya:n:
mci:dilIpa,157:dilIpa:n:
mci:divaHprasTa,1925:divaHprasTa:n:
mci:divAkara,158:divAkara:n:
mci:divAkara,158:divAkara:n:
mci:divOkasAM,1311:divOkasAM:n:
mci:dIptAkza,2332:dIptAkza:n:
mci:dIrGadarSin,160:dIrGadarSin:n:
mci:dIrGaveRu,2333:dIrGaveRu:n:
mci:dIrGasatra,1313:dIrGasatra:n:
mci:dunduBisvana,2335:dunduBisvana:n:
mci:durgaSEla,1314:durgaSEla:n:
mci:durviBAga,2337:durviBAga:n:
mci:dfmi,1316:dfmi:n:
mci:devadatta,494:devadatta:n:
mci:devadAruvana,1321:devadAruvana:n:
mci:devayuga,884:devayuga:n:
mci:devavana,1327:devavana:n:
mci:dEteyAstra,495:dEteyAstra:n:
mci:dEtyadvIpa,163:dEtyadvIpa:n:
mci:dEvatavaMSa,713:dEvatavaMSa:n:
mci:dyutimant,1336:dyutimant:n:
mci:dyUtaparvan,714:dyUtaparvan:n:
mci:draNga,164:draNga:n:
mci:dramiqa,2338:dramiqa:n:
mci:droRa,165:droRa:n:
mci:droRavaDa,716:droRavaDa:n:
mci:droRaSarmapada,1338:droRaSarmapada:n:
mci:dvApara,885:dvApara:n:
mci:dvArakA,1927:dvArakA:n:
mci:dvArapAla,1928:dvArapAla:n:
mci:dvivida,166:dvivida:n:
mci:dvIpaka,167:dvIpaka:n:
mci:dvEtavana,1339:dvEtavana:n:
mci:dvEDeya,2339:dvEDeya:n:
mci:dvEpAyana,1341:dvEpAyana:n:
mci:dvyakza,2340:dvyakza:n:
mci:DanaMjaya,168:DanaMjaya:n:
mci:DanizWA,886:DanizWA:n:
mci:DarmatIrTa,1342:DarmatIrTa:n:
mci:Darmayuga,887:Darmayuga:n:
mci:DarmAraRya,1344:DarmAraRya:n:
mci:DAtur,496:DAtur:n:
mci:DAraRa,169:DAraRa:n:
mci:DAraRa,169:DAraRa:n:
mci:DArA,1345:DArA:n:
mci:DUmaketu,888:DUmaketu:n:
mci:DUmatyA,1347:DUmatyA:n:
mci:DftarAzwrasya,1929:DftarAzwrasya:n:
mci:DftarAzwrI,172:DftarAzwrI:n:
mci:Dftimant,2341:Dftimant:n:
mci:Denuka,1349:Denuka:n:
mci:DOnDumAra,721:DOnDumAra:n:
mci:DOmyASrama,1931:DOmyASrama:n:
mci:Druva,889:Druva:n:
mci:DruvadvAra,1350:DruvadvAra:n:
mci:nakulAKyAna,722:nakulAKyAna:n:
mci:nagnajit,2343:nagnajit:n:
mci:nagnajit,2343:nagnajit:n:
mci:nanda,174:nanda:n:
mci:nandaka,175:nandaka:n:
mci:nandana,1351:nandana:n:
mci:nandigrAma,1933:nandigrAma:n:
mci:nandinI,176:nandinI:n:
mci:nandivega,2344:nandivega:n:
mci:naranArAyaRASrama,1934:naranArAyaRASrama:n:
mci:nartana,499:nartana:n:
mci:narmadA,1354:narmadA:n:
mci:nalakAlaka,2345:nalakAlaka:n:
mci:nalinI,1355:nalinI:n:
mci:nalopAKyAna,723:nalopAKyAna:n:
mci:navarAzwra,2346:navarAzwra:n:
mci:navarAzwra,2346:navarAzwra:n:
mci:nahuza,178:nahuza:n:
mci:nAka,500:nAka:n:
mci:nAkula,2347:nAkula:n:
mci:nAga,501:nAga:n:
mci:nAgadvIpa,2348:nAgadvIpa:n:
mci:nAgadvIpa,2348:nAgadvIpa:n:
mci:nAgaDanvan,1357:nAgaDanvan:n:
mci:nAgapura,1935:nAgapura:n:
mci:nAgasaBa,1358:nAgasaBa:n:
mci:nAgAhvaya,1936:nAgAhvaya:n:
mci:nAgodBeda,1359:nAgodBeda:n:
mci:nAradAgamana,724:nAradAgamana:n:
mci:nArAyaRa,2349:nArAyaRa:n:
mci:nArAyaRakaTA,725:nArAyaRakaTA:n:
mci:nArAyaRASrama,1937:nArAyaRASrama:n:
mci:nArAyaRIya,727:nArAyaRIya:n:
mci:nArItIrTAni,1360:nArItIrTAni:n:
mci:nirukta,728:nirukta:n:
mci:nirfti,1363:nirfti:n:
mci:niryARa,729:niryARa:n:
mci:nivftta,503:nivftta:n:
mci:nivftta,503:nivftta:n:
mci:niSAkara,184:niSAkara:n:
mci:niSAkara,184:niSAkara:n:
mci:niScIrA,1364:niScIrA:n:
mci:nizAda,2351:nizAda:n:
mci:nizkuwa,1366:nizkuwa:n:
mci:nIpa,2352:nIpa:n:
mci:nIla,187:nIla:n:
mci:nIlAyuDa,2354:nIlAyuDa:n:
mci:nIlikA,1368:nIlikA:n:
mci:nEGaRwuka,730:nEGaRwuka:n:
mci:nEmiza,1370:nEmiza:n:
mci:nErfta,2356:nErfta:n:
mci:nObanDana,1373:nObanDana:n:
mci:paYcakarpawa,2357:paYcakarpawa:n:
mci:paYcanada,1374:paYcanada:n:
mci:paYcendrARAm,731:paYcendrARAm:n:
mci:pawaccara,2360:pawaccara:n:
mci:pawaccara,2360:pawaccara:n:
mci:pattana,1940:pattana:n:
mci:pattipaYjaka,2361:pattipaYjaka:n:
mci:padma,189:padma:n:
mci:padmanABa,192:padmanABa:n:
mci:padmasaras,1379:padmasaras:n:
mci:panItaka,2362:panItaka:n:
mci:pampA,1380:pampA:n:
mci:paraSu,505:paraSu:n:
mci:paraSuvana,2630:paraSuvana:n:
mci:paraSuvana,2630:paraSuvana:n:
mci:parasaMcaraka,2366:parasaMcaraka:n:
mci:parasaMcaraka,2366:parasaMcaraka:n:
mci:parA,1382:parA:n:
mci:parAnIkaBid,506:parAnIkaBid:n:
mci:parAvaha,2631:parAvaha:n:
mci:parAvaha,2631:parAvaha:n:
mci:parASara,194:parASara:n:
mci:pariGa,507:pariGa:n:
mci:paribarha,195:paribarha:n:
mci:parjanyAstra,509:parjanyAstra:n:
mci:parRaSAlA,1941:parRaSAlA:n:
mci:parRaSAlA,1941:parRaSAlA:n:
mci:parRASA,1383:parRASA:n:
mci:parvata,510:parvata:n:
mci:parvatAntaravAsin,2367:parvatAntaravAsin:n:
mci:parvAnukramaRI,734:parvAnukramaRI:n:
mci:paladASa,2368:paladASa:n:
mci:paladASa,2368:paladASa:n:
mci:palASaka,1384:palASaka:n:
mci:pallava,2369:pallava:n:
mci:pavanasya,1386:pavanasya:n:
mci:pAMSu,2375:pAMSu:n:
mci:pAkA,1388:pAkA:n:
mci:pAYcajanya,511:pAYcajanya:n:
mci:pAYcAla,2376:pAYcAla:n:
mci:pAYcAla,2376:pAYcAla:n:
mci:pAYcAlanagara,1942:pAYcAlanagara:n:
mci:pAYcAlyAH,735:pAYcAlyAH:n:
mci:pAwa,197:pAwa:n:
mci:pAwa,197:pAwa:n:
mci:pARiKAta,1389:pARiKAta:n:
mci:pAtara,200:pAtara:n:
mci:pApaharA,1390:pApaharA:n:
mci:pAramezWya,512:pAramezWya:n:
mci:pArasIka,2379:pArasIka:n:
mci:pArasIka,2379:pArasIka:n:
mci:pArA,1391:pArA:n:
mci:pArijAta,2633:pArijAta:n:
mci:pAriplava,1392:pAriplava:n:
mci:pAriyAtra,202:pAriyAtra:n:
mci:pArizeRA,1394:pArizeRA:n:
mci:pArvata,514:pArvata:n:
mci:pArvatIya,2380:pArvatIya:n:
mci:pASupata,516:pASupata:n:
mci:piNgala,203:piNgala:n:
mci:piNgalaka,204:piNgalaka:n:
mci:piNgA,1395:piNgA:n:
mci:picCila,205:picCila:n:
mci:picCilA,1396:picCilA:n:
mci:piYjaraka,206:piYjaraka:n:
mci:piYjalA,1397:piYjalA:n:
mci:piRqAraka,210:piRqAraka:n:
mci:pitAmahasaras,1399:pitAmahasaras:n:
mci:pinAka,517:pinAka:n:
mci:pippalAvatI,1401:pippalAvatI:n:
mci:piSAca,2382:piSAca:n:
mci:pIWaraka,213:pIWaraka:n:
mci:puRqra,2383:puRqra:n:
mci:puRya,1403:puRya:n:
mci:punarvasu,892:punarvasu:n:
mci:puramAlinI,1404:puramAlinI:n:
mci:purikA,1947:purikA:n:
mci:puru,1406:puru:n:
mci:puruzasUkta,737:puruzasUkta:n:
mci:puruzAdaka,2384:puruzAdaka:n:
mci:puruzAdaka,2384:puruzAdaka:n:
mci:puruhI,1407:puruhI:n:
mci:pulindaka,2386:pulindaka:n:
mci:pulindanagara,1948:pulindanagara:n:
mci:puzkara,216:puzkara:n:
mci:puzkarAraRya,1410:puzkarAraRya:n:
mci:puzpaka,2634:puzpaka:n:
mci:puzpadaMzwra,218:puzpadaMzwra:n:
mci:puzpadaMzwra,218:puzpadaMzwra:n:
mci:puzpanyAsa,1411:puzpanyAsa:n:
mci:puzya,893:puzya:n:
mci:pUjanI,219:pUjanI:n:
mci:pUror,738:pUror:n:
mci:pUrRa,220:pUrRa:n:
mci:pUrRANgada,223:pUrRANgada:n:
mci:pUrRASA,1415:pUrRASA:n:
mci:pUrvA,895:pUrvA:n:
mci:pUrvAntagaRqikA,1416:pUrvAntagaRqikA:n:
mci:pUrvAzAQA,898:pUrvAzAQA:n:
mci:pfTivyAs,1418:pfTivyAs:n:
mci:pfTuSravas,224:pfTuSravas:n:
mci:pfTUdaka,1419:pfTUdaka:n:
mci:pEtAmahaSAstra,739:pEtAmahaSAstra:n:
mci:pEla,225:pEla:n:
mci:pEla,225:pEla:n:
mci:pElagArgyasya,1949:pElagArgyasya:n:
mci:pESAca,520:pESAca:n:
mci:potaka,226:potaka:n:
mci:potaka,226:potaka:n:
mci:potana,1950:potana:n:
mci:pORqra,521:pORqra:n:
mci:pOraka,2389:pOraka:n:
mci:pOrandara,522:pOrandara:n:
mci:pOrava,2390:pOrava:n:
mci:pOza,899:pOza:n:
mci:pOzya,741:pOzya:n:
mci:pOzya,741:pOzya:n:
mci:prakAlana,227:prakAlana:n:
mci:prajAgara,742:prajAgara:n:
mci:prajApateH,1422:prajApateH:n:
mci:prajApateH,1422:prajApateH:n:
mci:prajApater,1421:prajApater:n:
mci:pratijYAparvan,743:pratijYAparvan:n:
mci:pratimatsya,2393:pratimatsya:n:
mci:pratimatsya,2393:pratimatsya:n:
mci:pratizWAna,1424:pratizWAna:n:
mci:pratismfti,2635:pratismfti:n:
mci:pratIcya,2394:pratIcya:n:
mci:praBadraka,2396:praBadraka:n:
mci:praBAkara,228:praBAkara:n:
mci:praBAkara,228:praBAkara:n:
mci:praBAsa,1425:praBAsa:n:
mci:pramuda,2398:pramuda:n:
mci:pramoda,229:pramoda:n:
mci:pramohanAstra,524:pramohanAstra:n:
mci:prayAga,1427:prayAga:n:
mci:praliha,231:praliha:n:
mci:pravarA,1428:pravarA:n:
mci:pravaha,2636:pravaha:n:
mci:pravAha,2400:pravAha:n:
mci:pravAha,2400:pravAha:n:
mci:praveRI,1429:praveRI:n:
mci:pravepana,232:pravepana:n:
mci:praSastA,1430:praSastA:n:
mci:prasfta,525:prasfta:n:
mci:prasravaRAni,1431:prasravaRAni:n:
mci:prasvApa,526:prasvApa:n:
mci:prahasa,233:prahasa:n:
mci:prAkArakarRa,235:prAkArakarRa:n:
mci:prAgjyotiza,1953:prAgjyotiza:n:
mci:prAjApatya,527:prAjApatya:n:
mci:prAvara,2402:prAvara:n:
mci:prOzWapada,904:prOzWapada:n:
mci:plakzaprasravaRa,1432:plakzaprasravaRa:n:
mci:PalgunI,906:PalgunI:n:
mci:bakavaDa,744:bakavaDa:n:
mci:bakavaDa,744:bakavaDa:n:
mci:badarapAcana,1438:badarapAcana:n:
mci:barbara,2406:barbara:n:
mci:balaheqa,237:balaheqa:n:
mci:balaheqa,237:balaheqa:n:
mci:balAkA,1440:balAkA:n:
mci:baliha,2408:baliha:n:
mci:bahirgiri,1441:bahirgiri:n:
mci:bahirgirya,2409:bahirgirya:n:
mci:bahulA,1442:bahulA:n:
mci:bArhaspatya,529:bArhaspatya:n:
mci:bAhuka,241:bAhuka:n:
mci:bAhudantaka,746:bAhudantaka:n:
mci:bAhudA,1443:bAhudA:n:
mci:bAhyakuRqa,243:bAhyakuRqa:n:
mci:bindusaras,1445:bindusaras:n:
mci:biBIzikA,531:biBIzikA:n:
mci:bilvaka,1446:bilvaka:n:
mci:buDa,907:buDa:n:
mci:bfhadvatI,1447:bfhadvatI:n:
mci:bfhaspati,908:bfhaspati:n:
mci:bfhaspatimata,747:bfhaspatimata:n:
mci:bfhaspatimata,747:bfhaspatimata:n:
mci:boDa,2412:boDa:n:
mci:brahmakalpa,909:brahmakalpa:n:
mci:brahmakulyA,1448:brahmakulyA:n:
mci:brahmadaRqa,532:brahmadaRqa:n:
mci:brahmameDyA,1455:brahmameDyA:n:
mci:brahmarASi,910:brahmarASi:n:
mci:brahmavAlukA,1457:brahmavAlukA:n:
mci:brahmaSiras,533:brahmaSiras:n:
mci:brahmasaras,1460:brahmasaras:n:
mci:brahmasUtra,748:brahmasUtra:n:
mci:brahmasTAna,1461:brahmasTAna:n:
mci:brahmASramapada,1955:brahmASramapada:n:
mci:brahmodumbara,1464:brahmodumbara:n:
mci:brAhma,911:brAhma:n:
mci:brAhmaRagrAma,1956:brAhmaRagrAma:n:
mci:brAhmaRagrAma,1956:brAhmaRagrAma:n:
mci:brAhmaRI,1466:brAhmaRI:n:
mci:BagadEvata,914:BagadEvata:n:
mci:BagavadgItA,750:BagavadgItA:n:
mci:BagavadyAna,751:BagavadyAna:n:
mci:Bagasya,1957:Bagasya:n:
mci:Bagasya,1957:Bagasya:n:
mci:BadrakarReSvara,1467:BadrakarReSvara:n:
mci:BadramanA,246:BadramanA:n:
mci:Badravawa,1468:Badravawa:n:
mci:BaraRI,915:BaraRI:n:
mci:Barata,2414:Barata:n:
mci:Barata,2414:Barata:n:
mci:Baratasya,1958:Baratasya:n:
mci:BarukacCa,1960:BarukacCa:n:
mci:BartfsTAna,1470:BartfsTAna:n:
mci:Bavizyat,752:Bavizyat:n:
mci:BAgIraTI,1471:BAgIraTI:n:
mci:BAdrapadA,917:BAdrapadA:n:
mci:BArata,753:BArata:n:
mci:BAratasAvitrI,754:BAratasAvitrI:n:
mci:BAradvAjasya,1472:BAradvAjasya:n:
mci:BArgava,918:BArgava:n:
mci:BArgavAstra,535:BArgavAstra:n:
mci:BArgavAstra,535:BArgavAstra:n:
mci:BAsa,1475:BAsa:n:
mci:BAskara,536:BAskara:n:
mci:BIma,2541:BIma:n:
mci:BIma,2541:BIma:n:
mci:BImaraTI,1476:BImaraTI:n:
mci:BIzmABizecana,758:BIzmABizecana:n:
mci:BIsmaparvan,755:BIsmaparvan:n:
mci:BIsmaparvan,755:BIsmaparvan:n:
mci:BujiNga,2419:BujiNga:n:
mci:BujiNga,2419:BujiNga:n:
mci:BUtilaya,1961:BUtilaya:n:
mci:BUmiparvan,759:BUmiparvan:n:
mci:BUliNgaSakuni,248:BUliNgaSakuni:n:
mci:BUliNgaSakuni,248:BUliNgaSakuni:n:
mci:BUzika,2420:BUzika:n:
mci:BUzika,2420:BUzika:n:
mci:Bfgu,2418:Bfgu:n:
mci:Bfgu,2418:Bfgu:n:
mci:BfgutuNga,1478:BfgutuNga:n:
mci:BfgvaNga,919:BfgvaNga:n:
mci:BEmaraTI,1479:BEmaraTI:n:
mci:BErava,249:BErava:n:
mci:BogavatI,1480:BogavatI:n:
mci:Boja,2421:Boja:n:
mci:Bojakawa,1965:Bojakawa:n:
mci:makara,539:makara:n:
mci:makaravAhinI,1483:makaravAhinI:n:
mci:maGA,921:maGA:n:
mci:macakruka,1967:macakruka:n:
mci:macakruka,1967:macakruka:n:
mci:maYju,1484:maYju:n:
mci:maqaka,2424:maqaka:n:
mci:maRalUra,1968:maRalUra:n:
mci:maRi,250:maRi:n:
mci:maRijalA,1485:maRijalA:n:
mci:maRipuzpaka,540:maRipuzpaka:n:
mci:maRipUra,1969:maRipUra:n:
mci:maRiskanDa,252:maRiskanDa:n:
mci:maRIcaka,2425:maRIcaka:n:
mci:maRqala,541:maRqala:n:
mci:maRqalaka,253:maRqalaka:n:
mci:maRqalArDa,542:maRqalArDa:n:
mci:mataNgavApI,1489:mataNgavApI:n:
mci:matsya,2428:matsya:n:
mci:matsyanagara,1972:matsyanagara:n:
mci:maTurA,1973:maTurA:n:
mci:madarvIka,1491:madarvIka:n:
mci:maDuparka,254:maDuparka:n:
mci:maDumant,2431:maDumant:n:
mci:maDumant,2431:maDumant:n:
mci:maDuvawI,1492:maDuvawI:n:
mci:maDyamikAya,2433:maDyamikAya:n:
mci:manojava,1496:manojava:n:
mci:manonuga,2434:manonuga:n:
mci:manohradA,1497:manohradA:n:
mci:mantraparvan,760:mantraparvan:n:
mci:mandaka,2435:mandaka:n:
mci:mandaga,2436:mandaga:n:
mci:mandagA,1498:mandagA:n:
mci:maru,2439:maru:n:
mci:marutAM,1504:marutAM:n:
mci:martikAvata,2458:martikAvata:n:
mci:martya,2440:martya:n:
mci:malada,2441:malada:n:
mci:maladA,1506:maladA:n:
mci:malaya,255:malaya:n:
mci:malavAsas,1509:malavAsas:n:
mci:maSaka,2445:maSaka:n:
mci:mahatsaras,1510:mahatsaras:n:
mci:mahAkASa,2446:mahAkASa:n:
mci:mahAkrOYca,1513:mahAkrOYca:n:
mci:mahAjaya,256:mahAjaya:n:
mci:mahAnada,1517:mahAnada:n:
mci:mahApadma,257:mahApadma:n:
mci:mahApura,1523:mahApura:n:
mci:mahAprasTAnika,761:mahAprasTAnika:n:
mci:mahABoja,2447:mahABoja:n:
mci:mahABoja,2447:mahABoja:n:
mci:mahAmandara,1524:mahAmandara:n:
mci:mahAvyUha,543:mahAvyUha:n:
mci:mahASaNKa,1528:mahASaNKa:n:
mci:mahASrama,1976:mahASrama:n:
mci:mahAsaras,1529:mahAsaras:n:
mci:mahAstra,544:mahAstra:n:
mci:mahAhanu,258:mahAhanu:n:
mci:mahAhanu,258:mahAhanu:n:
mci:mahAhrada,1530:mahAhrada:n:
mci:mahizaka,2448:mahizaka:n:
mci:mahI,1533:mahI:n:
mci:mahecCa,1977:mahecCa:n:
mci:mahendra,1535:mahendra:n:
mci:mahendrasya,1978:mahendrasya:n:
mci:mahendrA,1537:mahendrA:n:
mci:mahopanizada,763:mahopanizada:n:
mci:mahOjas,2449:mahOjas:n:
mci:mAkara,545:mAkara:n:
mci:mAgaDa,2452:mAgaDa:n:
mci:mAGI,923:mAGI:n:
mci:mAcellaka,2453:mAcellaka:n:
mci:mAcellaka,2453:mAcellaka:n:
mci:mAWarasya,1540:mAWarasya:n:
mci:mAtaNgavacana,764:mAtaNgavacana:n:
mci:mAtaNgI,260:mAtaNgI:n:
mci:mAtariSvan,261:mAtariSvan:n:
mci:mAtftIrTa,1541:mAtftIrTa:n:
mci:mAtsyaka,765:mAtsyaka:n:
mci:mAdreya,2454:mAdreya:n:
mci:mADava,546:mADava:n:
mci:mADavItIrTa,1542:mADavItIrTa:n:
mci:mAnava,262:mAnava:n:
mci:mAnavarjaka,2456:mAnavarjaka:n:
mci:mAnavI,766:mAnavI:n:
mci:mAnasa,263:mAnasa:n:
mci:mAnasa,263:mAnasa:n:
mci:mAnasahradA,1547:mAnasahradA:n:
mci:mAnuza,548:mAnuza:n:
mci:mAruta,547:mAruta:n:
mci:mArkaRqeyasamasyA,767:mArkaRqeyasamasyA:n:
mci:mArkaRqeyasya,1549:mArkaRqeyasya:n:
mci:mArgaSIrzI,926:mArgaSIrzI:n:
mci:mAlaka,2459:mAlaka:n:
mci:mAlavARaka,2462:mAlavARaka:n:
mci:mAlA,1550:mAlA:n:
mci:mAlyapiRqaka,264:mAlyapiRqaka:n:
mci:mAlyavant,1552:mAlyavant:n:
mci:mAhizaka,2465:mAhizaka:n:
mci:mAhizmatI,1982:mAhizmatI:n:
mci:mAhendra,550:mAhendra:n:
mci:mAheSvarI,1554:mAheSvarI:n:
mci:miTilA,1984:miTilA:n:
mci:miSraka,1555:miSraka:n:
mci:miSrin,265:miSrin:n:
mci:mukuwa,2466:mukuwa:n:
mci:muKara,266:muKara:n:
mci:muYjapfzWa,1556:muYjapfzWa:n:
mci:mudgarapiRqaka,271:mudgarapiRqaka:n:
mci:munideSa,2469:munideSa:n:
mci:munideSa,2469:munideSa:n:
mci:muracIpattana,1985:muracIpattana:n:
mci:muracIpattana,1985:muracIpattana:n:
mci:murmurA,1561:murmurA:n:
mci:musala,552:musala:n:
mci:mUka,272:mUka:n:
mci:mUla,927:mUla:n:
mci:mUzaka,2470:mUzaka:n:
mci:mUzikAda,274:mUzikAda:n:
mci:mfgaDUma,1562:mfgaDUma:n:
mci:mftyudaRqa,553:mftyudaRqa:n:
mci:mekala,2471:mekala:n:
mci:mecaka,279:mecaka:n:
mci:medraTA,1563:medraTA:n:
mci:mEtra,929:mEtra:n:
mci:mEnAka,1571:mEnAka:n:
mci:mokzaDarma,769:mokzaDarma:n:
mci:moGA,1574:moGA:n:
mci:moda,281:moda:n:
mci:modApura,1987:modApura:n:
mci:mohanAstra,554:mohanAstra:n:
mci:mOka,2472:mOka:n:
mci:mrgottama,928:mrgottama:n:
mci:mlecCa,2475:mlecCa:n:
mci:yakzayudDa,770:yakzayudDa:n:
mci:yajana,1575:yajana:n:
mci:yajus,772:yajus:n:
mci:yadu,2476:yadu:n:
mci:yamasya,931:yamasya:n:
mci:yamunA,1576:yamunA:n:
mci:yavana,2477:yavana:n:
mci:yavanAnAM,1989:yavanAnAM:n:
mci:yavanAnAM,1989:yavanAnAM:n:
mci:yAjana,1581:yAjana:n:
mci:yAnasanDi,773:yAnasanDi:n:
mci:yAmuna,1582:yAmuna:n:
mci:yAmya,556:yAmya:n:
mci:yAyAta,1584:yAyAta:n:
mci:yAyAvara,2479:yAyAvara:n:
mci:yuganDara,1990:yuganDara:n:
mci:yuganDara,1990:yuganDara:n:
mci:yoni,1585:yoni:n:
mci:rakzasAm,557:rakzasAm:n:
mci:raTacitrA,1587:raTacitrA:n:
mci:raTAtiraTasaMKyA,774:raTAtiraTasaMKyA:n:
mci:raTAvarta,1589:raTAvarta:n:
mci:raBeRaka,283:raBeRaka:n:
mci:ramaWa,2485:ramaWa:n:
mci:ramaRaka,2486:ramaRaka:n:
mci:ramaRI,1590:ramaRI:n:
mci:rAkA,932:rAkA:n:
mci:rAkzasa,284:rAkzasa:n:
mci:rAkzasa,284:rAkzasa:n:
mci:rAjagfha,1591:rAjagfha:n:
mci:rAjaDarma,775:rAjaDarma:n:
mci:rAjaDarman,285:rAjaDarman:n:
mci:rAjaDarman,285:rAjaDarman:n:
mci:rAjapura,1992:rAjapura:n:
mci:rAjasUyika,776:rAjasUyika:n:
mci:rAjASrama,1994:rAjASrama:n:
mci:rAjyalamBa,777:rAjyalamBa:n:
mci:rAmaka,1592:rAmaka:n:
mci:rAmacarita,778:rAmacarita:n:
mci:rAmatIrTa,1593:rAmatIrTa:n:
mci:rAmasya,1995:rAmasya:n:
mci:rAmahrada,1594:rAmahrada:n:
mci:rAhu,933:rAhu:n:
mci:rukmiRyA,1996:rukmiRyA:n:
mci:rukmiRyA,1996:rukmiRyA:n:
mci:rudrakowi,1595:rudrakowi:n:
mci:rudrARAm,559:rudrARAm:n:
mci:rudrAvarta,1597:rudrAvarta:n:
mci:rudrAstra,560:rudrAstra:n:
mci:reRuka,286:reRuka:n:
mci:reRuka,286:reRuka:n:
mci:reRukAtIrTa,1598:reRukAtIrTa:n:
mci:revatI,934:revatI:n:
mci:rEByASrama,1998:rEByASrama:n:
mci:rEByASrama,1998:rEByASrama:n:
mci:rEvata,1599:rEvata:n:
mci:romaSa,2491:romaSa:n:
mci:romA,1999:romA:n:
mci:rohiRI,935:rohiRI:n:
mci:rohitakAraRya,1601:rohitakAraRya:n:
mci:rOdra,561:rOdra:n:
mci:rOpyA,1602:rOpyA:n:
mci:lapitA,287:lapitA:n:
mci:lalAwAkza,2494:lalAwAkza:n:
mci:lalAwAkza,2494:lalAwAkza:n:
mci:lalitikA,1603:lalitikA:n:
mci:lalitTa,2495:lalitTa:n:
mci:laveqikA,1604:laveqikA:n:
mci:lANgala,562:lANgala:n:
mci:lokodDAra,1605:lokodDAra:n:
mci:lomaSa,288:lomaSa:n:
mci:lolodDftakarA,1606:lolodDftakarA:n:
mci:lohajaNGa,2498:lohajaNGa:n:
mci:lohatAriRI,1607:lohatAriRI:n:
mci:lohita,289:lohita:n:
mci:lohitya,1609:lohitya:n:
mci:vakra,2499:vakra:n:
mci:vakradvAra,1617:vakradvAra:n:
mci:vakraBaya,2500:vakraBaya:n:
mci:vaNkzu,1618:vaNkzu:n:
mci:vajra,563:vajra:n:
mci:vajrabAhu,290:vajrabAhu:n:
mci:vawa,291:vawa:n:
mci:vaweSvarapura,1619:vaweSvarapura:n:
mci:vatsaBUmi,2503:vatsaBUmi:n:
mci:vaDUsarA,1620:vaDUsarA:n:
mci:vanavAsin,2505:vanavAsin:n:
mci:vandanA,1621:vandanA:n:
mci:varuRa,293:varuRa:n:
mci:varuRasya,2002:varuRasya:n:
mci:varuRasya,2002:varuRasya:n:
mci:varuRasrotasa,1627:varuRasrotasa:n:
mci:vasizWa,937:vasizWa:n:
mci:vasizWasya,1629:vasizWasya:n:
mci:vasuhomasya,781:vasuhomasya:n:
mci:vasUnAM,566:vasUnAM:n:
mci:vasUnAM,566:vasUnAM:n:
mci:vasUnAm,565:vasUnAm:n:
mci:vasUnAm,565:vasUnAm:n:
mci:vasor,1632:vasor:n:
mci:vastrapa,2508:vastrapa:n:
mci:vastrApada,1635:vastrApada:n:
mci:vastrApada,1635:vastrApada:n:
mci:vasvokasArA,1634:vasvokasArA:n:
mci:vahnidEvata,938:vahnidEvata:n:
mci:vAkA,1636:vAkA:n:
mci:vAtavega,294:vAtavega:n:
mci:vAtikazaRqa,2011:vAtikazaRqa:n:
mci:vAnAyu,2512:vAnAyu:n:
mci:vApI,1638:vApI:n:
mci:vAmana,295:vAmana:n:
mci:vAmanaka,1641:vAmanaka:n:
mci:vAyavyAstra,567:vAyavyAstra:n:
mci:vAyutanaya,299:vAyutanaya:n:
mci:vAyuvarza,568:vAyuvarza:n:
mci:vAraRaka,301:vAraRaka:n:
mci:vAraRaka,301:vAraRaka:n:
mci:vAraRA,2012:vAraRA:n:
mci:vArARasI,2014:vArARasI:n:
mci:vArAha,1643:vArAha:n:
mci:vAruRAstra,574:vAruRAstra:n:
mci:vAruRi,302:vAruRi:n:
