pgn:tilaBawwaka,72:tilaBawwaka:n:
pgn:tumbavana,387:tumbavana:n:
pgn:trivftA,463:trivftA:n:
pgn:trEvidya,276:trEvidya:n:
pgn:daRqapuzkiRI,442:daRqapuzkiRI:n:
pgn:datilAcAryya,282:datilAcAryya:n:
pgn:datilAcAryya,282:datilAcAryya:n:
pgn:dattadevI,19:dattadevI:n:
pgn:dattaBawa,68:dattaBawa:n:
pgn:damana,60:damana:n:
pgn:damana,60:damana:n:
pgn:davAka,446:davAka:n:
pgn:davAka,446:davAka:n:
pgn:daSapura,368:daSapura:n:
pgn:daSapura,368:daSapura:n:
pgn:dAmarudra,245:dAmarudra:n:
pgn:dAmasvAminI,307:dAmasvAminI:n:
pgn:divAkaranandin,113:divAkaranandin:n:
pgn:duqika,273:duqika:n:
pgn:durgAdatta,120:durgAdatta:n:
pgn:devakI,308:devakI:n:
pgn:devakIrtti,140:devakIrtti:n:
pgn:devakIrtti,140:devakIrtti:n:
pgn:devadatta,105:devadatta:n:
pgn:devaBawwAraka,87:devaBawwAraka:n:
pgn:devarAja,46:devarAja:n:
pgn:devarAja,46:devarAja:n:
pgn:devarAzwra,340:devarAzwra:n:
pgn:devarAzwra,340:devarAzwra:n:
pgn:devavizRu,272:devavizRu:n:
pgn:devavizRu,272:devavizRu:n:
pgn:devaSarmman,141:devaSarmman:n:
pgn:deSa,355:deSa:n:
pgn:dEvaputra,317:dEvaputra:n:
pgn:DanaYjaya,61:DanaYjaya:n:
pgn:Danyadeva,182:Danyadeva:n:
pgn:Dftimitra,98:Dftimitra:n:
pgn:DftivizRu,129:DftivizRu:n:
pgn:DruvaBUti,69:DruvaBUti:n:
pgn:DruvaSarman,157:DruvaSarman:n:
pgn:naKaddArccarikakzetra,432:naKaddArccarikakzetra:n:
pgn:nagara,375:nagara:n:
pgn:nagaraSrI,379:nagaraSrI:n:
pgn:nandadAma,250:nandadAma:n:
pgn:nandadAma,250:nandadAma:n:
pgn:naradatta,108:naradatta:n:
pgn:naradeva,185:naradeva:n:
pgn:narandin,115:narandin:n:
pgn:narmadA,472:narmadA:n:
pgn:nazwI,460:nazwI:n:
pgn:nazwI,460:nazwI:n:
pgn:nAgadatta,28:nAgadatta:n:
pgn:nAgadatta,28:nAgadatta:n:
pgn:nAgadeva,184:nAgadeva:n:
pgn:nAgIjoqAkakzetra,433:nAgIjoqAkakzetra:n:
pgn:nATaSarmman,266:nATaSarmman:n:
pgn:nAdaqadakagrAma,402:nAdaqadakagrAma:n:
pgn:nABaka,237:nABaka:n:
pgn:nABaka,237:nABaka:n:
pgn:nArAyanadAsa,175:nArAyanadAsa:n:
pgn:nIlarAja,49:nIlarAja:n:
pgn:nepAla,453:nepAla:n:
pgn:nepAla,453:nepAla:n:
pgn:nOyoga,377:nOyoga:n:
pgn:paYcakulyavApaka,461:paYcakulyavApaka:n:
pgn:paYcanagarI,376:paYcanagarI:n:
pgn:paYcanagarI,376:paYcanagarI:n:
pgn:patradAsa,118:patradAsa:n:
pgn:padmA,473:padmA:n:
pgn:padmAvatI,310:padmAvatI:n:
pgn:paraspatikA,462:paraspatikA:n:
pgn:parASara,289:parASara:n:
pgn:palakka,454:palakka:n:
pgn:palASAwwapArSvika,417:palASAwwapArSvika:n:
pgn:palASinI,474:palASinI:n:
pgn:pallI,410:pallI:n:
pgn:pAwaka,418:pAwaka:n:
pgn:pAwaliputra,373:pAwaliputra:n:
pgn:pAwaliputra,373:pAwaliputra:n:
pgn:pArTa,301:pArTa:n:
pgn:pArTa,301:pArTa:n:
pgn:pArSva,290:pArSva:n:
pgn:pArSvika,416:pArSvika:n:
pgn:piNgala,147:piNgala:n:
pgn:pizwapura,374:pizwapura:n:
pgn:pur,365:pur:n:
