ccs:asaMpAwya,2326:asaMpAWya:t:
ccs:Aryavfkta,2839:Aryavftta:t:
ccs:tasTuzas,8391:tasTuzas:n:
ccs:DarmADikAranika,10984:DarmADikAraRika:t:
ccs:Dftasnu,6652:Gftasnu:t:
ccs:nyasIkar,12938:nyAsIkar:t: = cae nyAsIkf
ccs:pfzWamAMa,14952:pfzWamA/Ma:pfzWamA/Msa:t:
ccs:praCi,15192:praCi:n: verb with anubanDa ?
ccs:maRImaya,17845:maRimaya:t:
