bhs:kzuqqIka,5375:kzuqqIka:n:zuq
bhs:kzewa,5390:kzewa:n:zew
bur:kzepaRoya,5433:kzepaRIya:t:Roy
shs:KaNgapiTAna,12631:KaqgapiDAna:t:iTA
acc:KaqgeSamAhAtmya,32438:KaqgeSamAhAtmya:n:qge
inm:KaqgotpattikaTana,5716:KaqgotpattikaTana:n:qgo
bhs:KarapostA,5464:KarapostA:n:pos
bhs:Kijjati,5511:Kijjati:n:Kij
acc:gaRitakalpadrhuma,5636:gaRitakalpadruma:t:drh
acc:gaReSATarvaRaSIrzopanizad,5730:gaReSATarvaRaSIrzopanizad:n:SAT
bhs:ganDArciHpraBAsvarA,5655:ganDArciHpraBAsvarA:n:ciH
pw:gavyadaQa,35140:gavyadfQa:t:daQ
yat:guRidDEDa,13127:guRidvEDa:t:DED
acc:gosoka,6615:gosoka:n:oso
acc:gOrANgadevastutihEmANgikI,6665:gOrANgadevastutihEmANgikI:n:ihE
bur:caWikA,6359:cawikA:t:caW
pe:cAkyArkUttu,1398:cAkyArkUttu:n:rkU
bur:cikIzAmi,6576:cikIzAmi:n:kIz
bur:cikewisAmi,6582:cikewizAmi:t:isA
bur:cikzIzAmi,6604:cikzIzAmi:n:zIz
bur:cicayiTa,6613:cicayiTa:n:yiT
vcp:ciYciqa,19730:ciYciqa:n:ciq
pe:ciyyAli,1629:ciyyAli:n:ciy,iyy
sch:cIwI,13362:cIwI:n:cIw
pe:cUwu,1642:cUwu:n:Uwu
acc:cUhaqamalla,7469:cUhaqamalla:n:cUh
bur:cekrIqye,6765:cekrIqye:n:qye
bur:ceriTa,6785:ceriTa:n:riT
bur:cEva,6796:cEva:n:cEv
pui:cEzikas,4884:cEzikas:n:cEz
bhs:cyUqika,6375:cyUqika:n:yUq
vcp:CinnIdBavA,20368:CinnodBavA:t:IdB
bhs:Coqayati,6427:Coqayati:n:Coq
ccs:jaNgIqa,7344:jaNgiqa:t:gIq
cae:jalOkovaseka,11183:jalOkovaseka:n:Oko
bur:jAgatatrEzWuBa,7126:jAgatatrEzWuBa:n:WuB
acc:jAtakanIlakaRWIwIkA,7985:jAtakanIlakaRWIwIkA:n:WIw
acc:jAtariTyAdinirRaya,43542:jAtariTyAdinirRaya:n:riT
acc:jAtisaMkaryakiDi,8053:jAtisaMkaryakiDi:n:kiD
acc:jAtisAMkaryakiDi,30793:jAtisAMkaryakiDi:n:kiD
pw:jAruTI,42660:jAruTI:n:uTI
sch:jAlUTa,13892:jAlUTa:n:lUT
bur:jujurvas,7337:jujurvas:n:juj
bur:jujuzize,7338:jujuzize:n:juj
bur:jegilye,7384:jegilye:n:jeg
bur:jegezmi,7386:jegezmi:n:jeg
bhs:jehrIyate,6659:jehrIyate:n:ehr
bur:jYawiti,7435:jYawiti:n:Yaw
bhs:jYAnArciHSrIsAgara,6710:jYAnArciHSrIsAgara:n:ciH
bhs:jvalanArciHparvataSrIvyUha,6749:jvalanArciHparvataSrIvyUha:n:ciH
vcp:JaQaka,21629:JaQaka:n:JaQ
pwg:Japaketana,74637:Jazaketana:t:Similar orthography
acc:JayyawaBawwa,8425:JayyawaBawwa:n:Jay
bhs:JAzayati,6758:JAzayati:n:JAz
pwg:JiYJikA,74639:JiYJikA:n:Jik
