bhs:mAtfyo,11968:mAtfyo:n:fy
mw:yatAkzAsumanobudDi,170276:yatAkzAsumanobudDi:n:ob
acc:yAmunaAcAryasvAmin,18600:yAmunaAcAryasvAmin:n:aA
acc:raGunandanaAcAryaSiromaRi,18851:raGunandanaAcAryaSiromaRi:n:aA
acc:raNganATaAraqa,36096:raNganATaAraqa:n:aA
inm:rAjasUyasyaAramBa,8908:rAjasUyasyaAramBa:n:aA
acc:rowiveNkawaAcArya,23322:rowiveNkawaAcArya:n:aA
mw:vAkpuzwAwavI,189854:vAkpuzwAwavI:n:kp
acc:vAGelavaMSAvalI,46526:vAGelavaMSAvalI:n:Ge
acc:vAmanaAcAryakaraYjakavisArvaBOma,21873:vAmanaAcAryakaraYjakavisArvaBOma:n:aA
pe:viSAlAkSa,8484:viSAlAkza:t:kS
skd:viSvakSenA,33275:viSvakSenA:n:kS
acc:vegawaAcArya,23307:vegawaAcArya:n:aA
acc:vedAntanayanaAcArya,23549:vedAntanayanaAcArya:n:aA
acc:vEkuRWanATaAcArya,23698:vEkuRWanATaAcArya:n:aA
acc:SatakarRaAcArya,24424:SatakarRaAcArya:n:aA
pui:SatadfkSakra,14017:SatadfkSakra:n:kS
mw:SrIKaRqANgarAga,222956:SrIKaRqANgarAga:n:IK
sch:SrIKaRqAdri,25364:SrIKaRqAdri:n:IK
acc:SrInivAcaAcArya,38083:SrInivAcaAcArya:n:aA
bop:saNGepa,8178:saNkzepa:t:NGe->Nkz. Similar orthography
mw:samAhitamanobudDi,234217:samAhitamanobudDi:n:ob
pw:samAhitasanobudDi,120497:samAhitasanobudDi:n:ob
acc:surottaAcArya,28555:surottaAcArya:n:aA
acc:svamanoboDavAkyAni,41625:svamanoboDavAkyAni:n:ob
sch:haggaulI,27394:haggaulI:n:au
