acc:viwWaleSvarAzwottaraSata,46621:viwWaleSvarAzwottaraSata:n:wW
ap90:viWaMka,25862:viWaMka:n:iW
bhs:viWapayati,13771:viWapayati:n:iW
ieg:viWavigAra,6716:viWavigAra:n:iW
yat:viqbarAha,34609:viqbarAha:n:qb
pe:viBvA,8238:viBvA:n:Bv
bur:vuvUrzAmi,15992:vuvUrzAmi:n:vU
bhs:vUdagra,14394:vUdagra:n:vU
skd:vfhaqQakkA,33931:vfhaqQakkA:n:qQ
pw:vyAsaviwWalAcArya,108816:vyAsaviwWalAcArya:n:wW
mw:vyU|a,210304:vyU|a:n:U|,|a
mw:vyU|acCandas,210304.25:vyU|acCandas:n:U|,|a
bur:vlepayAmi,16478:vlepayAmi:n:vl
pwg:SaMvUka,97000:SaMvUka:n:vU
pe:SAivAla,5949:SAivAla:n:Ai
ieg:SurrAyakkASu,7452:SurrAyakkASu:n:rr
pui:SEbjA,14745:SEbjA:n:Eb
inm:SEbyasugrIvavAhana,2221:SEbyasugrIvavAhana:n:Eb
inm:SEbyAtmaja,2222:SEbyAtmaja:n:Eb
mw:zawcakraBedavivftiwIkA,224975.40:zawcakraBedavivftiwIkA:n:wc
acc:zaqAmnAyazaqdarSanasaMkzepavAda,26412:zaqAmnAyazaqdarSanasaMkzepavAda:n:qd
mw:zaqAmnAyazaqdaSanasaMkzepavAda,225129:zaqAmnAyazaqdaSanasaMkzepavAda:n:qd
bhs:saMSfKalA,15446:saMSfKalA:n:fK
mw72:saqBAva,48948:saqBAva:n:qB
mw:samyagGuta,237361:samyagGuta:n:gG
ieg:sasEbara,7090:sasEbara:n:Eb
mw:sAhityakOTUhala,243677:sAhityakOTUhala:n:OT
acc:sidDArTapfCA,28217:sidDArTapfCA:n:fC
pui:sudUGamuKI,16119:sudUGamuKI:n:UG
pw:susTeTa,128459:susTeTa:n:eT
pui:sEbalkA,16751:sEbalkA:n:Eb
inm:skandoPyAna,9967:skandoPyAna:n:Py
vcp:sPyASlizwejyADikaraRa,47422:sPyASlizwejyADikaraRa:n:Py
acc:svayaMBvagnimAhAtmya,39026:svayaMBvagnimAhAtmya:n:Bv
pwg:hareu,116370:hareu:n:eu
mw:hiteCA,262925:hiteCA:n:eC
mw:heL,263977.1:heL:n:eL
ieg:hobli,2253:hobli:n:bl
