bur:anubaDnAmi,671: Verb form
bur:anubuDye,672: Verb form
bur:anubravImi,673: Verb form
bur:anuBavAmi,675: Verb form
bur:anuBAzAmi,676: Verb form
bur:anuBinadmi,677: Verb form
bur:anuBuYje,678: Verb form
bur:anuBUya,679: Verb form
bur:anumantrayAmi,681: Verb form
bur:anumude,684: Verb form
bur:anumfSAmi,685: Verb form
bur:anuyAmi,687: Verb form
bur:anuyuYje,688: Verb form
bur:anurajyAmi,690: Verb form
bur:anuruDyAmi,693: Verb form
bur:anurunDe,694: Verb form
bur:anurocayAmi,696: Verb form
bur:anurodmi,697: Verb form
bur:anulimpAmi,701: Verb form
bur:anuvacmi,703: Verb form
bur:anuvadAmi,705: Verb form
bur:anuvartAmi,706: Verb form
bur:anuvarRayAmi,707: Verb form
bur:anuvasAmi,708: Verb form
bur:anuvidaDAmi,711: Verb form
bur:anuviDyAmi,712: Verb form
bur:anuvinadAmi,713: Verb form
bur:anuvindAmi,714: Verb form
bur:anuviSAmi,715: Verb form
bur:anuvrajAmi,718: Verb form
bur:anuSAsAmi,722: Verb form
bur:anuSikzayAmi,723: Verb form
bur:anuSfRomi,724: Verb form
bur:anuSocAmi,725: Verb form
bur:anuzajje,726: Verb form
bur:anusandaDAmi,730: Verb form
bur:anusaMyAmi,731: Verb form
bur:anusaMviSAmi,733: Verb form
bur:anusmarAmi,737: Verb form
bur:anuharAmi,738: Verb form
bur:anUcye,742: Verb form
bur:anUttizWAmi,743: Verb form
bur:anOt,756: Verb form
bur:atardaDAmi,770: Verb form
bur:antarBatrAmi,772: Verb form
bur:anvavekze,830: Verb form
bur:anvAraBe,833: Verb form
bur:anvArohAmi,834: Verb form
bur:anvAviSAmi,835: Verb form
bur:anvASrayAmi,836: Verb form
bur:anvAsmi,838: Verb form
bur:anviza,842: Verb form
bur:anvizyAmi,843: Verb form
bur:anvemi,845: Verb form
bur:apakaromi,849: Verb form
bur:apakarzAmi,850: Verb form
bur:apagacCAmi,854: Verb form
bur:apacinomi,861: Verb form
bur:apajahAmi,863: Verb form
bur:apatrape,869: Verb form
bur:apadiSAmi,874: Verb form
bur:apaDAvAmi,875: Verb form
bur:apaDyAye,876: Verb form
bur:apaDvaMsAmi,877: Verb form
bur:apanayAma,878: Verb form
bur:apanahye,879: Verb form
bur:apanudAmi,880: Verb form
bur:apamArjmi,884: Verb form
bur:apayAmi,885: Verb form
bur:apayuyomi,886: Verb form
bur:aparADnomi,893: Verb form
bur:apalapAmi,904: Verb form
bur:apavadAmi,907: Verb form
bur:apavarjayAmi,911: Verb form
bur:apavarte,912: Verb form
bur:apavahAmi,913: Verb form
bur:apavADe,915: Verb form
bur:apaviDyAmi,917: Verb form
bur:apavfRomi,918: Verb form
bur:apavyaye,919: Verb form
bur:apaSoSucAmi,923: Verb form
bur:apasarAmi,929: Verb form
bur:apasarpAmi,930: Verb form
bur:apasedAmi,932: Verb form
bur:apaspfSAmi,936: Verb form
bur:apahanmi,939: Verb form
bur:apaharAmi,940: Verb form
bur:apahasAmi,941: Verb form
bur:apahnuve,942: Verb form
bur:apAkaromi,943: Verb form
bur:apAkarzAmi,944: Verb form
bur:apAkirAmi,945: Verb form
bur:apAkfDi,946: Verb form
bur:apAnudAmi,954: Verb form
bur:apAvarte,961: Verb form
bur:apAvfRomi,962: Verb form
bur:apASrayAmi,963: Verb form
bur:apAsyAmi,966: Verb form
bur:apidaDAmi,970: Verb form
bur:apinahye,971: Verb form
bur:apivfRomi,973: Verb form
bur:apus,979: Verb form
bur:apekze,986: Verb form
bur:apemi,987: Verb form
bur:apovAha,991: Verb form
bur:apohAmi,992: Verb form
bur:abruvat,1038: Verb form
bur:aBArkzam,1044: Verb form
bur:aBAvayat,1045: Verb form
bur:aBikaromi,1049: Verb form
bur:aBikANkzAmi,1050: Verb form
bur:aBikirAmi,1052: Verb form
bur:aBikruDyAmi,1054: Verb form
bur:aBigacCAmi,1056: Verb form
bur:aBigarjAmi,1057: Verb form
bur:aBigAyAmi,1058: Verb form
bur:aBigfRAmi,1060: Verb form
bur:aBigopayAmi,1061: Verb form
bur:aBicarAmi,1064: Verb form
bur:aBicodayAmi,1065: Verb form
bur:aBijagAmi,1066: Verb form
bur:aBijaGnatus,1067: Verb form
bur:aBijAnAmi,1069: Verb form
bur:aBitapAmi,1070: Verb form
bur:aBitarje,1071: Verb form
bur:aBituzwAva,1073: Verb form
bur:aBidadAmi,1074: Verb form
bur:aBidaDAmi,1075: Verb form
bur:aBidarSayAmi,1076: Verb form
bur:aBidravAmi,1078: Verb form
bur:aBidruhyAmi,1079: Verb form
bur:aBiDArayAmi,1082: Verb form
bur:aBiDAvAmi,1083: Verb form
bur:aBinandAmi,1085: Verb form
bur:aBinamAmi,1086: Verb form
bur:aBinayAmi,1087: Verb form
bur:aBinAdayAmi,1089: Verb form
bur:aBiniDyAye,1091: Verb form
bur:aBinipIqayAmi,1092: Verb form
bur:aBinirgacCAmi,1093: Verb form
bur:aBinizkrAmAmi,1097: Verb form
bur:aBipatAmi,1100: Verb form
bur:aBipadye,1102: Verb form
bur:aBipariplave,1104: Verb form
bur:aBipAlayAmi,1105: Verb form
bur:aBipiparmi,1106: Verb form
bur:aBipIqayAmi,1107: Verb form
bur:aBipUjayAmi,1108: Verb form
bur:aBipfcCAmi,1109: Verb form
bur:aBipede,1110: Verb form
bur:aBipracodayAmi,1111: Verb form
bur:aBipranamAmi,1112: Verb form
bur:aBipravarte,1113: Verb form
bur:aBiprasAdayAmi,1114: Verb form
bur:aBiprekze,1116: Verb form
bur:aBipremi,1117: Verb form
bur:aBiplave,1118: Verb form
bur:aBiBartsayAmi,1119: Verb form
bur:aBiBAmi,1121: Verb form
bur:aBiBAze,1123: Verb form
bur:aBimanye,1127: Verb form
bur:aBimUrCAmi,1134: Verb form
bur:aBiyAmi,1135: Verb form
bur:aBiyuYje,1136: Verb form
bur:aBirakzAmi,1137: Verb form
bur:aBirajye,1138: Verb form
bur:aBiraYjayAmi,1139: Verb form
bur:aBirame,1140: Verb form
bur:aBirAjAmi,1141: Verb form
bur:aBirADayAmi,1142: Verb form
bur:aBirunaDmi,1145: Verb form
bur:aBiruhe,1147: Verb form
bur:aBirocaye,1149: Verb form
bur:aBilaNGayAmi,1150: Verb form
bur:aBilazAmi,1151: Verb form
bur:aBiliKAmi,1154: Verb form
bur:aBilinAmi,1155: Verb form
bur:aBilipsAmi,1156: Verb form
bur:aBivacmi,1157: Verb form
bur:aBivadAmi,1158: Verb form
bur:aBivande,1159: Verb form
bur:aBivarte,1160: Verb form
bur:aBivarzAmi,1161: Verb form
bur:aBivAdayAmi,1162: Verb form
bur:aBivijvalAmi,1163: Verb form
bur:aBivindAmi,1164: Verb form
bur:aBivIkze,1165: Verb form
bur:aBivfDe,1166: Verb form
bur:aBiSaNke,1170: Verb form
bur:aBiSape,1171: Verb form
bur:aBiSabdayAmi,1172: Verb form
bur:aBiSaMsAmi,1173: Verb form
bur:aBiSikzayAmi,1174: Verb form
bur:aBiSrayAmi,1175: Verb form
bur:aBizajAmi,1176: Verb form
bur:aBizahAmi,1178: Verb form
bur:aBiziYcAmi,1179: Verb form
bur:aBizucyAmi,1180: Verb form
bur:aBizunomi,1182: Verb form
bur:aBizwOmi,1185: Verb form
bur:aBisaNkzipAmi,1188: Verb form
bur:aBisaNkroSAmi,1189: Verb form
bur:aBisace,1190: Verb form
bur:aBisandaDAmi,1192: Verb form
bur:aBisaMprekze,1194: Verb form
bur:aBisaMvfRomi,1195: Verb form
bur:aBisaMstaBnomi,1198: Verb form
bur:aBisaMsmarAmi,1199: Verb form
bur:aBisaMhanmi,1200: Verb form
bur:aBisUdayAmi,1203: Verb form
bur:aBisfjAmi,1204: Verb form
bur:aBismayAmi,1206: Verb form
bur:aBisvarAmi,1207: Verb form
bur:aBihanmi,1208: Verb form
bur:aBiharAmi,1209: Verb form
bur:aBIpsAmi,1214: Verb form
bur:aBUt,1221: Verb form
bur:aBUrzi,1222: Verb form
bur:aByatikrAmAmi,1226: Verb form
bur:aByatyemi,1227: Verb form
bur:aByanujAnAmi,1229: Verb form
bur:aByanumodayAmi,1230: Verb form
bur:aByayus,1234: Verb form
bur:aByardAmi,1237: Verb form
bur:aByavadaDAmi,1240: Verb form
bur:aByavanAmayAmi,1241: Verb form
bur:aByasUyAmi,1245: Verb form
bur:aByasyAmi,1246: Verb form
bur:aByAgacCAmi,1250: Verb form
bur:aByAdaDAmi,1251: Verb form
bur:aByApatAmi,1254: Verb form
bur:aByApnomi,1255: Verb form
bur:aByAraBe,1257: Verb form
bur:aByAsadAmi,1259: Verb form
bur:aByAse,1260: Verb form
bur:aByAhanmi,1261: Verb form
bur:aByAharAmi,1262: Verb form
bur:aByucCrayAmi,1263: Verb form
bur:aByujjuhomi,1264: Verb form
bur:aByudemi,1267: Verb form
bur:aByudDarAmi,1268: Verb form
bur:aByupatizWAmi,1270: Verb form
bur:aByemi,1274: Verb form
bur:amaNGam,1284: Verb form
bur:amArw,1304: Verb form
bur:amAsizam,1305: Verb form
bur:ayAni,1350: Verb form
bur:arArye,1390: Verb form
bur:aririzAmi,1398: Verb form
bur:arIyarmi,1400: Verb form
bur:arIrayam,1401: Verb form
bur:aruzyati,1406: Verb form
bur:arozi,1411: Verb form
bur:arpayAmi,1451: Verb form
bur:alasam,1489: Verb form
bur:alIQam,1504: Verb form
bur:alEzam,1507: Verb form
bur:avakarzAmi,1518: Verb form
bur:avakirAmi,1521: Verb form
bur:avagacCAmi,1526: Verb form
bur:avagAhe,1534: Verb form
bur:avaguRWayAmi,1536: Verb form
bur:avagurAmi,1538: Verb form
bur:avacinomi,1543: Verb form
bur:avaCinadmi,1546: Verb form
bur:avajayAmi,1548: Verb form
bur:avajahAmi,1549: Verb form
bur:avajAnAmi,1550: Verb form
bur:avajiGrAmi,1551: Verb form
bur:avatanomi,1558: Verb form
bur:avatarAmi,1560: Verb form
bur:avatizWAmi,1562: Verb form
bur:avatsarAmi,1564: Verb form
bur:avadaDAmi,1565: Verb form
bur:avadArayAmi,1568: Verb form
bur:avadfRAmi,1570: Verb form
bur:avaDArayAmi,1575: Verb form
bur:avaDAvayAmi,1576: Verb form
bur:avaDIrayAmi,1578: Verb form
bur:avaDUnomi,1580: Verb form
bur:avaDyAye,1582: Verb form
bur:avanamAmi,1586: Verb form
bur:avanahye,1588: Verb form
bur:avapIqayAmi,1593: Verb form
bur:avaplave,1594: Verb form
bur:avabuDye,1595: Verb form
bur:avaBanajmi,1596: Verb form
bur:avaBartsayAmi,1597: Verb form
bur:avaBAse,1598: Verb form
bur:avamanye,1604: Verb form
bur:avamArjmi,1607: Verb form
bur:avamuYcAmi,1608: Verb form
bur:avamfdnAmi,1609: Verb form
bur:avarujAmi,1620: Verb form
bur:avarunDe,1621: Verb form
bur:avaroruDam,1624: Verb form
bur:avarohAmi,1625: Verb form
bur:avaryAmi,1627: Verb form
bur:avalaNGayAmi,1630: Verb form
bur:avalambAmi,1631: Verb form
bur:avalehmi,1635: Verb form
bur:avaloke,1636: Verb form
bur:avaloYcAmi,1638: Verb form
bur:avavfScAmi,1640: Verb form
bur:avaSizye,1643: Verb form
bur:avazwaBnomi,1647: Verb form
bur:avasajAmi,1651: Verb form
bur:avasAyAmi,1658: Verb form
bur:avasiYcAmi,1660: Verb form
bur:avasIdAmi,1661: Verb form
bur:avasfjAmi,1663: Verb form
bur:avasyAmi,1670: Verb form
bur:avasvapAmi,1671: Verb form
bur:avahanmi,1672: Verb form
bur:avaharAmi,1673: Verb form
bur:avahasAmi,1674: Verb form
bur:avAkzam,1682: Verb form
bur:avApnomi,1687: Verb form
bur:avAsizam,1691: Verb form
bur:avinaSyat,1709: Verb form
bur:ave,1734: Verb form
bur:avekze,1736: Verb form
bur:avedizam,1738: Verb form
bur:avemi,1739: Verb form
bur:aves,1740: Verb form
bur:avocam,1743: Verb form
bur:avoQam,1744: Verb form
bur:aSAna,1772: Verb form
bur:aSASAmi,1774: Verb form
bur:aSizwa,1781: Verb form
bur:aSerata,1788: Verb form
bur:aSozya,1793: Verb form
bur:aSnItapibatIyAmi,1795: Verb form
bur:aSrOzam,1815: Verb form
bur:aSvasyAmi,1836: Verb form
bur:aSvAyAmi,1837: Verb form
bur:asat,1863: Verb form
bur:asat,1864: Verb form
bur:asUy,1921: Verb form
bur:asti,1935: Verb form
bur:astu,1936: Verb form
bur:asmAn,1949: Verb form
bur:asrAye,1953: Verb form
bur:ahan,1967: Verb form
bur:Aka,2006: Verb form
bur:Akampe,2007: Verb form
bur:AkalayAmi,2010: Verb form
bur:AkANkzAmi,2013: Verb form
bur:AkirAmi,2018: Verb form
bur:AkolAmi,2025: Verb form
bur:AkrandAmi,2027: Verb form
bur:AkrAmAmi,2029: Verb form
bur:AkzArayAmi,2032: Verb form
bur:AkzipAmi,2033: Verb form
bur:AKyAmi,2041: Verb form
bur:Aga,2042: Verb form
bur:AgacCAmi,2043: Verb form
bur:AgaTa,2044: Verb form
bur:Agantu,2045: Verb form
