pui:अकारादिक्षकारान्तवर्णमूर्ति,11:अकारादिक्षकारान्तवर्णमूर्ति:n:र्ति
pw:कुरूत्थाम,29072:कुरूत्थाम:n:रूत्
mw:कृपावैत,54892:कृपावैत:n:आवै
acc:कृष्णकीर्तिप्रबन्ध,4667:कृष्णकीर्तिप्रबन्ध:n:र्ति
sch:केकिव,11265:केकिव:n:किव्
sch:केकिविकार,11266:केकिविकार:n:किव्
inm:क्रोर्यात्मन्,5888:क्रोर्यात्मन्:n:ओर्य्
pw:क्षणितोस्,32220:क्षणितोस्:n:तोस्
sch:खण्डोपल,11830:खण्डोपल:n:डोप्
sch:खरूचिका,11862:खरूचिका:n:रूच्
acc:गङ्गारामजडिन्,5505:गङ्गारामजडिन्:n:जड्
mw:गन्धर्वोपाध्याय,63325.1:गन्धर्वोपाध्याय:n:र्वो
sch:गाडरारघट्ट,28625:गाडरारघट्ट:n:गाड्
vcp:गाडिक,17362:गाडिक:n:गाड्
vcp:गुरूत्तम,17772:गुरूत्तम:n:रूत्
mw:गृभीत्वा,66498:गृभीत्वा:n:गृभ्,ऋभी
acc:गोमतीदासवैष्णव,6420:गोमतीदासवैष्णव:n:तीद्
pwg:गोलीगुल,23341:गोलीगुल:n:लीग्
acc:गोविन्दभट्टाचार्यचक्रवर्तिन्,6516:गोविन्दभट्टाचार्यचक्रवर्तिन्:n:र्ति
bhs:गोविन्दिय,5898:गोविन्दिय:n:दिय्
bhs:गौणायन,5909:गौणायन:n:औणा
pw:गौण्डकीर्ति,37101:गौण्डकीर्ति:n:र्ति
acc:गौरीशङ्करकीर्ति,39882:गौरीशङ्करकीर्ति:n:र्ति
mw:गौलुन्द,68391:गौलुन्द:n:औलु
acc:ग्रहफलोपपत्ति,6742:ग्रहफलोपपत्ति:n:हफ्
acc:ग्रीष्मर्तुवर्णन,6799:ग्रीष्मर्तुवर्णन:n:र्तु
bhs:चक्रवर्तिदत्त,6001:चक्रवर्तिदत्त:n:र्ति
acc:चक्रवर्तिलक्षण,6864:चक्रवर्तिलक्षण:n:र्ति
bhs:चक्रवर्तिसूत्र,6004:चक्रवर्तिसूत्र:n:र्ति
acc:चक्रादियन्त्रादिचित्रसंग्रह,43280:चक्रादियन्त्रादिचित्रसंग्रह:n:दिय्
sch:चञ्चूर्ति,12887:चञ्चूर्ति:n:र्ति
bur:चञ्चूर्ये,6355:चञ्चूर्ये:n:र्ये
acc:चतुरावर्तिततर्पण,6980:चतुरावर्तिततर्पण:n:र्ति
acc:चतुर्विंशतिमूर्तिभेदलक्षण,7019:चतुर्विंशतिमूर्तिभेदलक्षण:n:र्ति
pw:चरितोस्,39301:चरितोस्:n:तोस्
acc:चामुण्डेश्वरीमङ्गल,7288:चामुण्डेश्वरीमङ्गल:n:डेश्
ccs:चिक्तानुवर्तिन्,7027:चिक्तानुवर्तिन्:n:र्ति
bur:चिचर्तिषामि,6615:चिचर्तिषामि:n:र्ति
sch:चित्तानुपरिवर्तिन्,13285:चित्तानुपरिवर्तिन्:n:र्ति
acc:चिदम्बरनटतन्त्रेदक्षिणामूर्तिसहस्रनाम,32947:चिदम्बरनटतन्त्रेदक्षिणामूर्तिसहस्रनाम:n:र्ति
bhs:चूडिकावबद्ध,6329:चूडिकावबद्ध:n:ऊडि
mw:चैकयत,75002:चैकयत:n:चैक्
mw:छद्मरूपेण,75496:छद्मरूपेण:n:ऊपे
sch:छिन्नप्लोतिक,13570:छिन्नप्लोतिक:n:प्लो
sch:जडिमता,13646:जडिमता:n:जड्
skd:जडिमा,13125:जडिमा:n:जड्
acc:जयमाधवाख्यकाव्य,7887:जयमाधवाख्यकाव्य:n:वाख्
ccs:जयोदेव,7464:जयोदेव:n:ओदे
acc:जागेश्वर,7966:जागेश्वर:n:आगे
pw:जाङ्घाप्रहूतिक,42400:जाङ्घाप्रहूतिक:n:घाप्
bur:जिगर्धिषामि,7213:जिगर्धिषामि:n:र्धि
bur:जिघापयिषामि,7232:जिघापयिषामि:n:घाप्
bur:जिह्रसिषामि,7285:जिह्रसिषामि:n:इह्र्
bur:जिह्राय,7286:जिह्राय:n:इह्र्
bhs:जिह्रीयति,6636:जिह्रीयति:n:इह्र्
bur:जिह्रीषामि,7287:जिह्रीषामि:n:इह्र्
bur:जिह्रेमि,7288:जिह्रेमि:n:इह्र्
mw:जीतव्यवहारसूत्र,80529:जीतव्यवहारसूत्र:n:जीत्
sch:ज्ञानानुपरिवर्तिन्,14006:ज्ञानानुपरिवर्तिन्:n:र्ति
wil:ज्वालाजिहू,16632:ज्वालाजिहू:n:इहू
acc:टोडरानन्दे,43637:टोडरानन्दे:n:टोड्
bur:डिडयिषे,7580:डिडयिषे:n:डिड्
vcp:डिडिका,21767:डिडिका:n:डिड्
vcp:डिडिमा,21768:डिडिमा:n:डिड्
vcp:डोडिका,21799:डोडिका:n:डोड्
ccs:तक्त्वाख्यानोपमा,8103:तक्त्वाख्यानोपमा:n:वाख्
acc:तत्त्वपञ्चाशिकायोगचिहू,8572:तत्त्वपञ्चाशिकायोगचिहू:n:इहू
pw:तमितोस्,44710:तमितोस्:n:तोस्
bur:तात्वर्ये,7854:तात्वर्ये:n:र्ये
ccs:तार्तिय,8492:तार्तिय:n:र्ति
acc:तिलभाण्डेश्वर,9091:तिलभाण्डेश्वर:n:डेश्
acc:तुरीयादियन्त्रोद्धार,9136:तुरीयादियन्त्रोद्धार:n:दिय्
vcp:तूतुज्यमानास,23149:तूतुज्यमानास:n:ऊतु
acc:तृतीयचक्रवर्तिलक्षणालोक,9186:तृतीयचक्रवर्तिलक्षणालोक:n:र्ति
acc:तैत्तिरीयश्रुतिवार्तिक,40118:तैत्तिरीयश्रुतिवार्तिक:n:र्ति
bhs:तोदेय,7058:तोदेय:n:ओदे
sch:तोयदर्तु,14810:तोयदर्तु:n:र्तु
acc:त्रिप्रश्नाधिकार,9347:त्रिप्रश्नाधिकार:n:श्ना
pw:त्रिसौवण,47947:त्रिसौवण:n:इसौ
mw72:त्रीणि,21573:त्रीणि:n:ईणि
mw:त्रैकककुभ,88651:त्रैकककुभ:n:रैक्
acc:दक्षिणमूर्तिचन्द्रिका,40150:दक्षिणमूर्तिचन्द्रिका:n:र्ति
acc:दक्षिणमूर्तिसंहिता,40151:दक्षिणमूर्तिसंहिता:n:र्ति
acc:दक्षिणामूर्तिसहस्त्रनामन्,9533:दक्षिणामूर्तिसहस्त्रनामन्:n:र्ति
vcp:दण्डमांनव,24194:दण्डमांनव:n:ंन
pw:दशगाग्र्य,49248:दशगाग्र्य:n:गाग्
acc:दशाधिकशतस्तोत्र,9777:दशाधिकशतस्तोत्र:n:शाध्
