bur:अध्यारुढ,472:अध्यारुढ:n:उढ्
cae:अरोळ्ह,2806:अरोळ्ह:n:ओळ्ह्
ap:आजिझासेन्य,6667:आजिझासेन्य:n:इझ्
pe:कुरङ्ङु,3876:कुरङ्ङु:n:ङु
yat:ढुढ्,16271:ढुढ्:n:उढ्
acc:तिङन्तशेषसंग्रह,9001:तिङन्तशेषसंग्रह:n:ङ
mw:निगुढक,108089:निगुढक:n:उढ्
mw:वोळ्हवे,208142:वोळ्हवे:n:ओळ्ह्
ccs:सर्वानवद्याङ्ङ,26888:सर्वानवद्याङ्ङ:n:ङ
