bhs:अकम्पिय,14:अकम्पिय:n:पिय्
wil:अहिनिम्माक,4886:अहिनिम्माक:n:म्मा
sch:अह्नांपति,6517:अह्नांपति:n:ह्ना
mw72:आक्रोशित,7954:आक्रोशित:n:ओशि
bhs:आचूषयति,2591:आचूषयति:n:आचू
bur:आजिघ्रामि,2090:आजिघ्रामि:n:इघ्र्
sch:आत्मीयीकृत,28107:आत्मीयीकृत:n:त्मी
acc:आनन्दवल्ल्युपनिषद्,1940:आनन्दवल्ल्युपनिषद्:n:ल्यु,ल्ल्य्
acc:आपदुद्धारकवच,39441:आपदुद्धारकवच:n:दुद्
acc:आपदुद्धारबटुक,1964:आपदुद्धारबटुक:n:दुद्
acc:आयासिव्रत,2046:आयासिव्रत:n:सिव्
acc:आयुष्योपाख्यान,2067:आयुष्योपाख्यान:n:ष्यो
acc:आरुणेशतन्त्र,2071:आरुणेशतन्त्र:n:उणे
yat:आरूढसाधियोग,44848:आरूढसाधियोग:n:ढस्
acc:आर्याष्टोत्तर,42162:आर्याष्टोत्तर:n:याष्
sch:आलेखी,7349:आलेखी:n:एखी
pe:इन्द्रषेन,2768:इन्द्रषेन:n:अषे
acc:इन्द्राक्षीपञ्चाङ्ग,2335:इन्द्राक्षीपञ्चाङ्ग:n:षीप्
pwg:इल्लीस,67326:इल्लीस:n:लीस्
acc:उत्तरवल्ल्युपनिषद्,2511:उत्तरवल्ल्युपनिषद्:n:ल्यु,ल्ल्य्
bhs:उत्पाण्डूत्पाण्डु,3435:उत्पाण्डूत्पाण्डु:n:ऊत्प्
bur:उत्प्लवे,2882:उत्प्लवे:n:त्प्ल्
pwg:उद्बोधिनी,67983:उद्बोधिनी:n:द्बो
pui:उन्नेता,1817:उन्नेता:n:न्ने
bur:उपगूहामि,3088:उपगूहामि:n:ऊहा
bur:उपसीदामि,3245:उपसीदामि:n:ईदा
bhs:उलुविल्लिका,3916:उलुविल्लिका:n:लुव्
vcp:उल्काप्रुख,10123:उल्काप्रुख:n:रुख्
sch:ऊहापोहसमर्थ,8983:ऊहापोहसमर्थ:n:ऊहा
sch:एकस्थालीसहाय,9180:एकस्थालीसहाय:n:लीस्
mw:एकाह्ना,39908:एकाह्ना:n:ह्ना
bur:ओतासे,3700:ओतासे:n:ओता
bhs:ओभाससागरवियूह,2123:ओभाससागरवियूह:n:इयू
bhs:ओशटुक,4244:ओशटुक:n:शट्
bhs:ओशिरति,4246:ओशिरति:n:ओशि
acc:ककारादिकालीसहस्रनामन्,3125:ककारादिकालीसहस्रनामन्:n:लीस्
acc:कठवल्ल्युपनिषद्,3151:कठवल्ल्युपनिषद्:n:ल्यु,ल्ल्य्
acc:कठश्रुत्युपनिषद्,3152:कठश्रुत्युपनिषद्:n:ठश्
acc:कण्ठश्रुत्युपनिषद्,3171:कण्ठश्रुत्युपनिषद्:n:ठश्
mw:कफान्तिक,43722:कफान्तिक:n:अफा
pwg:करेजण,69815:करेजण:n:रेज्
acc:कलिधर्मप्रकरण,3426:कलिधर्मप्रकरण:n:लिध्
pw:कलियुगालय,25551:कलियुगालय:n:लिय्
bhs:कल्पिय,4609:कल्पिय:n:पिय्
bhs:कल्पीकरोति,4610:कल्पीकरोति:n:पीक्
acc:कविकरपट्टी,3527:कविकरपट्टी:n:ट्टी
acc:कष्टावलीजातक,3618:कष्टावलीजातक:n:लीज्
acc:कांहडसूनु,3626:कांहडसूनु:n:हड्
acc:काकमैथुनफल,42473:काकमैथुनफल:n:नफ्
vcp:काकाक्षिगोलकन्याय,12794:काकाक्षिगोलकन्याय:n:षिग्
acc:कामाक्षीपञ्चशतक,42515:कामाक्षीपञ्चशतक:n:षीप्
acc:कारकोल्लास,3853:कारकोल्लास:n:ओल्ल्
vcp:कालियह्नद,13438:कालियह्नद:n:लिय्
mw:कालियारि,49320.1:कालियारि:n:लिय्
