acc:कायस्थोत्पत्तिकाचित्रगुप्तकथा,32093:कायस्थोत्पत्तिकाचित्रगुप्तकथा:n:स्थो
pw:कारिकेयीय्,26849:कारिकेयीय्:n:यीय्
acc:कारुण्यलहरीस्तव,32106:कारुण्यलहरीस्तव:n:ईस्त्
acc:कार्तवीर्याजुनस्तोत्र,3904:कार्तवीर्याजुनस्तोत्र:n:आजु
pui:कार्ता,2865:कार्ता:n:र्ता
sch:कार्तान्त,10451:कार्तान्त:n:र्ता
sch:काष्ठायते,28498:काष्ठायते:n:ठाय्
sch:किक्विट,10607:किक्विट:n:क्वि
mw:कुक्कुट्यादि,51363:कुक्कुट्यादि:n:उट्य्
pui:कुमुदेक्षन,3214:कुमुदेक्षन:n:देक्
bhs:कुलज्येष्ठापचायक,5017:कुलज्येष्ठापचायक:n:ठाप्
pwg:कृमावन्तु,71398:कृमावन्तु:n:ऋमा
sch:कौनाल,11443:कौनाल:n:औना
ccs:क्रतुय्,5514:क्रतुय्:n:तुय्
stc:क्लीबयते,8447:क्लीबयते:n:बय्
sch:क्वाथीभू,11575:क्वाथीभू:n:थीभ्,आथी
md:क्विप्,6509:क्विप्:n:क्वि
ccs:क्षिपिभृत्,5714:क्षिपिभृत्:n:पिभ्
skd:क्षुरमर्दी,9746:क्षुरमर्दी:n:र्दी
mw:खिमिडी,61938:खिमिडी:n:मिड्
sch:गर्भीकृत,12197:गर्भीकृत:n:र्भी
pui:गाथी,4141:गाथी:n:आथी
acc:गायत्रीत्रिपदीपञ्चाङ्ग,5895:गायत्रीत्रिपदीपञ्चाङ्ग:n:ईत्र्
skd:गावौ,10875:गावौ:n:आवौ
pui:गृद्ध्रका,4273:गृद्ध्रका:n:गृद्
pe:गृद्ध्रकूट,2509:गृद्ध्रकूट:n:गृद्
pe:गृद्ध्रपत्र,2510:गृद्ध्रपत्र:n:गृद्
pe:गृद्ध्रवट,2511:गृद्ध्रवट:n:गृद्
pe:गृद्ध्रिका,2512:गृद्ध्रिका:n:गृद्
pe:गोविकर्ता,2496:गोविकर्ता:n:र्ता
