acc:अतएवचतुष्टयीरहस्य,257:अतएवचतुष्टयीरहस्य:n:अए
bur:अतिछन्दा,284:अतिछन्दा:n:इछ्
acc:अब्बयाचरण,921:अब्बयाचरण:n:ब्ब्
bur:अभिमूर्छामि,1134:अभिमूर्छामि:n:र्छ्
bur:अभिष्टौमि,1185:अभिष्टौमि:n:टौ
yat:उदयपब्बत,6394:उदयपब्बत:n:ब्ब्
acc:उद्गात्रादिछन्दोगप्रयोग,2599:उद्गात्रादिछन्दोगप्रयोग:n:इछ्
acc:ऋषिछन्दआदिनिर्णय,2918:ऋषिछन्दआदिनिर्णय:n:इछ्
acc:ऋषिछन्दोदेवतापरिशिष्ट,2919:ऋषिछन्दोदेवतापरिशिष्ट:n:इछ्
acc:ऋषिछन्दोनुक्रमणिका,2920:ऋषिछन्दोनुक्रमणिका:n:इछ्
mw72:औलपोइ,13201:औलपोइ:n:ओइ
inm:कौबेर्य,5505:कौबेर्य:n:औब्
pwg:गुआसीर,72796:गुआसीर:n:उआ
acc:गुब्बिमल्लण्ण,17005:गुब्बिमल्लण्ण:n:ब्ब्
acc:चण्डीस्तवमन्त्रपरिछेद,6949:चण्डीस्तवमन्त्रपरिछेद:n:इछ्
bur:चिछर्दिषामि,6621:चिछर्दिषामि:n:इछ्
acc:चिछुदैवज्ञ,7327:चिछुदैवज्ञ:n:इछ्
pwg:टौट,28231:टौट:n:टौ
sch:तिलतुआ,14605:तिलतुआ:n:उआ
pw:त्रिसएण,47908:त्रिसएण:n:अए
acc:धर्मप्रमाणपरिछेद,33816:धर्मप्रमाणपरिछेद:n:इछ्
ccs:निशिछद्र,12509:निशिछद्र:n:इछ्
bhs:परिछिनत्ती,8991:परिछिनत्ती:n:इछ्
bur:परिछिनद्मि,10573:परिछिनद्मि:n:इछ्
acc:पिछिलातन्त्र,13448:पिछिलातन्त्र:n:इछ्
acc:पुत्रपरिग्रहसंशयोद्भेदपरिछेद,34597:पुत्रपरिग्रहसंशयोद्भेदपरिछेद:n:इछ्
mw:पुष्पाब्बिकीर्ण,127201:पुष्पाब्बिकीर्ण:n:ब्ब्
bhs:बब्बड,10853:बब्बड:n:ब्ब्
ap:बब्बु,24436:बब्बु:n:ब्ब्
sch:बिब्बोकिनी,20243:बिब्बोकिनी:n:ब्ब्
mw72:मूर्छयित्वा,37655:मूर्छयित्वा:n:र्छ्
acc:मूर्छाखान्,18109:मूर्छाखान्:n:र्छ्
ccs:राउजभट,20313:राउजभट:n:आउ
acc:रामनाथचौबे,20106:रामनाथचौबे:n:औब्
acc:विछिन्नाधान,22132:विछिन्नाधान:n:इछ्
sch:विब्बोकिनी,23984:विब्बोकिनी:n:ब्ब्
acc:विश्वनाथचौबे,22744:विश्वनाथचौबे:n:औब्
bur:विष्टौमि,15891:विष्टौमि:n:टौ
acc:वेङ्कटसुब्बाशास्त्रिन्,23380:वेङ्कटसुब्बाशास्त्रिन्:n:ब्ब्
acc:शण्ठकण्ठमणिछलरीय,24504:शण्ठकण्ठमणिछलरीय:n:इछ्
acc:षएमतनाटक,47487:षएमतनाटक:n:अए
acc:षट्कारकप्रतिछन्दक,26367:षट्कारकप्रतिछन्दक:n:इछ्
pe:समाधिछेट्टि,6028:समाधिछेट्टि:n:इछ्
pe:सरस्वत्यर्णुआसङ्गम,6301:सरस्वत्यर्णुआसङ्गम:n:उआ
acc:सहवाउपनिषद्,27578:सहवाउपनिषद्:n:आउ
acc:सामवेदस्यब्राह्मणान्यष्टौ,27749:सामवेदस्यब्राह्मणान्यष्टौ:n:टौ
ccs:सुपल्श,27879:सुपल्श:n:ल्श्
pwg:सुलइणक,111403:सुलइणक:n:अइ
pui:सौबुधि,16834:सौबुधि:n:औब्
