md:अकस्मादागन्तु,65:अकस्मादागन्तु:n:दाग्
gst:अभिषावकीय्,6434:अभिषावकीय्:n:षाव्
sch:अभ्यर्णीभू,4266:अभ्यर्णीभू:n:णीभ्
acc:अभ्यागताचार,1000:अभ्यागताचार:n:ताच्
gst:अभ्याशादागत,6763:अभ्याशादागत:n:दाग्
acc:अमलिग्राममाहात्म्य,1039:अमलिग्राममाहात्म्य:n:लिग्
sch:अम्बुजवती,4558:अम्बुजवती:n:बुज्
sch:अम्बुजाकर,4560:अम्बुजाकर:n:बुज्,जाक्
sch:अम्बुजासन,4563:अम्बुजासन:n:बुज्,जास्
sch:अम्बुजीयति,4566:अम्बुजीयति:n:बुज्
sch:अम्बुदागम,4569:अम्बुदागम:n:दाग्
acc:अयणाचार्यसूनु,30095:अयणाचार्यसूनु:n:णाच्
mw:अयाचिताहृत,14842:अयाचिताहृत:n:ताह्
pw:अरीश्व,9133:अरीश्व:n:रीश्
acc:अरुणाचलमाहात्म्य,1124:अरुणाचलमाहात्म्य:n:णाच्
acc:अरुणाचलस्तोत्र,1125:अरुणाचलस्तोत्र:n:णाच्
sch:अर्थभासिनी,4901:अर्थभासिनी:n:थभ्
mw:अर्थापेक्ष,16031.1:अर्थापेक्ष:n:र्था
sch:अलकाधीश,5046:अलकाधीश:n:काध्
acc:अलंकारेश्वर,1260:अलंकारेश्वर:n:रेश्
sch:अशस्तार्थान्तर,5808:अशस्तार्थान्तर:n:र्था
mw:अशोकेश्वर,19684.2:अशोकेश्वर:n:ओके
acc:अष्टकान्वष्टकाश्राद्धप्रयोग,1405:अष्टकान्वष्टकाश्राद्धप्रयोग:n:धप्
pe:अष्टरागादिस्,542:अष्टरागादिस्:n:गाद्
pe:अष्टविधप्रकृत्यवस्था,550:अष्टविधप्रकृत्यवस्था:n:धप्
acc:अष्टश्राद्धविधानविधि,1428:अष्टश्राद्धविधानविधि:n:टश्
acc:अष्टादशवर्णनसंग्रह,1446:अष्टादशवर्णनसंग्रह:n:टाद्
sch:अष्टावधानिन्,6015:अष्टावधानिन्:n:टाव्
pui:अष्टाविंशतितममनु,1052:अष्टाविंशतितममनु:n:टाव्
acc:अष्टोत्तरजातकी,1464:अष्टोत्तरजातकी:n:टोत्,ष्टो
acc:अष्टोत्तरशतनामस्तोत्र,1468:अष्टोत्तरशतनामस्तोत्र:n:टोत्,ष्टो
acc:अष्टोत्तरशतस्थलमाहात्म्य,1470:अष्टोत्तरशतस्थलमाहात्म्य:n:टोत्,ष्टो
acc:अष्टोत्तरशतस्थलश्लोक,1471:अष्टोत्तरशतस्थलश्लोक:n:टोत्,ष्टो
acc:अष्टोत्तरीकामधेनुपद्धति,1473:अष्टोत्तरीकामधेनुपद्धति:n:टोत्,ष्टो
pe:अष्टोपाय,555:अष्टोपाय:n:ष्टो
sch:अष्टोली,6026:अष्टोली:n:ष्टो
bhs:असङ्गमुखप्रवेशा,2403:असङ्गमुखप्रवेशा:n:खप्
yat:असदाग्र,44756:असदाग्र:n:दाग्
sch:असभ्यार्थान्तर,6146:असभ्यार्थान्तर:n:र्था
pw:अस्पष्टोपाधि,12969:अस्पष्टोपाधि:n:ष्टो
pwg:आकशायेय,7790:आकशायेय:n:आये
pwg:आकषायेय,66053:आकषायेय:n:आये
bhs:आकाशधातुविपुल,2522:आकाशधातुविपुल:n:तुव्
sch:आकाशीभू,6571:आकाशीभू:n:शीभ्
acc:आकुलागमयोगशास्त्र,42047:आकुलागमयोगशास्त्र:n:लाग्,गश्
pui:आग्नायि,1149:आग्नायि:n:ग्ना
bhs:आजवंजवीभाव,2601:आजवंजवीभाव:n:वीभ्,ईभा
sch:आजवञ्जवीभाव,6735:आजवञ्जवीभाव:n:वीभ्,ईभा
bhs:आजावंजव,2603:आजावंजव:n:जाव्
skd:आततायी,3342:आततायी:n:आयी
skd:आतायी,3351:आतायी:n:आयी
sch:आदर्शावेक्षण,6882:आदर्शावेक्षण:n:र्शा
acc:आदित्यन्यासवर्णपूजास्तोत्र,1793:आदित्यन्यासवर्णपूजास्तोत्र:n:जास्
pwg:आदीधक,118754:आदीधक:n:ईध
acc:आनन्दतिलकभाण,1896:आनन्दतिलकभाण:n:कभ्
ap90:आनायेन्,6303:आनायेन्:n:आये
pwg:आनुयाजावर,8645:आनुयाजावर:n:जाव्
bhs:आन्तःपुर,2756:आन्तःपुर:n:ःपु
ap90:आंतर्गेहिक,6355:आंतर्गेहिक:n:र्गे
mw:आन्त्रीमुख,24712.1:आन्त्रीमुख:n:ईमु
mw:आन्धास्वर,24725.1:आन्धास्वर:n:धास्
acc:आयुधपूजाप्रयोग,2047:आयुधपूजाप्रयोग:n:धप्
yat:आरषास्त्र,44845:आरषास्त्र:n:षास्
mw:आलिगव्यायनी,26824.1:आलिगव्यायनी:n:लिग्
mw:आशीर्वचनाक्षेप,27472:आशीर्वचनाक्षेप:n:ईर्व्
mw:आशोका,27579:आशोका:n:आशो
acc:इष्टोपदेश,42221:इष्टोपदेश:n:ष्टो
mw:इहलोके,29677:इहलोके:n:ओके
mw:ईशानाधिपा,29871:ईशानाधिपा:n:ईशा
gra:उक्थशिष्म,1841:उक्थशिष्म:n:थश्
acc:उग्ररथशान्तिकल्पप्रयोग,30239:उग्ररथशान्तिकल्पप्रयोग:n:थश्
acc:उग्ररथशान्तिप्रयोग,30240:उग्ररथशान्तिप्रयोग:n:थश्
mw:उच्छ्रायी,30469:उच्छ्रायी:n:आयी
sch:उत्तंसीकृत,8039:उत्तंसीकृत:n:सीक्
pui:उत्तरेश्वर,1734:उत्तरेश्वर:n:रेश्
acc:उत्सर्गेष्टिपूर्वकपुनराधेयप्रयोग,42263:उत्सर्गेष्टिपूर्वकपुनराधेयप्रयोग:n:र्गे
acc:उत्सर्गेष्टिप्रयोग,2542:उत्सर्गेष्टिप्रयोग:n:र्गे
pui:उद्दब,1796:उद्दब:n:दब्
acc:उपदेशसहस्रक्रतुव्याख्या,2657:उपदेशसहस्रक्रतुव्याख्या:n:तुव्
