sch:अचन्द्रार्कग्रह,680:अचन्द्रार्कग्रह:n:कग्
acc:तत्त्वत्रयचुलुकार्थसंग्रह,8545:तत्त्वत्रयचुलुकार्थसंग्रह:n:अचु
acc:तत्त्वदीपप्रकाशावरणभङ्ग,8558:तत्त्वदीपप्रकाशावरणभङ्ग:n:णभ्
mw:तत्संस्कारार्थत्व,81951:तत्संस्कारार्थत्व:n:थत्
sch:तथत,14228:तथत:n:थत्
bhs:तथता,6805:तथता:n:थत्
bhs:तथत्व,6808:तथत्व:n:थत्
acc:तदादिसर्वनामविचार,8687:तदादिसर्वनामविचार:n:दिस्
acc:ताजिकग्रन्थमणित्थ,8868:ताजिकग्रन्थमणित्थ:n:कग्
acc:तुलापुरुषमहादानप्रयोग,9175:तुलापुरुषमहादानप्रयोग:n:हाद्
acc:तृतीयप्रगल्भलक्षणविवेचन,9190:तृतीयप्रगल्भलक्षणविवेचन:n:ल्भ
acc:तृतीयप्रगल्भलक्षणानुगम,9191:तृतीयप्रगल्भलक्षणानुगम:n:ल्भ
acc:तृतीयाव्रतकथा,9197:तृतीयाव्रतकथा:n:आव्र्
pwg:त्वङ्मनोयोगस्य,75411:त्वङ्मनोयोगस्य:n:ओयो,नोय्
acc:दक्षिणकालीपुरमाहात्म्य,9508:दक्षिणकालीपुरमाहात्म्य:n:ईपु
acc:दर्शपूर्णमासादिसूत्र,9685:दर्शपूर्णमासादिसूत्र:n:दिस्
skd:दशाकर्षी,16124:दशाकर्षी:n:र्षी
acc:दशाङ्गललिताव्रत,9775:दशाङ्गललिताव्रत:n:आव्र्
pw:दाक्षिकर्षीय,49538:दाक्षिकर्षीय:n:र्षी
acc:दाहादिकर्मपद्धति,33636:दाहादिकर्मपद्धति:n:हाद्
skd:दुर्नामा,16706:दुर्नामा:n:र्ना
inm:दैतेयापसद,2984:दैतेयापसद:n:एया,ऐते
mci:दैतेयास्त्र,495:दैतेयास्त्र:n:एया,ऐते
bhs:धरणीनिर्नादघोष,7697:धरणीनिर्नादघोष:n:र्ना
bhs:धर्मधातुसिंहप्रभ,7769:धर्मधातुसिंहप्रभ:n:उसि
bhs:धर्मधातुस्वरकेतु,7771:धर्मधातुस्वरकेतु:n:उस्व्
bhs:धर्मधातुस्वरघोष,7772:धर्मधातुस्वरघोष:n:उस्व्
vcp:नगरादिसन्निवेश,27810:नगरादिसन्निवेश:n:दिस्
mw:नातिप्रचुरपद्यवत्,102675.33:नातिप्रचुरपद्यवत्:n:अचु
ap90:नितंबवत्,16703:नितंबवत्:n:बव्
bhs:निर्दारयितर्,8384:निर्दारयितर्:n:र्दा
cae:निर्नास,16737:निर्नास:n:र्ना
mw72:निर्वत्सशिशुपुङ्गव,25526:निर्वत्सशिशुपुङ्गव:n:उपु
ben:पगल्भता,9365:पगल्भता:n:ल्भ
vcp:पङ्कग्राहृ,29992:पङ्कग्राहृ:n:कग्
vcp:पञ्चजीरकगुड,30070:पञ्चजीरकगुड:n:कग्
acc:पञ्चमाश्रमविधि,34314:पञ्चमाश्रमविधि:n:माश्
mw:परामर्शकर्यकारणभावविचार,116900.04:परामर्शकर्यकारणभावविचार:n:णभ्
bhs:परिभोगीय,9111:परिभोगीय:n:ओगी
bur:परिमर्दामि,10656:परिमर्दामि:n:र्दा
mw:पशुपुरोडाशमिमंसा,120611:पशुपुरोडाशमिमंसा:n:उपु
bhs:पारिभोगीय,9447:पारिभोगीय:n:ओगी
pwg:पार्दायन,44820:पार्दायन:n:र्दा
sch:पुङ्खानुपुङ्ख,18610:पुङ्खानुपुङ्ख:n:उपु
acc:पुरहादिपताकाचक्रान्तयोग,40421:पुरहादिपताकाचक्रान्तयोग:n:हाद्
mw:पृथिव्याव्रत,128472:पृथिव्याव्रत:n:आव्र्
pui:पृथुर्दान,8320:पृथुर्दान:n:र्दा
mw:प्रचुरच्छल,130739:प्रचुरच्छल:n:अचु
mw:प्रचुरनित्यधनागम,130742:प्रचुरनित्यधनागम:n:अचु
mw:प्रचुररत्नधनागम,130747:प्रचुररत्नधनागम:n:अचु
bhs:प्रतिजृम्भिता,9975:प्रतिजृम्भिता:n:इजृ
bur:प्रतिसम्बोधे,11708:प्रतिसम्बोधे:n:ओधे
acc:प्रथमप्रगल्भलक्षणरहस्य,14122:प्रथमप्रगल्भलक्षणरहस्य:n:ल्भ
acc:प्रथमप्रगल्भलक्षणालोक,14123:प्रथमप्रगल्भलक्षणालोक:n:ल्भ
mw:प्रदेया,134687:प्रदेया:n:एया
pui:प्रमानज्ञस्,8639:प्रमानज्ञस्:n:ञस्
bhs:प्रविकत्थते,10510:प्रविकत्थते:n:थत्
bhs:प्रविजृम्भिता,10519:प्रविजृम्भिता:n:इजृ
vcp:प्राचीनयोगिनीपुत्र,34574:प्राचीनयोगिनीपुत्र:n:ईपु
shs:प्राणभात्वत्,27805:प्राणभात्वत्:n:णभ्
sch:प्रालेयाचल,19797:प्रालेयाचल:n:एया
stc:प्रेयांस्,15701:प्रेयांस्:n:एया
skd:प्रेयान्,23598:प्रेयान्:n:एया
ap90:बंधुदा,21565:बंधुदा:n:धुद्
mw:बन्धुपुष्पमाल,142766:बन्धुपुष्पमाल:n:धुप्,उपु
bur:बभौ,12415:बभौ:n:अभौ
pw:बम्बविश्रवयस्,75855:बम्बविश्रवयस्:n:बव्
bhs:बलान्तीपुत्र,10875:बलान्तीपुत्र:n:ईपु
vcp:बवदरीपत्र,35236:बवदरीपत्र:n:बव्
mw:बहादुर,144086:बहादुर:n:हाद्
mw:बहुदर्शिता,143612:बहुदर्शिता:n:हुद्
pw:बहुदलकणिश,76330:बहुदलकणिश:n:हुद्
mw:बहुदलकनिश,143613:बहुदलकनिश:n:हुद्
mw:बहुदासपूरुष,143620:बहुदासपूरुष:n:हुद्
pw:बहुदुग्धवती,76338:बहुदुग्धवती:n:हुद्
mw:बहुदेशदर्शिन्,143631:बहुदेशदर्शिन्:n:हुद्
mw:बाहुदन्तिपुत्र,145026:बाहुदन्तिपुत्र:n:हुद्
acc:भट्टचुणितक,7441:भट्टचुणितक:n:अचु
pgn:भद्रपुष्करकग्राम,391:भद्रपुष्करकग्राम:n:कग्
inm:भरतर्षभौ,1361:भरतर्षभौ:n:अभौ
mw:भागवततत्त्वदिपप्रकाशावरणभङ्ग,149614:भागवततत्त्वदिपप्रकाशावरणभङ्ग:n:णभ्
acc:मकारादिसहस्रनामस्तोत्र,45390:मकारादिसहस्रनामस्तोत्र:n:दिस्
vcp:मङ्गल्यतामधेया,37240:मङ्गल्यतामधेया:n:एया
bhs:मंजरीजातक,11405:मंजरीजातक:n:रीज्
mw:मदनवह्निशिखावली,155549:मदनवह्निशिखावली:n:खाव्
mw:मधुप्रतीका,155955:मधुप्रतीका:n:धुप्
mw:मधुप्रसङ्गमधु,155958:मधुप्रसङ्गमधु:n:धुप्
mw:मध्वाह्णिक,156623:मध्वाह्णिक:n:ह्णि
ap90:मंदीभू,22680:मंदीभू:n:दीभ्
skd:मलाकर्षी,26455:मलाकर्षी:n:र्षी
acc:महादेवपरिचर्याप्रयोग,35564:महादेवपरिचर्याप्रयोग:n:हाद्
acc:महादेवपरिचर्यासूत्र,35565:महादेवपरिचर्यासूत्र:n:हाद्
pui:महादेवाभिषेक,10339:महादेवाभिषेक:n:हाद्
bhs:महानिर्नादिन्,11740:महानिर्नादिन्:n:र्ना
acc:महाभारतसूचिकाविद्वद्विनोदिनी,45570:महाभारतसूचिकाविद्वद्विनोदिनी:n:हाभ्
mw:महाभारतोद्धृतसारश्लोक,160245.5:महाभारतोद्धृतसारश्लोक:n:हाभ्
acc:महाभास्करीयकर्मनिबन्धन,45572:महाभास्करीयकर्मनिबन्धन:n:हाभ्
mw:महाभिनिष्क्रमण,160256:महाभिनिष्क्रमण:n:हाभ्
mw:महाभिमान,160257:महाभिमान:n:हाभ्
bhs:महाभूतसमतासाधन,11788:महाभूतसमतासाधन:n:हाभ्
mw:महाव्रतवेषभृत्,160867:महाव्रतवेषभृत्:n:आव्र्
ccs:महाव्राह्मण,18426:महाव्राह्मण:n:आव्र्
pui:महेन्द्रभौमस्,10522:महेन्द्रभौमस्:n:अभौ
acc:मातृकागुणभूषण,35669:मातृकागुणभूषण:n:णभ्
sch:मुखावयवता,21783:मुखावयवता:n:खाव्
sch:मुखावरण,21784:मुखावरण:n:खाव्
mw72:म्लिलष्ट,38231:म्लिलष्ट:n:लष्
pui:यज्ञसूनव,11164:यज्ञसूनव:n:ञस्
acc:यात्राविवाहाद्युपाय,45863:यात्राविवाहाद्युपाय:n:हाद्
