acc:अक्षोभ्यतन्त्रे,41695:अक्षोभ्यतन्त्रे:n:ओभ्य्
pwg:इपाहण,67300:इपाहण:n:पाह्
sch:उत्कंधरीभू,7980:उत्कंधरीभू:n:ईभू
bur:उत्कृन्तामि,2836:उत्कृन्तामि:n:त्कृ
bhs:उत्कृष्टतरक,3334:उत्कृष्टतरक:n:त्कृ
acc:उत्तरपाराशर्यभाष्य,2503:उत्तरपाराशर्यभाष्य:n:आष्य्
pw:उत्पांसय्,18416:उत्पांसय्:n:सय्
mw:उत्पिञ्जरीभूत,31741:उत्पिञ्जरीभूत:n:ईभू
bhs:उत्सिष्ट,3470:उत्सिष्ट:n:त्सि
pe:उदापेक्षी,7656:उदापेक्षी:n:दाप्,आपे
mw:उदीरितेन्द्रिय,32689:उदीरितेन्द्रिय:n:इते
bur:उद्गच्छानि,2955:उद्गच्छानि:n:गच्
pw:उद्धन्तवै,19053:उद्धन्तवै:n:अवै
sch:उद्भरीभू,8393:उद्भरीभू:n:ईभू
pw:उपकल्पयितवै,19392:उपकल्पयितवै:n:अवै
ap:उपद्रबिन्,9595:उपद्रबिन्:n:अबि
sch:उपलक्षितवैशिष्यज्ञान,8640:उपलक्षितवैशिष्यज्ञान:n:अवै
bhs:उपविचिनोति,3785:उपविचिनोति:n:नोत्
acc:उपाधिलक्षणपूर्वपक्षरहस्य,2757:उपाधिलक्षणपूर्वपक्षरहस्य:n:धिल्
acc:उपाध्याभासरहस्य,2771:उपाध्याभासरहस्य:n:याभ्
pw:उपायोपन्यास,20351:उपायोपन्यास:n:योप्
sch:उमामहेश्वरायमाण,8802:उमामहेश्वरायमाण:n:हेश्
bhs:ऋषितपस्तप्ता,4022:ऋषितपस्तप्ता:n:प्ता
sch:एकत्रीभू,9072:एकत्रीभू:n:ईभू
sch:एकद्व्यन्तरत्र्यन्तराशिन्,9083:एकद्व्यन्तरत्र्यन्तराशिन्:n:द्व्य्
acc:एकवर्णार्थसंग्रह,2959:एकवर्णार्थसंग्रह:n:णार्
acc:एकाम्बरनाथसोमयाजिन्,3012:एकाम्बरनाथसोमयाजिन्:n:असो
bhs:ओभासयन्त,2119:ओभासयन्त:n:सय्
sch:कणत्कृति,9571:कणत्कृति:n:त्कृ
acc:कपालीशस्थलमाहात्म्य,42404:कपालीशस्थलमाहात्म्य:n:लीश्
acc:करुणामृतस्तोत्र,3309:करुणामृतस्तोत्र:n:आमृ
acc:कर्मविपाकचिकित्सामृतसागर,3379:कर्मविपाकचिकित्सामृतसागर:n:आमृ
bhs:कहापण,4648:कहापण:n:हाप्
sch:कह्र,10247:कह्र:n:अह्र्
vcp:कायाकाशसम्बन्धसयम,13150:कायाकाशसम्बन्धसयम:n:सय्
pw:कारणार्थ,26801:कारणार्थ:n:णार्
pw:कालात्ययोपदिष्ट,27329:कालात्ययोपदिष्ट:n:योप्
acc:कालीमत्तमयूराष्टक,39632:कालीमत्तमयूराष्टक:n:ऊरा
acc:काव्योपदेश,4139:काव्योपदेश:n:योप्
sch:किरातेन,10653:किरातेन:n:आते
sch:कुण्डमाण्डहोमविधि,10781:कुण्डमाण्डहोमविधि:n:डह्
inm:कुलिन्दाधिपति,6089:कुलिन्दाधिपति:n:दाध्
pw:कुसयसर्पिस्,29531:कुसयसर्पिस्:n:सय्
vcp:कुसुमोच्चय,14501:कुसुमोच्चय:n:उमो
acc:कूर्मपूराण,42714:कूर्मपूराण:n:ऊरा
acc:कृष्णतत्त्वामृत,4699:कृष्णतत्त्वामृत:n:आमृ
acc:कृष्णामृततरङ्गिका,4848:कृष्णामृततरङ्गिका:n:आमृ
acc:कृष्णाराधनसंक्षेपपद्धति,4851:कृष्णाराधनसंक्षेपपद्धति:n:णार्
acc:कृष्णार्जुनसंवाद,32320:कृष्णार्जुनसंवाद:n:णार्
acc:कृष्णार्जुनीय,4856:कृष्णार्जुनीय:n:णार्
acc:कृष्णाह्निककौमुदी,4871:कृष्णाह्निककौमुदी:n:अकौ
acc:कौकिलीपयोग्रहप्रयोग,5133:कौकिलीपयोग्रहप्रयोग:n:ओग्र्
vcp:क्रियाभ्यावृत्ति,15554:क्रियाभ्यावृत्ति:n:याभ्
acc:क्षत्रियाभिषेकमन्त्र,5284:क्षत्रियाभिषेकमन्त्र:n:याभ्
acc:क्षत्रियोपनयनप्रयोग,5285:क्षत्रियोपनयनप्रयोग:n:योप्
mw:क्षीणार्थ,59481:क्षीणार्थ:n:णार्
mw:खड्गचर्मधर,61011:खड्गचर्मधर:n:गच्
sch:खणत्कृति,11811:खणत्कृति:n:त्कृ
pw:खरतगच्छ,33494:खरतगच्छ:n:गच्
pui:ख्यातेयस्,3962:ख्यातेयस्:n:आते
sch:गच्छान्तर्गत,11971:गच्छान्तर्गत:n:गच्
acc:गणककुमुदकौमुदी,5562:गणककुमुदकौमुदी:n:अकौ
acc:गणपतिमहापूजन,42956:गणपतिमहापूजन:n:हाप्
acc:गदाधरी,5781:गदाधरी:n:दाध्
acc:गदाधरीयानुगम,5783:गदाधरीयानुगम:n:दाध्
pui:गन्धाकर्षणीका,4046:गन्धाकर्षणीका:n:धाक्
shs:गवोद्व,13413:गवोद्व:n:ओद्व्
bhs:गुणसुमेरुप्रभतेज,5772:गुणसुमेरुप्रभतेज:n:उमे
acc:गुह्यातिगुह्यतन्त्रे,6140:गुह्यातिगुह्यतन्त्रे:n:ह्या
bhs:गुह्याधिपति,5817:गुह्याधिपति:n:ह्या
yat:गृहापकरण,13344:गृहापकरण:n:हाप्
pw:गृहावगृहणी,36316:गृहावगृहणी:n:अगृ
acc:गौडपादीयभाष्य,6628:गौडपादीयभाष्य:n:आष्य्
acc:गौतमीयवैष्णवधर्म,6656:गौतमीयवैष्णवधर्म:n:अवै
acc:गौरगदाधराष्टक,39875:गौरगदाधराष्टक:n:दाध्
acc:गौरभावामृत,43215:गौरभावामृत:n:आमृ
acc:ग्रहयज्ञामृत,6755:ग्रहयज्ञामृत:n:आमृ
acc:ग्रहेश्वर,6792:ग्रहेश्वर:n:हेश्
mw:ग्राह्या,68791:ग्राह्या:n:ह्या
acc:ग्राह्यायणसूत्र,6798:ग्राह्यायणसूत्र:n:ह्या
mw:घनोत्तर,69567:घनोत्तर:n:नोत्
vcp:चक्रवाते,19025:चक्रवाते:n:आते
acc:चतुर्वगचिन्तामणि,7011:चतुर्वगचिन्तामणि:n:गच्
sch:चलितेन्द्रिय,13164:चलितेन्द्रिय:n:इते
acc:चिकित्साशतश्लोक,7315:चिकित्साशतश्लोक:n:साश्
bhs:चिकित्सिका,6230:चिकित्सिका:n:त्सि
acc:चित्तपावनोत्पत्ति,7333:चित्तपावनोत्पत्ति:n:नोत्
bhs:चित्तोत्पाद,6252:चित्तोत्पाद:n:त्तो
bhs:चित्तोत्पादिक,6253:चित्तोत्पादिक:n:त्तो
acc:चित्रानुबोध,39938:चित्रानुबोध:n:उबो
shs:चिरचीविन्,15251:चिरचीविन्:n:अची
acc:चैतन्यचन्द्रामृत,43417:चैतन्यचन्द्रामृत:n:आमृ
acc:चैतन्यन्यचन्द्रामृत,30739:चैतन्यन्यचन्द्रामृत:n:आमृ
acc:चैतन्यविलासामृत,43423:चैतन्यविलासामृत:n:आमृ
sch:च्युत्युपपत्ति,13492:च्युत्युपपत्ति:n:उत्य्
bur:जज्ञे,6977:जज्ञे:n:जज्
pw:जनयितवै,41534:जनयितवै:n:अवै
acc:जपागायत्रीसंकल्प,7806:जपागायत्रीसंकल्प:n:पाग्
acc:जयसोमगणि,7923:जयसोमगणि:n:असो
acc:जयाभिषेकप्रयोग,43510:जयाभिषेकप्रयोग:n:याभ्
acc:जातकामृत,8027:जातकामृत:n:आमृ
ccs:जेश,5395:जेश:n:जेश्
bhs:ज्ञानसंभारोद्गत,6703:ज्ञानसंभारोद्गत:n:ओद्ग्
acc:ज्योतिषकौमुदीप्रश्नप्रकरण,8339:ज्योतिषकौमुदीप्रश्नप्रकरण:n:अकौ
acc:ज्वरादिरोगचिकित्सा,8417:ज्वरादिरोगचिकित्सा:n:गच्
acc:तत्त्वामृतधर्मशास्त्र,8666:तत्त्वामृतधर्मशास्त्र:n:आमृ
acc:तत्त्वामृतसारोद्धार,8668:तत्त्वामृतसारोद्धार:n:आमृ
bhs:तथागतमहाकरुणानिर्देश,6818:तथागतमहाकरुणानिर्देश:n:थाग्
mw:तप्तान्न,82852:तप्तान्न:n:प्ता
vcp:तप्तायनी,22184:तप्तायनी:n:प्ता
sch:तर्पयितवै,14392:तर्पयितवै:n:अवै
acc:ताजिकालंकार,8894:ताजिकालंकार:n:ताज्
acc:ताराक्षोभ्यसंवाद,8947:ताराक्षोभ्यसंवाद:n:ओभ्य्
sch:ताराधिभू,14501:ताराधिभू:n:धिभ्
acc:तित्तोक,9006:तित्तोक:n:त्तो
mw:तुल्याभिधान,86204.1:तुल्याभिधान:n:याभ्
inm:तृप्तातृप्तविचारिन्,11004:तृप्तातृप्तविचारिन्:n:प्ता
bhs:त्रिक्षुत्तो,7084:त्रिक्षुत्तो:n:त्तो
acc:त्रिदण्डिमतभाष्य,33422:त्रिदण्डिमतभाष्य:n:आष्य्
inm:त्रिशूलवरपाणि,10897:त्रिशूलवरपाणि:n:इशू
mw:त्रिशूलवरपाणिन्,88394:त्रिशूलवरपाणिन्:n:इशू
pw:त्रिषष्टिलक्षणमहापुराण,47897:त्रिषष्टिलक्षणमहापुराण:n:हाप्
pwg:त्रिषष्टिलक्षणमहापुरुषपुराणसंग्रह,75364:त्रिषष्टिलक्षणमहापुरुषपुराणसंग्रह:n:हाप्
pui:दक्षिणार्क,5768:दक्षिणार्क:n:णार्
acc:दत्तार्चनकौमुदी,9619:दत्तार्चनकौमुदी:n:अकौ
pw:दत्तोक्ति,48723:दत्तोक्ति:n:त्तो
pw:दत्तोत्ति,48725:दत्तोत्ति:n:त्तो
pui:दत्तोत्रि,5799:दत्तोत्रि:n:त्तो
pw:दत्तोभि,48727:दत्तोभि:n:त्तो
acc:दर्शपूर्णमासयज्ञक्रम,9674:दर्शपूर्णमासयज्ञक्रम:n:सय्
acc:दर्शपूर्णमासयागपद्धति,43914:दर्शपूर्णमासयागपद्धति:n:सय्
acc:दवनोत्सवविधान,9705:दवनोत्सवविधान:n:नोत्
cae:दष्ट्र,13127:दष्ट्र:n:दष्
yat:दहिणार्ह,17831:दहिणार्ह:n:णार्
mw:दाधिका,91596:दाधिका:n:दाध्
bur:दाध्यामि,8580:दाध्यामि:n:दाध्
bur:दापयामि,8591:दापयामि:n:दाप्
shs:दाप्रयित्वा,18799:दाप्रयित्वा:n:दाप्
bur:दिदीपिषे,8689:दिदीपिषे:n:इदी
acc:दुर्गार्चनामृतरहस्य,10125:दुर्गार्चनामृतरहस्य:n:आमृ
mw:दूराधिरोहिन्,94990:दूराधिरोहिन्:n:ऊरा
mw:दूरान्तरित,94992:दूरान्तरित:n:ऊरा
skd:देवचिकित्सकौ,16934:देवचिकित्सकौ:n:अकौ
vcp:देवलातबिल,25833:देवलातबिल:n:अबि
bhs:देवसोपाना,7534:देवसोपाना:n:असो
sch:द्युसदसहृद्,15792:द्युसदसहृद्:n:अहृ
bhs:द्विरुत्तरपदसंधिलिपि,7637:द्विरुत्तरपदसंधिलिपि:n:धिल्
mw:धनोत्पत्ति,99464.1:धनोत्पत्ति:n:नोत्
pw:धर्मप्रह्रादन,54800:धर्मप्रह्रादन:n:अह्र्
mw:धर्मापेत,100408:धर्मापेत:n:आपे
mw:धूतपापेश्वरतीर्थ,101501:धूतपापेश्वरतीर्थ:n:आपे
bhs:धृतमतितेज,7952:धृतमतितेज:n:इते
bhs:ध्यानद्राह्यायणी,7974:ध्यानद्राह्यायणी:n:ह्या
mw:ध्रुवनडी,102341:ध्रुवनडी:n:अडी
mw72:ध्वंसयित्वा,23667:ध्वंसयित्वा:n:सय्
mw:नक्षत्रग्रहयुत्यधिकार,102836:नक्षत्रग्रहयुत्यधिकार:n:उत्य्
vcp:नक्षत्रामृत,27755:नक्षत्रामृत:n:आमृ
acc:नलिकाबन्धनपद्धति,11192:नलिकाबन्धनपद्धति:n:काब्
bhs:नागरबिन्दव,8133:नागरबिन्दव:n:अबि
acc:नागसाश्वविमोचन,11347:नागसाश्वविमोचन:n:साश्
pui:नादश्रोव,7036:नादश्रोव:n:रोव्
mw:नानामृगगण,105563:नानामृगगण:n:आमृ
acc:नामामृतस्तोत्र,40266:नामामृतस्तोत्र:n:आमृ
acc:नारायणवन्द्योपाध्याय,44362:नारायणवन्द्योपाध्याय:n:योप्
acc:नारायणवैष्णवमुनि,11602:नारायणवैष्णवमुनि:n:अवै
bhs:नारायणव्रतसुमेरुश्री,8182:नारायणव्रतसुमेरुश्री:n:उमे
mw:निपाताव्ययोपसर्ग,108702:निपाताव्ययोपसर्ग:n:योप्
bur:निराणह्यामि,9910:निराणह्यामि:n:ह्या
bhs:निर्भत्सयति,8407:निर्भत्सयति:n:सय्
mw:निर्विषयोपराग,107347:निर्विषयोपराग:n:योप्
bur:निषजे,10108:निषजे:n:अजे
inm:निषादाधिपति,7726:निषादाधिपति:n:दाध्
bhs:निष्कासयितर्,8550:निष्कासयितर्:n:सय्
ccs:नेपध्यगृह,12821:नेपध्यगृह:n:अगृ
bhs:पञ्चसूर्याभिमुखा,8766:पञ्चसूर्याभिमुखा:n:याभ्
acc:पञ्चामृतीकरण,34350:पञ्चामृतीकरण:n:आमृ
skd:पटीयान्,20001:पटीयान्:n:टीय्
mw:पणार्ह,114577:पणार्ह:n:णार्
sch:पत्तोदश,17646:पत्तोदश:n:त्तो
cae:पयोग्रंह,17929:पयोग्रंह:n:ओग्र्
pw:परिधातवै,63897:परिधातवै:n:अवै
bhs:परिपूर्याभयप्रद,9085:परिपूर्याभयप्रद:n:याभ्
pw:परिश्रयितवै,64313:परिश्रयितवै:n:अवै
pw:परिष्वजीयंस्,64360:परिष्वजीयंस्:n:जीय्
mw:परिष्वजीयस्,118944:परिष्वजीयस्:n:जीय्
pwg:परिष्वञ्जीयंस्,43229:परिष्वञ्जीयंस्:n:जीय्
mw72:परिष्वञ्जीयस्,28067:परिष्वञ्जीयस्:n:जीय्
pw:परिस्तरीतवै,64408:परिस्तरीतवै:n:अवै
