sch:अक्ळ्प्त,173:अक्ळ्प्त:n:ळ्प्,क्ळ्
vei:विपश्चित्दृढजयन्तलौहित्य,2953:विपश्चित्दृढजयन्तलौहित्य:n:त्द्
vei:विपश्चित्शकुनिमित्रपाराशर्य,2954:विपश्चित्शकुनिमित्रपाराशर्य:n:त्श्
wil:विम्बेःष्ठ,35577:विम्बेःष्ठ:n:एः
wil:विष्णुग्टह,36137:विष्णुग्टह:n:ग्ट्
acc:वृहत्शिवपूजाप्रयोग,47215:वृहत्शिवपूजाप्रयोग:n:त्श्
acc:शब्दसंग्रहनिघण्टुअगस्त्यप्रोक्त,47095:शब्दसंग्रहनिघण्टुअगस्त्यप्रोक्त:n:उअ
vei:शरअर्चत्क,3179:शरअर्चत्क:n:अअ
wil:शान्तिग्टह,38074:शान्तिग्टह:n:ग्ट्
vei:शितिबाहुऐषकृतनैमिशि,3273:शितिबाहुऐषकृतनैमिशि:n:उऐ
inm:शिनेःपौत्र,2640:शिनेःपौत्र:n:एः
inm:शिनेःसुत,2641:शिनेःसुत:n:एः
acc:शिवरहस्येऋभुगीता,41336:शिवरहस्येऋभुगीता:n:एऋ
pe:शेक्किष्हार्,6552:शेक्किष्हार्:n:ष्ह्
md:षळूना,18421:षळूना:n:ळू
pui:षट्ब्रह्माण,15058:षट्ब्रह्माण:n:ट्ब्
krm:षृन्भु,1851:षृन्भु:n:षृ
krm:षेऌ,1853:षेऌ:n:एऌ
shs:ष्टॄह्,41525:ष्टॄह्:n:टॄ
ccs:संओरहार,26627:संओरहार:n:ंओ
bhs:संस्टरणक,15463:संस्टरणक:n:स्ट्
acc:संहिताप्रकाराएकादश,26586:संहिताप्रकाराएकादश:n:आए
wil:समुद्रग्टह,40800:समुद्रग्टह:n:ग्ट्
pwg:सयेफखाँ,106405:सयेफखाँ:n:आँ
pui:सर्वदुह्खविमोचनी,15581:सर्वदुह्खविमोचनी:n:ह्ख्
ccs:ससंअम्भ,26996:ससंअम्भ:n:ंअ
pui:सुखदुह्ख,16003:सुखदुह्ख:n:ह्ख्
pui:सुनह्ध्य,16195:सुनह्ध्य:n:ह्ध्
inm:सुरश्रेष्था,10377:सुरश्रेष्था:n:ष्थ्
sch:सुशकुनीब्ःऊ,26853:सुशकुनीब्ःऊ:n:ब्ः,ःऊ
vei:स्कन्ध्ह्या,3699:स्कन्ध्ह्या:n:ध्ह्
ben:स्नुष्हा,16666:स्नुष्हा:n:ष्ह्
mw72:स्वर्णकूठ,53738:स्वर्णकूठ:n:ऊठ्
cae:स्वर्मीळ्हळ्ह्स्वर्मीळ्ह,39088:स्वर्मीळ्हळ्ह्स्वर्मीळ्ह:n:ळ्ह्स्
ccs:स्वृमींळ्ह,29020:स्वृमींळ्ह:n:ंळ्ह्
pe:हिप्पोच्रैतुस्,2680:हिप्पोच्रैतुस्:n:च्र्
bop:हृठ्,8819:हृठ्:n:ऋठ्
gra:हृत्सुअस्,10687:हृत्सुअस्:n:उअ
