sch:अढंढोलयत्,14157:अढंढोलयत्:n:ढो
acc:आमर्दकीफाल्गुनशुक्ला,42135:आमर्दकीफाल्गुनशुक्ला:n:ईफ्
pw:उपढोकन,19567:उपढोकन:n:ढो
pw:काष्ठधत्रीफल,27628:काष्ठधत्रीफल:n:ईफ्
sch:गूढोदक,12415:गूढोदक:n:ढो
acc:गौलीफल,6695:गौलीफल:n:ईफ्
vcp:बवदरीफला,35237:बवदरीफला:n:ईफ्
bhs:भित्तीफलक,11247:भित्तीफलक:n:ईफ्
acc:रघुनाथसम्राट्स्थपति,18931:रघुनाथसम्राट्स्थपति:n:ट्स्
pw:व्यूढोर,108906:व्यूढोर:n:ढो
