mw:अकर्मिका,196:अकर्मिका:n:र्मि
acc:बीजव्याकरणमहातन्त्र,35029:बीजव्याकरणमहातन्त्र:n:बीज्
mw:बीजित,145508:बीजित:n:बीज्
ccs:बृहक्तृणा,16844:बृहक्तृणा:n:बृह्
ccs:बृहक्त्व,16845:बृहक्त्व:n:बृह्
ccs:बृहज्जयोतिस्,16839:बृहज्जयोतिस्:n:बृह्
mw:बृहज्जातकश्लोकव्याख्यान,146083:बृहज्जातकश्लोकव्याख्यान:n:बृह्
acc:बृहज्जीरकादिमोदक,35040:बृहज्जीरकादिमोदक:n:बृह्
pe:बृहत्कर्मा,1335:बृहत्कर्मा:n:बृह्
mw:बृहत्तुहिनशर्कर,146152:बृहत्तुहिनशर्कर:n:बृह्
mw:बृहत्पत्त्रा,146160:बृहत्पत्त्रा:n:बृह्
acc:बृहत्पाराशरसार,35044:बृहत्पाराशरसार:n:बृह्
ccs:बृहत्सार्वानुक्रमणी,16849:बृहत्सार्वानुक्रमणी:n:बृह्
ccs:बृहत्सुस्न,16850:बृहत्सुस्न:n:बृह्
pw:बृहदम्बालका,77506:बृहदम्बालका:n:बृह्
mw:बृहदसृङ्मति,146244:बृहदसृङ्मति:n:बृह्
mw:बृहदारण्यकविषयनिर्णय,146247.30:बृहदारण्यकविषयनिर्णय:n:बृह्
pe:बृहदिष्ठ,1313:बृहदिष्ठ:n:बृह्
acc:बृहदीश्वरमाहात्म्य,35048:बृहदीश्वरमाहात्म्य:n:बृह्
vcp:बृहदुत्तरतापनी,35750:बृहदुत्तरतापनी:n:बृह्
ccs:बृहद्ग्रवन्,16859:बृहद्ग्रवन्:n:बृह्
mw:बृहद्दिवेषु,146275:बृहद्दिवेषु:n:बृह्
pui:बृहद्बानु,9163:बृहद्बानु:n:बृह्
mw:बृहद्रथा,146316:बृहद्रथा:n:बृह्
acc:बृहद्रुद्रोपपुराण,20621:बृहद्रुद्रोपपुराण:n:बृह्
acc:बृहद्वैद्यप्रसारक,35053:बृहद्वैद्यप्रसारक:n:बृह्
sch:बृहन्नडा,20317:बृहन्नडा:n:बृह्
inm:ब्रह्मनिर्मितंसरस्,1765:ब्रह्मनिर्मितंसरस्:n:र्मि
ccs:भस्माबशेष,17265:भस्माबशेष:n:माब्
mci:मण्डलार्ध,542:मण्डलार्ध:n:आर्ध्
bur:मर्मर्मि,13110:मर्मर्मि:n:र्मि
mw:मात्रार्ध,161749:मात्रार्ध:n:आर्ध्
sch:माहेच,21650:माहेच:n:हेच्
ap:मुर्मिणी,26449:मुर्मिणी:n:र्मि
wil:युद्घोन्मत्त,31508:युद्घोन्मत्त:n:द्घो
mw:रहस्यत्रयचुदामणि,175960.2:रहस्यत्रयचुदामणि:n:चुद्
mw:लिपिकर्मनिर्मित,182626:लिपिकर्मनिर्मित:n:र्मि
mw:वर्मिताङ्ग,187822:वर्मिताङ्ग:n:र्मि
shs:वाक्वलह,35679:वाक्वलह:n:आक्व्
sch:वार्धकिनेय,23578:वार्धकिनेय:n:आर्ध्
pe:वार्धक्षेमि,8033:वार्धक्षेमि:n:आर्ध्
mw:वार्मिक,191998:वार्मिक:n:र्मि
