shs:अक्षब्धु,187:अक्षब्धु:n:ब्धु
pw:कण्टकाड्य,23634:कण्टकाड्य:n:काड्
ccs:कण्डुय्,4263:कण्डुय्:n:डुय्
ccs:कथेदय,4294:कथेदय:n:थेद्
pe:कध्मोर्,3048:कध्मोर्:n:ध्मो
pui:कपिष्ट्टलस्,2512:कपिष्ट्टलस्:n:ष्ट्ट्
cae:कमण्डलूदक,7053:कमण्डलूदक:n:लूद्
ccs:कर्णोघातिन्,4459:कर्णोघातिन्:n:णोघ्
acc:कल्पौषधिसेवादिप्रकार,3486:कल्पौषधिसेवादिप्रकार:n:ल्पौ
bur:कस्मैचित्,4277:कस्मैचित्:n:मैच्
pgn:काकनादबोट,465:काकनादबोट:n:बोट्
bhs:काडिशाम,4688:काडिशाम:n:काड्
pgn:कान्तेडदकग्राम,401:कान्तेडदकग्राम:n:तेड्
pw:किड्य,27832:किड्य:n:किड्
acc:कुप्पुशास्त्रिन्,4348:कुप्पुशास्त्रिन्:n:पुश्
pw:कुब्जप्रसारणीतैल,28736:कुब्जप्रसारणीतैल:n:ईतै
bhs:कुसुमहेस्थ,5073:कुसुमहेस्थ:n:हेस्
acc:केसीराजसप्तक,5043:केसीराजसप्तक:n:एसी
bhs:कोढक,5233:कोढक:n:कोढ्
acc:कोलप्पाचार्य,5111:कोलप्पाचार्य:n:प्पा
pe:कोलस्व्रूप,3579:कोलस्व्रूप:n:स्व्र्
vcp:कौक्षेघ,15271:कौक्षेघ:n:षेघ्
shs:क्नोशध्वनि,12097:क्नोशध्वनि:n:नोश्
shs:क्नौशशतिक,12112:क्नौशशतिक:n:क्नौ,नौश्
acc:क्रमसंद्र्भ,39733:क्रमसंद्र्भ:n:द्र्भ्
pui:क्रोडोदरायणस्,3792:क्रोडोदरायणस्:n:ओडो
pui:क्र्ताग्नि,3445:क्र्ताग्नि:n:क्र्त्
bur:क्र्थ,5232:क्र्थ:n:क्र्थ्
krm:क्लुङ्,290:क्लुङ्:n:क्लु
acc:क्वौलुप्तंनस्थानिवदित्यस्यवादार्थ,5279:क्वौलुप्तंनस्थानिवदित्यस्यवादार्थ:n:क्वौ
shs:क्षीरबृक्ष,12390:क्षीरबृक्ष:n:बृक्
bhs:क्षुड्डीक,5375:क्षुड्डीक:n:षुड्
bhs:क्षेट,5390:क्षेट:n:षेट्
bur:क्षेपणोय,5433:क्षेपणोय:n:णोय्
ccs:क्ष्वुद्,5818:क्ष्वुद्:n:ष्वु
shs:खङ्गपिथान,12631:खङ्गपिथान:n:इथा
acc:खड्गेशमाहात्म्य,32438:खड्गेशमाहात्म्य:n:ड्गे
inm:खड्गोत्पत्तिकथन,5716:खड्गोत्पत्तिकथन:n:ड्गो
bhs:खरपोस्ता,5464:खरपोस्ता:n:पोस्
bhs:खिज्जति,5511:खिज्जति:n:खिज्
ccs:गजपुगव,5947:गजपुगव:n:पुग्
acc:गणितकल्पद्र्हुम,5636:गणितकल्पद्र्हुम:n:द्र्ह्
acc:गणेशाथर्वणशीर्षोपनिषद्,5730:गणेशाथर्वणशीर्षोपनिषद्:n:शाथ्
bhs:गन्धार्चिःप्रभास्वरा,5655:गन्धार्चिःप्रभास्वरा:n:चिः
pw:गव्यदढ,35140:गव्यदढ:n:दढ्
ccs:गाणिडव,6140:गाणिडव:n:णिड्
yat:गुणिद्धैध,13127:गुणिद्धैध:n:धैध्
acc:गोसोक,6615:गोसोक:n:ओसो
acc:गौराङ्गदेवस्तुतिहैमाङ्गिकी,6665:गौराङ्गदेवस्तुतिहैमाङ्गिकी:n:इहै
ccs:चचुःशाल,6796:चचुःशाल:n:चुः
bur:चठिका,6359:चठिका:n:चठ्
pe:चाक्यार्कूत्तु,1398:चाक्यार्कूत्तु:n:र्कू
bur:चिकीषामि,6576:चिकीषामि:n:कीष्
bur:चिकेटिसामि,6582:चिकेटिसामि:n:केट्
bur:चिक्षीषामि,6604:चिक्षीषामि:n:षीष्
bur:चिचयिथ,6613:चिचयिथ:n:यिथ्
vcp:चिञ्चिड,19730:चिञ्चिड:n:चिड्
pe:चिय्यालि,1629:चिय्यालि:n:चिय्,इय्य्
sch:चीटी,13362:चीटी:n:चीट्
pe:चूटु,1642:चूटु:n:ऊटु
acc:चूहडमल्ल,7469:चूहडमल्ल:n:चूह्
bur:चेक्रीड्ये,6765:चेक्रीड्ये:n:ड्ये
bur:चेरिथ,6785:चेरिथ:n:रिथ्
bur:चैव,6796:चैव:n:चैव्
pui:चैषिकस्,4884:चैषिकस्:n:चैष्
bhs:च्यूडिक,6375:च्यूडिक:n:यूड्
vcp:छिन्नीद्भवा,20368:छिन्नीद्भवा:n:ईद्भ्
bhs:छोडयति,6427:छोडयति:n:छोड्
ccs:जङ्गीड,7344:जङ्गीड:n:गीड्
cae:जलौकोवसेक,11183:जलौकोवसेक:n:औको
ccs:जलौकौवसेक,7570:जलौकौवसेक:n:औकौ
bur:जागतत्रैष्ठुभ,7126:जागतत्रैष्ठुभ:n:ठुभ्
acc:जातकनीलकण्ठीटीका,7985:जातकनीलकण्ठीटीका:n:ठीट्
acc:जातरिथ्यादिनिर्णय,43542:जातरिथ्यादिनिर्णय:n:रिथ्
acc:जातिसंकर्यकिधि,8053:जातिसंकर्यकिधि:n:किध्
acc:जातिसांकर्यकिधि,30793:जातिसांकर्यकिधि:n:किध्
pw:जारुथी,42660:जारुथी:n:उथी
