sch:अनुष्टायज्ञयज्ञीय,2898:अनुष्टायज्ञयज्ञीय:n:ञी
mw:अभ्यत्यृज्,13181:अभ्यत्यृज्:n:यृ
acc:अश्वारूढी,1396:अश्वारूढी:n:ढी
bhs:आगाढीकरोति,2563:आगाढीकरोति:n:ढी
bur:इयृमस्,2659:इयृमस्:n:यृ
acc:कृष्णपतिशर्मन्मैथिलसङ्कराढीवंशोद्भूत,4742:कृष्णपतिशर्मन्मैथिलसङ्कराढीवंशोद्भूत:n:ढी
sch:गाढीक्रिया,12249:गाढीक्रिया:n:ढी
acc:जन्मवैफल्याष्टक,43489:जन्मवैफल्याष्टक:n:ऐफ्
pw:द्रढीकरण,53303:द्रढीकरण:n:ढी
mw:न्यग्भावयियृ,112705:न्यग्भावयियृ:n:यृ
bur:न्यृणामि,10363:न्यृणामि:n:यृ
pwg:पारढी,44608:पारढी:n:ढी
skd:प्रज्ञी,22646:प्रज्ञी:n:ञी
pw:प्रौढी,75120:प्रौढी:n:ढी
vcp:फुल्त,35182:फुल्त:n:ल्त्
sch:मूढीकृ,21870:मूढीकृ:n:ढी
sch:मूढीभू,21871:मूढीभू:n:ढी
ccs:यजुष्यृ,19445:यजुष्यृ:n:यृ
vcp:यज्ञायज्ञीय,38820:यज्ञायज्ञीय:n:ञी
ccs:यन्तव्यृ,19621:यन्तव्यृ:n:यृ
ccs:योक्तव्यृ,19894:योक्तव्यृ:n:यृ
acc:राज्ञीस्तत्व,46094:राज्ञीस्तत्व:n:ञी
sch:वढीयार,23119:वढीयार:n:ढी
ccs:विद्युत्यृ,22431:विद्युत्यृ:n:यृ
ccs:वैष्णव्यृ,23665:वैष्णव्यृ:n:यृ
ccs:व्यृंस,23677:व्यृंस:n:यृ
ccs:व्यृन्त,23714:व्यृन्त:n:यृ
ccs:शीर्षण्यृ,24755:शीर्षण्यृ:n:यृ
pw:षण्ढीय्,116321:षण्ढीय्:n:ढी
bhs:संज्ञीकृत,15653:संज्ञीकृत:n:ञी
mw:सत्याषाढी,230154:सत्याषाढी:n:ढी
ccs:स्वर्यृ,29021:स्वर्यृ:n:यृ
