vcp:अग्रेदिषिषूपति,428:अग्रेदिषिषूपति:n:षूप्
skd:दीर्घदर्शी,16536:दीर्घदर्शी:n:र्शी
skd:दूरदर्शी,16786:दूरदर्शी:n:र्शी
bur:देदेशिम,8959:देदेशिम:n:देद्
bur:देद्युत्ये,8961:देद्युत्ये:n:देद्
pgn:दोषीभोगपुष्करिणी,443:दोषीभोगपुष्करिणी:n:ईभो
mw:दोषोपचय,97087:दोषोपचय:n:ओषो
pw:द्रवदीड,53328:द्रवदीड:n:दीड्
shs:धातुकाशोश,20514:धातुकाशोश:n:शोश्
pw:धुनीचुमुरी,55484:धुनीचुमुरी:n:ईचु
ccs:नदीमूख,11441:नदीमूख:n:मूख्
pe:नम्बूतिरिस्,4705:नम्बूतिरिस्:n:बूत्
mw:नागरयायिग्रह,105249:नागरयायिग्रह:n:यिग्
pgn:नागीजोडाकक्षेत्र,433:नागीजोडाकक्षेत्र:n:गीज्
ccs:नातिदूर्ग,11741:नातिदूर्ग:n:ऊर्ग्
mw:निदेशे,108507:निदेशे:n:एशे
mw:निरवशेषेण,106660:निरवशेषेण:n:एषे
mw:निरुष्णतांनी,106914:निरुष्णतांनी:n:ंनी
sch:निर्लूनित,16979:निर्लूनित:n:र्लू
pw:निर्लूयनी,59548:निर्लूयनी:n:र्लू
mw:निर्विशेषेण,107329:निर्विशेषेण:n:एषे
bur:नुनूषामि,10274:नुनूषामि:n:उनू
pw:पचंबचा,61775:पचंबचा:n:बच्
acc:पञ्चाध्यायोपदेश,34349:पञ्चाध्यायोपदेश:n:चाध्
pw:परिखी,63694:परिखी:n:इखी
mw:परिघोपम,117326:परिघोपम:n:घोप्
skd:परिणामदर्शी,20510:परिणामदर्शी:n:र्शी
mw:परिमितेच्छता,118250.45:परिमितेच्छता:n:तेच्
mw:पर्याह्वे,119851:पर्याह्वे:n:ह्वे
mw:पर्युपह्वे,119890:पर्युपह्वे:n:ह्वे
bhs:पिथति,9529:पिथति:n:पिथ्
bhs:पिथन,9530:पिथन:n:पिथ्
pw:पिथय्,67074:पिथय्:n:पिथ्
pui:पिथर,7912:पिथर:n:पिथ्
mw:पिथित,124252:पिथित:n:पिथ्
sch:पिथुर,18531:पिथुर:n:पिथ्
acc:पूजोपयोगिसामानि,13753:पूजोपयोगिसामानि:n:ऊजो
mw:पृथूपाख्यान,128650:पृथूपाख्यान:n:थूप्
mw:पृष्ठदेशे,128847:पृष्ठदेशे:n:एशे
bur:पेपीये,11315:पेपीये:n:ईये,एपी
mw:पोषधोषित,129371:पोषधोषित:n:धोष्
vcp:पौरागीव,33379:पौरागीव:n:गीव्
shs:पौसवन,25967:पौसवन:n:पौस्
acc:प्रकृतिविकृतिहौत्रविचारव्यवस्था,34688:प्रकृतिविकृतिहौत्रविचारव्यवस्था:n:इहौ
bhs:प्रगल्भायते,9854:प्रगल्भायते:n:ल्भा
ap90:प्रणढ्,19735:प्रणढ्:n:णढ्
pw:प्रत्यवहर्तोस्,72030:प्रत्यवहर्तोस्:n:र्तो
vcp:प्रत्यापत्तिखी,33973:प्रत्यापत्तिखी:n:इखी
bhs:प्रदेशेति,10351:प्रदेशेति:n:एशे
pw:प्रमुच्यमानहोस,72813:प्रमुच्यमानहोस:n:होस्
mw:प्रलापैकमय,136520:प्रलापैकमय:n:पैक्
ap:प्रसाघ्,23603:प्रसाघ्:n:साघ्
yat:प्रोद्धोषण,26818:प्रोद्धोषण:n:धोष्
acc:फूत्कारितन्त्र,45037:फूत्कारितन्त्र:n:फूत्
acc:फेट्कारिणीतन्त्र,45038:फेट्कारिणीतन्त्र:n:एट्क्
pw:बद्धाप्पि,75729:बद्धाप्पि:n:आप्प्
acc:बलिनारायणीयेदुर्गापूजा,45051:बलिनारायणीयेदुर्गापूजा:n:ईये
acc:बह्वृचारण्योपनिषद्,34969:बह्वृचारण्योपनिषद्:n:ऋचा
pui:भगीवसु,9366:भगीवसु:n:गीव्
sch:भग्नोत्सृष्टक,20412:भग्नोत्सृष्टक:n:ग्नो
acc:भङ्गीविभङ्गीकरण,15646:भङ्गीविभङ्गीकरण:n:गीव्
pw:भुजंगदमंनी,80071:भुजंगदमंनी:n:ंनी
pw:भूतेच्छद्,80414:भूतेच्छद्:n:तेच्
bhs:भूमिबलवैशारद्यधर,11301:भूमिबलवैशारद्यधर:n:मिब्
bur:भेजे,12823:भेजे:n:भेज्
acc:भैषज्येसार,16418:भैषज्येसार:n:एसा
ccs:भ्रतृभार्या,17726:भ्रतृभार्या:n:ऋभा
mw:मतिपथंनी,156684:मतिपथंनी:n:ंनी
skd:मधुकैटभौ,25984:मधुकैटभौ:n:उकै
mw:मध्येभबन्धन,156482:मध्येभबन्धन:n:येभ्
mw:मनुजोत्तम,156897:मनुजोत्तम:n:उजो
cae:मन्थीलव,24648:मन्थीलव:n:थील्
acc:महाभारतगर्तोद्धार,40708:महाभारतगर्तोद्धार:n:र्तो
pw:महिषासुरमज्जोत्थ,85329:महिषासुरमज्जोत्थ:n:ज्जो
acc:माण्डूक्युपनिषद्,45637:माण्डूक्युपनिषद्:n:क्यु
sch:मायेरिणी,21576:मायेरिणी:n:येर्
acc:मुद्गलभट्टहोसिङ्ग,17988:मुद्गलभट्टहोसिङ्ग:n:होस्
acc:मुमुक्षुपडिसटीका,35803:मुमुक्षुपडिसटीका:n:डिस्
acc:मृगारेष्टिहौर,45767:मृगारेष्टिहौर:n:इहौ
bur:मेमीये,13610:मेमीये:n:ईये
ap90:यीधिन्,23888:यीधिन्:n:यीध्
bhs:योभूयेन,12520:योभूयेन:n:ऊये
acc:रामनाथहोसलाधीश्वर,20099:रामनाथहोसलाधीश्वर:n:होस्
mw:रुद्रजपपञ्चाध्याय,178564:रुद्रजपपञ्चाध्याय:n:चाध्
pw:रुद्रजाप्प,94448:रुद्रजाप्प:n:आप्प्
bur:रेरीये,14250:रेरीये:n:ईये
mw:रोषोक्ति,178946:रोषोक्ति:n:ओषो
bur:लेषे,14573:लेषे:n:एषे
mw:लोस्तोनी,183779.1:लोस्तोनी:n:लोस्
mw:वरूथ्यदेशे,186773:वरूथ्यदेशे:n:एशे
ccs:वाङ्नधु,21772:वाङ्नधु:n:ङ्न
ccs:वाङ्ननस्,21774:वाङ्ननस्:n:ङ्न
ap90:वाजसनोयेन्,25361:वाजसनोयेन्:n:ओये
pgn:वायिग्राम,409:वायिग्राम:n:यिग्
mw:विघ्नितेच्छ,194662:विघ्नितेच्छ:n:तेच्
skd:विधिदर्शी,32747:विधिदर्शी:n:र्शी
mw:विपुलौजस्,197810:विपुलौजस्:n:लौज्
mw:विरलातपचोहवि,199176:विरलातपचोहवि:n:चोह्
mw:विविधोपलभूषित,200211:विविधोपलभूषित:n:इधो
mw:विशेषेन,200604:विशेषेन:n:एषे
